FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28145,0,USMississippiUnion,Mississippi,Union,2020-07-31 02:18:09.558282,2020-03-09 00:00:00.000000,0.01502689,0.04403426,0.12859114,4,12,37,0,2,7,0.00100408,0.00894190,0.02697610,0.47120295,0.68879946,1.02344346
28145,0,USMississippiUnion,Mississippi,Union,2020-07-31 02:18:09.558282,2020-03-10 00:00:00.000000,0.01675045,0.03763037,0.08510176,4,10,24,0,2,6,0.00213190,0.00891871,0.02397455,0.47120362,0.68856123,1.02344209
28145,0,USMississippiUnion,Mississippi,Union,2020-07-31 02:18:09.558282,2020-03-11 00:00:00.000000,0.02146349,0.04563613,0.09714959,6,13,27,0,2,6,0.00137319,0.00852867,0.02349007,0.47120528,0.68822129,1.02343826
28145,0,USMississippiUnion,Mississippi,Union,2020-07-31 02:18:09.558282,2020-03-12 00:00:00.000000,0.02397611,0.05167175,0.10651944,6,14,30,0,2,6,0.00281453,0.00950505,0.02402601,0.47120932,0.68773455,1.02342758
28145,0,USMississippiUnion,Mississippi,Union,2020-07-31 02:18:09.558282,2020-03-13 00:00:00.000000,0.02771540,0.05929618,0.12015055,7,17,34,0,2,7,0.00216424,0.01013972,0.02523966,0.47121878,0.68702707,1.02339781
28145,0,USMississippiUnion,Mississippi,Union,2020-07-31 02:18:09.558282,2020-03-14 00:00:00.000000,0.03106028,0.06677344,0.13423871,8,19,38,0,3,7,0.00333901,0.01182668,0.02699661,0.47123905,0.68595658,1.02331486
28145,0,USMississippiUnion,Mississippi,Union,2020-07-31 02:18:09.558282,2020-03-15 00:00:00.000000,0.03529039,0.07521872,0.14885083,10,21,42,0,3,8,0.00301285,0.01233803,0.02914590,0.47127152,0.68419667,1.02308345
28145,0,USMississippiUnion,Mississippi,Union,2020-07-31 02:18:09.558282,2020-03-16 00:00:00.000000,0.03892016,0.08242597,0.16409870,11,23,47,1,4,9,0.00391165,0.01410393,0.03165284,0.47125911,0.68091321,1.02243649
28145,0,USMississippiUnion,Mississippi,Union,2020-07-31 02:18:09.558282,2020-03-17 00:00:00.000000,0.04494875,0.09404405,0.17970715,12,27,51,1,4,9,0.00371090,0.01487775,0.03438926,0.47162331,0.67143994,1.02062501
28145,0,USMississippiUnion,Mississippi,Union,2020-07-31 02:18:09.558282,2020-03-18 00:00:00.000000,0.04668845,0.09855232,0.19559354,13,28,56,1,4,10,0.00456379,0.01669417,0.03739961,0.47644886,0.66840553,1.01334456
