FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-09 00:00:00.000000,0.01727097,0.05684432,0.30437009,2,8,43,0,1,5,0.00180511,0.01069587,0.03911262,0.50207086,0.68638096,0.90091864
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-10 00:00:00.000000,0.02192929,0.05474257,0.13346634,3,7,19,0,1,5,0.00238192,0.01226239,0.03672393,0.50207208,0.68636635,0.90091864
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-11 00:00:00.000000,0.02944947,0.06746590,0.19483522,4,9,27,0,1,5,0.00209518,0.01258520,0.03504873,0.50207407,0.68633132,0.90091861
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-12 00:00:00.000000,0.03717852,0.07503493,0.17529596,5,10,25,0,2,5,0.00315999,0.01443255,0.03556434,0.50207729,0.68624494,0.90091856
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-13 00:00:00.000000,0.04647992,0.08794714,0.21043416,6,12,30,0,2,5,0.00265692,0.01526945,0.03744264,0.50210908,0.68602794,0.90091840
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-14 00:00:00.000000,0.05361078,0.09620364,0.22531743,7,13,32,0,2,5,0.00474271,0.01864979,0.03988972,0.50222734,0.68564671,0.90091795
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-15 00:00:00.000000,0.06405570,0.11044568,0.25906123,9,15,37,0,2,6,0.00344321,0.02015297,0.04289404,0.50244398,0.68564675,0.90091655
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-16 00:00:00.000000,0.06667372,0.12132979,0.26859247,9,17,38,0,3,6,0.00641527,0.02303199,0.04668749,0.50282566,0.68564696,0.90091192
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-17 00:00:00.000000,0.08293831,0.13708138,0.30552746,11,19,43,0,3,7,0.00441246,0.02520478,0.05187065,0.50149040,0.68529143,0.90089595
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-18 00:00:00.000000,0.07913307,0.14888181,0.34081080,11,21,48,1,4,8,0.00839772,0.02873178,0.05648656,0.49054240,0.68114605,0.92844891
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-19 00:00:00.000000,0.10213542,0.16630331,0.37941938,14,23,54,0,4,9,0.00554242,0.03028447,0.06366319,0.47719255,0.68077160,0.91174614
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-20 00:00:00.000000,0.09176868,0.17693663,0.41995300,13,25,59,1,5,9,0.01066546,0.03520195,0.06950387,0.46864526,0.67123885,0.90075217
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-21 00:00:00.000000,0.12242625,0.19573125,0.46237629,17,27,66,0,5,10,0.00681005,0.03617426,0.07565163,0.41952793,0.65686784,0.90326029
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-22 00:00:00.000000,0.10464011,0.20466229,0.50653796,14,29,72,1,5,11,0.01368723,0.04179497,0.08234436,0.41085559,0.64555036,0.91688778
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-23 00:00:00.000000,0.13850887,0.22530835,0.54904665,19,32,78,1,6,12,0.00820220,0.04230448,0.08955914,0.38502900,0.62577787,0.91864948
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-24 00:00:00.000000,0.11714813,0.24054814,0.59099682,16,34,84,2,7,13,0.01697907,0.04948244,0.09732750,0.34982166,0.62383741,0.98083864
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-25 00:00:00.000000,0.15474864,0.26130018,0.63714175,22,37,91,1,7,15,0.00969839,0.04955145,0.10710227,0.34185205,0.62357151,1.02070722
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-26 00:00:00.000000,0.13105433,0.27283741,0.69149369,18,38,98,2,8,16,0.01947071,0.05909677,0.11746800,0.33309593,0.62967135,1.03649893
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-27 00:00:00.000000,0.17244505,0.30299977,0.74468895,24,43,106,1,8,18,0.01138604,0.05824991,0.12847128,0.32367817,0.62456719,1.07802955
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-28 00:00:00.000000,0.14658130,0.31117364,0.79600008,20,44,113,3,9,20,0.02218618,0.06959266,0.14024926,0.31695014,0.62040255,1.04122196
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-29 00:00:00.000000,0.19210743,0.34285093,0.84671808,27,48,120,1,9,21,0.01315696,0.06806676,0.15296922,0.30383955,0.60786518,1.01812415
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-30 00:00:00.000000,0.16437854,0.34655700,0.89726524,23,49,128,3,11,23,0.02426765,0.07925777,0.16648898,0.29840709,0.59199444,1.03680087
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-03-31 00:00:00.000000,0.21139367,0.38567899,0.94967444,30,55,135,2,11,25,0.01508857,0.07880136,0.18080047,0.29197886,0.58359388,1.03663814
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-01 00:00:00.000000,0.18445632,0.38789570,1.01846009,26,55,145,3,12,27,0.02661387,0.08941546,0.19593735,0.28457103,0.57812041,1.03483786
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-02 00:00:00.000000,0.23496308,0.43388720,1.10127077,33,61,157,2,12,30,0.01721403,0.09062556,0.21257019,0.28112011,0.57109270,1.03043062
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-03 00:00:00.000000,0.20616057,0.44324026,1.19016335,29,63,170,4,14,32,0.03202334,0.10057317,0.23085512,0.27871226,0.56657002,1.02170381
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-04 00:00:00.000000,0.26120762,0.48790205,1.28500920,37,69,183,2,14,35,0.01954971,0.10468934,0.25052585,0.27102840,0.56412757,1.01100253
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-05 00:00:00.000000,0.23103775,0.49818386,1.38063063,33,71,197,4,16,38,0.03452983,0.11518525,0.27166433,0.26041508,0.55063679,1.01428390
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-06 00:00:00.000000,0.28603847,0.55958380,1.46832180,40,79,209,3,16,42,0.02211364,0.11769571,0.29421375,0.25854616,0.53297011,1.02691296
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-07 00:00:00.000000,0.25424631,0.55376867,1.55689905,36,79,222,5,18,45,0.03674098,0.12843315,0.31788734,0.25718526,0.53199612,1.05449498
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-08 00:00:00.000000,0.29850356,0.62437244,1.65091083,42,89,235,3,18,48,0.02492533,0.12945139,0.34264740,0.25621026,0.52621100,1.06418521
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-09 00:00:00.000000,0.27643718,0.63332068,1.75105062,39,90,250,5,20,52,0.03879048,0.14577045,0.36858273,0.25552223,0.52781977,1.02925295
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-10 00:00:00.000000,0.30883786,0.69758493,1.85740952,44,99,265,3,20,57,0.02792945,0.14419874,0.39936054,0.25504750,0.53053949,0.97339228
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-11 00:00:00.000000,0.29592934,0.71305058,1.97003153,42,101,281,5,23,61,0.04068835,0.16151288,0.43270262,0.25484466,0.52811175,0.97294684
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-12 00:00:00.000000,0.31851692,0.79826071,2.08924290,45,114,298,4,22,66,0.03103722,0.16065868,0.46800527,0.25572209,0.52326060,0.97273083
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-13 00:00:00.000000,0.31446956,0.78537264,2.21566810,44,112,316,6,25,72,0.04251093,0.17915955,0.50539854,0.25990255,0.51472206,0.97262531
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-14 00:00:00.000000,0.32856951,0.89110593,2.36448814,46,127,337,4,25,77,0.03420645,0.17890035,0.54507059,0.27127051,0.50395114,0.97257219
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-15 00:00:00.000000,0.33358917,0.88163313,2.53142240,47,125,361,6,28,83,0.04432701,0.19840970,0.58722824,0.28249246,0.51138776,0.97204917
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-16 00:00:00.000000,0.34136899,0.98486841,2.70700758,48,140,386,5,28,89,0.03743041,0.20085855,0.62768950,0.28872378,0.51030754,0.95022408
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-17 00:00:00.000000,0.34975483,0.99886251,2.84629581,49,142,406,6,30,95,0.04632570,0.21679411,0.66577142,0.29590993,0.50465470,0.92690754
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-18 00:00:00.000000,0.35874124,1.10330611,3.00287835,51,157,428,5,31,100,0.04074744,0.22373904,0.70556287,0.29163796,0.49782253,0.93404935
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-19 00:00:00.000000,0.36791985,1.12683376,3.19694531,52,160,456,6,34,106,0.04865261,0.24319791,0.74708966,0.29375974,0.49232156,0.93566194
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-20 00:00:00.000000,0.37675990,1.22122728,3.40245163,53,174,486,6,35,112,0.04424933,0.25067157,0.79044099,0.29978904,0.49030592,0.93329381
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-21 00:00:00.000000,0.38560643,1.25774793,3.57758973,55,179,511,7,39,119,0.05105667,0.27447441,0.83965051,0.29850735,0.48690196,0.93269487
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-22 00:00:00.000000,0.39445669,1.35593681,3.74101433,56,193,534,6,40,128,0.04708203,0.28159846,0.89749475,0.29064934,0.48874669,0.86671232
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-23 00:00:00.000000,0.40336062,1.35939911,3.91128059,57,194,558,7,43,136,0.05350257,0.30364174,0.95822508,0.28978152,0.49582312,0.86991173
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-24 00:00:00.000000,0.41234254,1.50237335,4.08350435,58,214,583,7,44,145,0.05126978,0.31458470,1.02186618,0.30177689,0.50937873,0.86380748
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-25 00:00:00.000000,0.42145990,1.48445755,4.26408054,60,212,609,8,48,155,0.05601305,0.33767968,1.08837863,0.30913859,0.52258394,0.84309124
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-26 00:00:00.000000,0.43082923,1.67361925,4.48000686,61,239,640,7,48,165,0.05585511,0.34281062,1.15733463,0.30463852,0.53090743,0.85622541
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-27 00:00:00.000000,0.44217322,1.62423405,4.70693234,63,232,672,8,53,176,0.05861393,0.37636108,1.23208758,0.30661842,0.53379331,0.85460981
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-28 00:00:00.000000,0.45438395,1.85431973,4.94516555,64,264,706,8,53,189,0.06009887,0.37638181,1.32657016,0.30748148,0.53516895,0.85553375
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-29 00:00:00.000000,0.46800787,1.83178145,5.19522266,66,261,742,8,59,204,0.06165167,0.41374521,1.42903878,0.30564346,0.53593751,0.85634987
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-04-30 00:00:00.000000,0.48334404,2.03443928,5.45764247,69,290,779,9,59,219,0.06333019,0.41936982,1.53995082,0.30362359,0.53673183,0.85863882
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-05-01 00:00:00.000000,0.50053308,2.10921172,5.77139775,71,301,824,9,65,234,0.06516531,0.45798385,1.64032136,0.30245602,0.53752594,0.91486489
28147,0,USMississippiWalthall,Mississippi,Walthall,2020-07-31 01:58:24.082445,2020-05-02 00:00:00.000000,0.51939751,2.29787033,6.24588043,74,328,892,9,66,248,0.06716951,0.46590762,1.74039336,0.31049388,0.55143794,0.96774480
