FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-09 00:00:00.000000,0.03590535,0.08533646,0.22744616,3,8,22,0,3,12,0.00703890,0.03781123,0.13193908,0.38838927,0.56817115,0.76624976
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-10 00:00:00.000000,0.04004972,0.09877144,0.23414109,3,9,22,1,5,12,0.01991862,0.05377740,0.13219680,0.38835759,0.56815626,0.76624910
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-11 00:00:00.000000,0.05428280,0.11816871,0.25220648,5,11,24,2,5,13,0.02278460,0.06117846,0.14085944,0.38831779,0.56812468,0.76624682
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-12 00:00:00.000000,0.05873075,0.12923117,0.26510869,5,12,25,2,6,15,0.02879094,0.06979783,0.15487543,0.38826954,0.56805769,0.76623881
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-13 00:00:00.000000,0.06743210,0.14295017,0.28446911,6,13,27,3,7,16,0.03255697,0.07692725,0.16632660,0.38821644,0.56791559,0.76621098
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-14 00:00:00.000000,0.07364667,0.15163178,0.31089907,7,14,30,3,8,18,0.03676112,0.08405781,0.18591986,0.38817584,0.56710926,0.76313402
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-15 00:00:00.000000,0.08044331,0.16402687,0.35614675,7,15,34,3,8,20,0.03990913,0.09252581,0.21275183,0.38821107,0.56359520,0.75120519
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-16 00:00:00.000000,0.08965703,0.17923983,0.37358406,8,17,36,4,9,23,0.04322202,0.10050493,0.23997371,0.38853596,0.55600521,0.74965902
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-17 00:00:00.000000,0.09278831,0.19713966,0.38875573,8,19,37,4,10,23,0.04137242,0.10760757,0.24618796,0.38983693,0.54668832,0.76083229
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-18 00:00:00.000000,0.09064241,0.20334307,0.39561952,8,19,38,3,11,24,0.04050609,0.11486012,0.25671546,0.39424604,0.54297873,0.76618678
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-19 00:00:00.000000,0.08803195,0.21896645,0.42307009,8,21,40,3,11,25,0.03942401,0.12330498,0.26457306,0.37047038,0.53769487,0.76358867
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-20 00:00:00.000000,0.08145379,0.22770746,0.43785619,7,22,42,3,12,26,0.03970689,0.13073694,0.27116295,0.35061197,0.52788928,0.72101597
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-21 00:00:00.000000,0.07975604,0.23176841,0.45119609,7,22,43,3,12,26,0.03571977,0.13237636,0.27733569,0.34916811,0.50529396,0.68181663
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-22 00:00:00.000000,0.07549630,0.23564986,0.44503057,7,22,43,3,12,27,0.03375191,0.12995015,0.28292668,0.32847766,0.49440509,0.67797141
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-23 00:00:00.000000,0.07891905,0.24152360,0.45428570,7,23,44,3,12,27,0.03218589,0.12923036,0.28668839,0.31715080,0.47429387,0.67571095
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-24 00:00:00.000000,0.07841804,0.24897490,0.46957183,7,24,45,3,13,29,0.03749038,0.13610184,0.30185924,0.31099780,0.46478066,0.67344916
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-25 00:00:00.000000,0.08172228,0.25130339,0.46872975,7,24,45,3,13,29,0.03822049,0.13886174,0.30176827,0.30912918,0.46077538,0.67075129
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-26 00:00:00.000000,0.08344032,0.25537056,0.47230215,8,24,45,3,13,29,0.04094122,0.14146935,0.30421029,0.29307454,0.45491625,0.66704624
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-27 00:00:00.000000,0.08354780,0.25249007,0.49040721,8,24,47,4,14,30,0.04188383,0.14728051,0.31599296,0.27823463,0.45126608,0.66160297
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-28 00:00:00.000000,0.08363143,0.25329083,0.50738573,8,24,49,4,14,31,0.04191410,0.14676022,0.32727019,0.27559538,0.43935911,0.65750561
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-29 00:00:00.000000,0.08388157,0.25318525,0.52307986,8,24,50,4,13,32,0.04195092,0.14238559,0.33493298,0.26803052,0.43218102,0.65549206
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-30 00:00:00.000000,0.08969354,0.25663344,0.51756870,8,24,50,4,13,31,0.04208771,0.13715890,0.33026767,0.26236684,0.42301890,0.64925709
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-03-31 00:00:00.000000,0.09573977,0.25614037,0.50804558,9,24,49,4,13,31,0.04762093,0.13877580,0.32731162,0.23234851,0.41106536,0.63761698
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-01 00:00:00.000000,0.09461634,0.23983296,0.52371899,9,23,50,4,12,31,0.04731452,0.13392932,0.32725791,0.22858891,0.40290606,0.62069114
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-02 00:00:00.000000,0.09251343,0.22957580,0.53797654,8,22,52,4,12,31,0.04625975,0.13134428,0.32461585,0.23054642,0.39425351,0.60048015
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-03 00:00:00.000000,0.08805636,0.22968624,0.53914998,8,22,52,4,12,31,0.04546494,0.12644947,0.32436123,0.23511121,0.39470228,0.59267559
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-04 00:00:00.000000,0.08491285,0.22501698,0.54021446,8,21,52,4,11,32,0.04360862,0.12323001,0.33352444,0.24237434,0.39349083,0.59385448
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-05 00:00:00.000000,0.08815495,0.21285669,0.51300135,8,20,49,4,11,33,0.04173978,0.11841345,0.34451717,0.22952491,0.39800592,0.57347343
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-06 00:00:00.000000,0.09110958,0.20667214,0.50244860,8,20,48,4,10,32,0.04320218,0.11192639,0.33162499,0.22513266,0.40188033,0.57622919
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-07 00:00:00.000000,0.08112907,0.19841368,0.49991142,7,19,48,3,10,31,0.04110615,0.11200907,0.32883948,0.22736726,0.39859345,0.57351421
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-08 00:00:00.000000,0.07341680,0.19767516,0.49545564,7,19,48,3,10,32,0.03670979,0.10884445,0.33143026,0.22395502,0.39415239,0.57823020
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-09 00:00:00.000000,0.06669435,0.19613817,0.48493339,6,19,46,3,9,31,0.03450711,0.10231270,0.32997774,0.22271869,0.39025621,0.58110413
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-10 00:00:00.000000,0.06524360,0.19390098,0.46384009,6,18,44,3,10,30,0.03410301,0.10526305,0.31787217,0.22811389,0.38426066,0.58139352
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-11 00:00:00.000000,0.06540530,0.19099994,0.43714826,6,18,42,3,10,29,0.03379735,0.10448476,0.30817167,0.22663581,0.38127351,0.58165884
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-12 00:00:00.000000,0.05844236,0.19342331,0.43294958,5,18,41,2,9,29,0.02973946,0.10320324,0.30189458,0.24062081,0.37829866,0.58138923
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-13 00:00:00.000000,0.06763888,0.18635106,0.44484698,6,18,43,2,9,28,0.02733748,0.10060578,0.29782992,0.24469879,0.37771944,0.59617862
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-14 00:00:00.000000,0.07374490,0.18558502,0.46350071,7,17,44,3,9,30,0.03520947,0.09687064,0.31613778,0.23122103,0.37506427,0.59486920
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-15 00:00:00.000000,0.06411546,0.18515937,0.48628994,6,17,47,3,9,31,0.03304328,0.09570978,0.32947685,0.22635476,0.37123743,0.57756456
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-16 00:00:00.000000,0.05571044,0.18449937,0.50791114,5,17,49,2,9,31,0.02840956,0.09580323,0.32653032,0.24982261,0.37516942,0.57603822
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-17 00:00:00.000000,0.04947748,0.17971418,0.50877094,4,17,49,2,9,31,0.02510350,0.09461305,0.32689299,0.27638650,0.37414781,0.56337516
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-18 00:00:00.000000,0.05023367,0.17468343,0.51064873,4,16,49,2,8,31,0.02495153,0.09268094,0.32767964,0.26394396,0.37644985,0.56696776
28155,0,USMississippiWebster,Mississippi,Webster,2020-08-31 17:37:26.964067,2020-04-19 00:00:00.000000,0.05133346,0.17192037,0.52217915,4,16,50,2,9,31,0.02550804,0.09308231,0.32843534,0.26778485,0.38509634,0.57816552
