FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-09 00:00:00.000000,0.00491721,0.04170500,0.09641206,1,12,28,0,3,10,0.00144985,0.01081934,0.03549492,0.58030774,0.75611775,1.05966929
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-10 00:00:00.000000,0.00629566,0.04699231,0.10319009,1,13,30,0,3,9,0.00252341,0.01246473,0.03358343,0.58031540,0.75612618,1.05923681
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-11 00:00:00.000000,0.00949336,0.05310668,0.12272590,2,15,36,1,4,11,0.00346940,0.01428260,0.03946163,0.58032844,0.75613882,1.05848822
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-12 00:00:00.000000,0.01297389,0.05804751,0.13590009,3,17,40,1,4,13,0.00440482,0.01623013,0.04616063,0.58035064,0.75615756,1.05719689
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-13 00:00:00.000000,0.01672587,0.06438571,0.16090172,4,19,47,1,5,15,0.00547676,0.01881510,0.05387564,0.58038865,0.75618481,1.05498230
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-14 00:00:00.000000,0.02028360,0.07192562,0.18177399,6,21,53,1,6,17,0.00647170,0.02206457,0.05980907,0.58045445,0.75622326,1.05122221
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-15 00:00:00.000000,0.02273676,0.08129019,0.20029593,6,24,59,2,7,19,0.00744085,0.02476214,0.06626728,0.58057069,0.75627465,1.04494527
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-16 00:00:00.000000,0.02686301,0.09494698,0.21424971,7,28,63,2,8,22,0.00845036,0.02728936,0.07523183,0.58078271,0.75648960,1.03961444
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-17 00:00:00.000000,0.03143680,0.10777279,0.24289226,9,31,72,3,8,24,0.01020589,0.02970657,0.08356875,0.58118524,0.75639175,1.03749919
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-18 00:00:00.000000,0.03603248,0.11882781,0.27552708,10,35,81,3,9,27,0.01184081,0.03339300,0.09264653,0.60141029,0.75302905,1.03260956
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-19 00:00:00.000000,0.04086020,0.13249068,0.31019671,12,39,92,4,11,33,0.01363660,0.03706839,0.11193013,0.60509388,0.75099904,0.99633744
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-20 00:00:00.000000,0.04595610,0.14868419,0.34754344,13,44,103,4,12,39,0.01556961,0.04043132,0.13337889,0.60024115,0.75074530,1.01726329
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-21 00:00:00.000000,0.05057680,0.16480460,0.38773789,15,48,115,5,13,46,0.01763293,0.04549243,0.15718999,0.58422536,0.74254145,1.02456904
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-22 00:00:00.000000,0.05612278,0.18179699,0.43090460,16,53,127,5,15,54,0.01982628,0.05169205,0.18405381,0.58381599,0.75109228,0.99791947
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-23 00:00:00.000000,0.06978085,0.19739636,0.47391881,20,58,140,6,17,61,0.02214971,0.05796657,0.20674969,0.57398811,0.74804618,1.00785473
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-24 00:00:00.000000,0.08764104,0.21490988,0.51784061,26,63,153,8,18,67,0.02775967,0.06289170,0.22566736,0.55359993,0.75380253,1.02507036
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-25 00:00:00.000000,0.10945085,0.24100149,0.55869202,32,71,165,9,20,72,0.03350166,0.06908760,0.24413317,0.54990072,0.74709787,1.02277033
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-26 00:00:00.000000,0.12281058,0.25817071,0.60012982,36,76,178,11,22,78,0.03792152,0.07738869,0.26336788,0.53553530,0.73351186,1.00661474
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-27 00:00:00.000000,0.13054170,0.27402653,0.63394325,38,81,188,11,26,84,0.03933974,0.08924751,0.28355861,0.53403277,0.70749581,0.97098666
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-28 00:00:00.000000,0.13857277,0.29016672,0.66772700,41,86,198,12,28,90,0.04067414,0.09546979,0.30444639,0.50458665,0.69310144,0.94697084
28163,0,USMississippiYazoo,Mississippi,Yazoo,2020-09-09 11:07:22.853650,2020-03-29 00:00:00.000000,0.14704811,0.30837212,0.70219277,43,91,208,12,29,94,0.04207037,0.10094212,0.31947680,0.48435665,0.69865987,0.90936187
