FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29065,0,USMissouriDent,Missouri,Dent,2020-08-09 15:33:08.846548,2020-03-09 00:00:00.000000,0.00596052,0.01694516,0.04890752,0,2,7,0,1,3,0.00130058,0.00706322,0.02287408,0.52709838,0.64102318,0.83722675
29065,0,USMissouriDent,Missouri,Dent,2020-08-09 15:33:08.846548,2020-03-10 00:00:00.000000,0.00521014,0.01968059,0.05407372,0,3,8,0,1,3,0.00296907,0.00724210,0.02332917,0.52709738,0.64101462,0.83722814
29065,0,USMissouriDent,Missouri,Dent,2020-08-09 15:33:08.846548,2020-03-11 00:00:00.000000,0.00557003,0.01989213,0.06865492,0,3,10,0,1,3,0.00286046,0.00733192,0.02417727,0.52709506,0.64099845,0.83723025
29065,0,USMissouriDent,Missouri,Dent,2020-08-09 15:33:08.846548,2020-03-12 00:00:00.000000,0.00540143,0.02090768,0.08382019,0,3,13,0,1,3,0.00286092,0.00734403,0.02536831,0.52708972,0.64096695,0.83723335
29065,0,USMissouriDent,Missouri,Dent,2020-08-09 15:33:08.846548,2020-03-13 00:00:00.000000,0.00540886,0.02119074,0.09548602,0,3,14,0,1,4,0.00289077,0.00723735,0.02752203,0.52707743,0.64090328,0.83723771
29065,0,USMissouriDent,Missouri,Dent,2020-08-09 15:33:08.846548,2020-03-14 00:00:00.000000,0.00509085,0.02159603,0.10644671,0,3,16,0,1,4,0.00285321,0.00712844,0.03146505,0.52704913,0.64076936,0.83724303
29065,0,USMissouriDent,Missouri,Dent,2020-08-09 15:33:08.846548,2020-03-15 00:00:00.000000,0.00492598,0.02154731,0.12095945,0,3,18,0,1,5,0.00271649,0.00701941,0.03611910,0.52698429,0.64044208,0.83724602
29065,0,USMissouriDent,Missouri,Dent,2020-08-09 15:33:08.846548,2020-03-16 00:00:00.000000,0.00470748,0.02187716,0.13621111,0,3,21,0,1,6,0.00262955,0.00691239,0.04090005,0.52683699,0.63968676,0.83722832
29065,0,USMissouriDent,Missouri,Dent,2020-08-09 15:33:08.846548,2020-03-17 00:00:00.000000,0.00451852,0.02181564,0.15230161,0,3,23,0,1,7,0.00251559,0.00680978,0.04602356,0.52650802,0.63804786,0.83709622
29065,0,USMissouriDent,Missouri,Dent,2020-08-09 15:33:08.846548,2020-03-18 00:00:00.000000,0.00431888,0.02181336,0.16903654,0,3,26,0,1,8,0.00241160,0.00691385,0.05191514,0.49339524,0.63341282,0.83637968
29065,0,USMissouriDent,Missouri,Dent,2020-08-09 15:33:08.846548,2020-03-19 00:00:00.000000,0.00412057,0.02251949,0.18541746,0,3,28,0,1,9,0.00230323,0.00694967,0.05863740,0.48238630,0.62320550,0.83289982
29065,0,USMissouriDent,Missouri,Dent,2020-08-09 15:33:08.846548,2020-03-20 00:00:00.000000,0.00391415,0.02266630,0.20245182,0,3,31,0,1,10,0.00219215,0.00705403,0.06621457,0.47031537,0.62087309,0.82000172
29065,0,USMissouriDent,Missouri,Dent,2020-08-09 15:33:08.846548,2020-03-21 00:00:00.000000,0.00370555,0.02303435,0.22062042,0,3,34,0,1,11,0.00207746,0.00694445,0.07157739,0.46058411,0.61877143,0.81703324
29065,0,USMissouriDent,Missouri,Dent,2020-08-09 15:33:08.846548,2020-03-22 00:00:00.000000,0.00350179,0.02324792,0.24005509,0,3,37,0,1,11,0.00196315,0.00684166,0.07525294,0.45440390,0.61637592,0.87784100
