FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-09 00:00:00.000000,0.01971445,0.08086034,0.19622437,1,8,19,0,1,7,0.00337611,0.01596062,0.07265743,0.47250310,0.65361788,0.89392095
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-10 00:00:00.000000,0.01626420,0.04272989,0.15032572,1,4,15,0,2,5,0.00486029,0.02027344,0.05369070,0.47250344,0.65361787,0.89392093
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-11 00:00:00.000000,0.01232546,0.04105881,0.12479593,1,4,12,0,1,4,0.00343978,0.01091712,0.03976719,0.47250383,0.65361784,0.89392086
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-12 00:00:00.000000,0.00713401,0.02859199,0.09408771,0,2,9,0,0,3,0.00262311,0.00928814,0.03231632,0.47250430,0.65361775,0.89392066
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-13 00:00:00.000000,0.00547312,0.02379378,0.08230930,0,2,8,0,0,2,0.00169621,0.00725257,0.02405351,0.47250485,0.65361742,0.89392003
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-14 00:00:00.000000,0.00444733,0.01783826,0.07243855,0,1,7,0,0,2,0.00110971,0.00575617,0.02068813,0.47250542,0.65361616,0.89391812
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-15 00:00:00.000000,0.00361530,0.01364662,0.06377136,0,1,6,0,0,1,0.00079987,0.00454285,0.01779774,0.47250488,0.65235455,0.89391227
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-16 00:00:00.000000,0.00195557,0.01072470,0.05614413,0,1,5,0,0,1,0.00064951,0.00352352,0.01525751,0.47247841,0.65070565,0.89389437
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-17 00:00:00.000000,0.00131181,0.00804797,0.04845848,0,0,4,0,0,1,0.00032995,0.00257023,0.01319981,0.46668408,0.64995795,0.89383951
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-18 00:00:00.000000,0.00064309,0.00577028,0.04137109,0,0,4,0,0,1,0.00024095,0.00192127,0.01137387,0.44925674,0.64985941,0.89352994
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-19 00:00:00.000000,0.00040445,0.00448362,0.03505578,0,0,3,0,0,1,0.00014443,0.00144952,0.00993169,0.43824149,0.63417948,0.89260166
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-20 00:00:00.000000,0.00026684,0.00338011,0.02912400,0,0,2,0,0,0,0.00009585,0.00104538,0.00892312,0.41520218,0.62893307,0.89483736
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-21 00:00:00.000000,0.00017658,0.00243728,0.02368752,0,0,2,0,0,0,0.00005700,0.00075018,0.00756041,0.39007142,0.60949609,0.88691218
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-22 00:00:00.000000,0.00011402,0.00186116,0.01894582,0,0,1,0,0,0,0.00003677,0.00056264,0.00607327,0.38998902,0.58483684,0.87784588
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-23 00:00:00.000000,0.00424240,0.01396663,0.03254520,0,1,3,0,0,0,0.00002055,0.00043701,0.00495228,0.38991143,0.57738797,0.87207872
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-24 00:00:00.000000,0.00819603,0.02412927,0.05141032,0,2,5,0,0,2,0.00265801,0.00836174,0.02248926,0.38474837,0.55991495,0.89168675
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-25 00:00:00.000000,0.01273880,0.03597067,0.08265458,1,3,8,0,1,2,0.00372744,0.01043361,0.02539661,0.37730390,0.54774188,0.88743133
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-26 00:00:00.000000,0.01530577,0.04316532,0.09988072,1,4,10,0,1,3,0.00454984,0.01339085,0.03658101,0.37013763,0.54174885,0.87036912
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-27 00:00:00.000000,0.01672037,0.04819911,0.11667067,1,4,11,0,1,3,0.00500220,0.01506068,0.03944501,0.36731095,0.53175652,0.81403406
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-28 00:00:00.000000,0.01766749,0.05127574,0.12842136,1,5,13,0,1,4,0.00529826,0.01589626,0.04448133,0.34643477,0.52456068,0.75788605
29093,0,USMissouriIron,Missouri,Iron,2020-10-02 05:34:52.652784,2020-03-29 00:00:00.000000,0.01827958,0.05377135,0.13814492,1,5,13,0,1,4,0.00547911,0.01624217,0.04450171,0.33429824,0.50787091,0.69757377
