FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-09 00:00:00.000000,0.00166174,0.00612086,0.01364704,2,7,16,0,1,6,0.00025466,0.00108746,0.00546620,0.46361513,0.64371262,0.85474689
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-10 00:00:00.000000,0.00185675,0.00533572,0.01445255,2,6,17,0,1,6,0.00040530,0.00142811,0.00545260,0.46360841,0.64345661,0.85471244
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-11 00:00:00.000000,0.00215574,0.00635314,0.01615182,2,7,19,0,1,7,0.00047853,0.00163933,0.00589599,0.46359685,0.64305565,0.85464318
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-12 00:00:00.000000,0.00251296,0.00728264,0.01817358,3,8,22,0,2,7,0.00057626,0.00185014,0.00642302,0.46357700,0.64243143,0.85449827
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-13 00:00:00.000000,0.00287852,0.00774858,0.02035397,3,9,24,0,2,8,0.00068054,0.00204301,0.00697261,0.46354308,0.64146869,0.85418639
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-14 00:00:00.000000,0.00324317,0.00839104,0.02263679,3,10,27,0,2,9,0.00077666,0.00222755,0.00753736,0.46348563,0.64000501,0.85330934
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-15 00:00:00.000000,0.00357914,0.00906740,0.02502637,4,11,30,0,2,9,0.00081750,0.00242807,0.00811877,0.46339054,0.63910782,0.85115021
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-16 00:00:00.000000,0.00391822,0.00986547,0.02753262,4,11,33,1,3,10,0.00086249,0.00268250,0.00871951,0.46324160,0.63910709,0.84825504
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-17 00:00:00.000000,0.00426027,0.01081198,0.03016033,5,13,36,1,3,11,0.00091083,0.00295157,0.00934166,0.46303809,0.63642318,0.84159077
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-18 00:00:00.000000,0.00461144,0.01173192,0.03289508,5,14,39,1,3,12,0.00096175,0.00315971,0.01012341,0.43319106,0.63525357,0.83595549
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-19 00:00:00.000000,0.00497645,0.01272400,0.03567520,6,15,43,1,4,13,0.00101460,0.00337355,0.01115507,0.39461229,0.62936911,0.83420154
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-20 00:00:00.000000,0.00527120,0.01373241,0.03835979,6,16,46,1,4,14,0.00108337,0.00362562,0.01222551,0.37791128,0.61654618,0.84688059
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-21 00:00:00.000000,0.00554295,0.01448280,0.04077261,6,17,49,1,4,16,0.00116662,0.00394866,0.01331595,0.37302774,0.59467072,0.85263460
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-22 00:00:00.000000,0.00582434,0.01503140,0.04285690,7,18,51,1,5,17,0.00125305,0.00423683,0.01438930,0.36039151,0.56985200,0.85542843
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-23 00:00:00.000000,0.00591943,0.01574559,0.04470939,7,19,54,1,5,18,0.00134285,0.00451961,0.01541358,0.35513177,0.56672693,0.85653492
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-24 00:00:00.000000,0.00595300,0.01651122,0.04645026,7,20,56,1,5,19,0.00143625,0.00480892,0.01638673,0.34988236,0.54557477,0.85709514
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-25 00:00:00.000000,0.00603728,0.01755768,0.04815995,7,21,58,1,6,21,0.00153353,0.00511033,0.01731972,0.34257471,0.53821666,0.85856132
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-26 00:00:00.000000,0.00618036,0.01799397,0.04987033,7,21,60,1,6,22,0.00163497,0.00542597,0.01821655,0.33362466,0.54063111,0.86721364
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-27 00:00:00.000000,0.00637153,0.01855795,0.05157976,7,22,62,2,6,23,0.00174092,0.00574583,0.01907257,0.33488144,0.53328240,0.89463013
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-28 00:00:00.000000,0.00659684,0.01945375,0.05327567,8,23,64,2,7,24,0.00185168,0.00603613,0.01988112,0.31594405,0.52534168,0.88184072
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-29 00:00:00.000000,0.00684458,0.02007762,0.05494967,8,24,66,2,7,25,0.00196756,0.00632460,0.02064016,0.28288993,0.50929206,0.84868378
29097,0,USMissouriJasper,Missouri,Jasper,2020-08-09 14:38:16.892041,2020-03-30 00:00:00.000000,0.00711072,0.02096355,0.05659995,8,25,68,2,8,25,0.00208886,0.00667186,0.02135512,0.27536881,0.50399332,0.80081616
