FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29129,0,USMissouriMercer,Missouri,Mercer,2020-09-17 04:07:22.446362,2020-03-09 00:00:00.000000,0.06003838,0.27044360,0.70623151,2,9,25,0,1,9,0.00717516,0.05040485,0.27252788,0.53433470,0.76232940,1.02418911
29129,0,USMissouriMercer,Missouri,Mercer,2020-09-17 04:07:22.446362,2020-03-10 00:00:00.000000,0.03433582,0.16056216,0.51420134,1,5,18,0,2,6,0.01312055,0.06210887,0.16637223,0.53433478,0.76201129,1.02316352
29129,0,USMissouriMercer,Missouri,Mercer,2020-09-17 04:07:22.446362,2020-03-11 00:00:00.000000,0.03226218,0.14266070,0.41586666,1,5,15,0,1,4,0.00832736,0.03837593,0.13793874,0.53433489,0.76146273,1.02127171
29129,0,USMissouriMercer,Missouri,Mercer,2020-09-17 04:07:22.446362,2020-03-12 00:00:00.000000,0.02195535,0.09863063,0.28989720,0,3,10,0,1,3,0.00698294,0.03301555,0.09811099,0.53433502,0.76082076,1.02125288
29129,0,USMissouriMercer,Missouri,Mercer,2020-09-17 04:07:22.446362,2020-03-13 00:00:00.000000,0.01693356,0.07343188,0.23096309,0,2,8,0,0,2,0.00490515,0.02156835,0.07613062,0.53433502,0.76530277,1.02123160
29129,0,USMissouriMercer,Missouri,Mercer,2020-09-17 04:07:22.446362,2020-03-14 00:00:00.000000,0.01233339,0.04820148,0.16893854,0,1,6,0,0,2,0.00372706,0.01769129,0.06219744,0.53433426,0.76562158,1.01925157
29129,0,USMissouriMercer,Missouri,Mercer,2020-09-17 04:07:22.446362,2020-03-15 00:00:00.000000,0.00921706,0.03681635,0.13452907,0,1,4,0,0,1,0.00273032,0.01169042,0.04767304,0.53433021,0.76619404,1.01495883
29129,0,USMissouriMercer,Missouri,Mercer,2020-09-17 04:07:22.446362,2020-03-16 00:00:00.000000,0.00628502,0.02487987,0.11511169,0,0,4,0,0,1,0.00203595,0.00931166,0.03986856,0.53431368,0.76588307,1.00870382
29129,0,USMissouriMercer,Missouri,Mercer,2020-09-17 04:07:22.446362,2020-03-17 00:00:00.000000,0.00409147,0.01986496,0.09627219,0,0,3,0,0,1,0.00131234,0.00596422,0.03201005,0.53425169,0.76374213,1.00205011
29129,0,USMissouriMercer,Missouri,Mercer,2020-09-17 04:07:22.446362,2020-03-18 00:00:00.000000,0.00265928,0.01400002,0.07996475,0,0,2,0,0,0,0.00094044,0.00494472,0.02548755,0.53038919,0.75429607,1.00172698
