FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29141,0,USMissouriMorgan,Missouri,Morgan,2020-08-21 16:55:26.928678,2020-03-09 00:00:00.000000,0.00699534,0.03001263,0.09306306,1,6,19,0,1,7,0.00240159,0.00932661,0.03513534,0.48667084,0.73249076,1.06531156
29141,0,USMissouriMorgan,Missouri,Morgan,2020-08-21 16:55:26.928678,2020-03-10 00:00:00.000000,0.00681073,0.03172326,0.09229515,1,6,19,0,1,7,0.00204149,0.00900765,0.03425071,0.48667191,0.73249042,1.06871677
29141,0,USMissouriMorgan,Missouri,Morgan,2020-08-21 16:55:26.928678,2020-03-11 00:00:00.000000,0.00781199,0.03645684,0.09286348,1,7,19,0,1,6,0.00188911,0.00935187,0.03390888,0.48667387,0.73248921,1.07471836
29141,0,USMissouriMorgan,Missouri,Morgan,2020-08-21 16:55:26.928678,2020-03-12 00:00:00.000000,0.00909793,0.04108538,0.10157031,1,8,20,0,1,6,0.00165690,0.00908299,0.03383430,0.48667749,0.73248461,1.08344235
29141,0,USMissouriMorgan,Missouri,Morgan,2020-08-21 16:55:26.928678,2020-03-13 00:00:00.000000,0.01060866,0.04436127,0.11541282,2,9,23,0,1,7,0.00152873,0.00924525,0.03401057,0.48668427,0.73246660,1.08388787
29141,0,USMissouriMorgan,Missouri,Morgan,2020-08-21 16:55:26.928678,2020-03-14 00:00:00.000000,0.01220694,0.04806455,0.13044675,2,9,26,0,2,7,0.00149643,0.00977146,0.03442421,0.48669769,0.73239475,1.08459472
29141,0,USMissouriMorgan,Missouri,Morgan,2020-08-21 16:55:26.928678,2020-03-15 00:00:00.000000,0.01352596,0.05142175,0.14599486,2,10,30,0,2,7,0.00151265,0.01001133,0.03506428,0.48672911,0.73210867,1.08562593
29141,0,USMissouriMorgan,Missouri,Morgan,2020-08-21 16:55:26.928678,2020-03-16 00:00:00.000000,0.01981500,0.06460860,0.16913401,4,13,34,0,2,7,0.00155415,0.01005898,0.03592200,0.48683172,0.72859637,1.08581118
29141,0,USMissouriMorgan,Missouri,Morgan,2020-08-21 16:55:26.928678,2020-03-17 00:00:00.000000,0.02414497,0.07779798,0.19032167,4,16,39,0,2,7,0.00195518,0.01080457,0.03697752,0.50169616,0.72408400,1.08583347
29141,0,USMissouriMorgan,Missouri,Morgan,2020-08-21 16:55:26.928678,2020-03-18 00:00:00.000000,0.02855652,0.09249326,0.21173482,5,19,43,0,2,7,0.00254547,0.01186828,0.03777541,0.50083621,0.72790792,1.08593074
29141,0,USMissouriMorgan,Missouri,Morgan,2020-08-21 16:55:26.928678,2020-03-19 00:00:00.000000,0.03233354,0.10498285,0.23375858,6,21,48,0,2,8,0.00324292,0.01290773,0.03955288,0.48710626,0.71972129,1.08632941
29141,0,USMissouriMorgan,Missouri,Morgan,2020-08-21 16:55:26.928678,2020-03-20 00:00:00.000000,0.03599998,0.11709316,0.25683454,7,24,52,0,2,8,0.00397131,0.01365092,0.04259790,0.48596292,0.71029216,1.08788095
