FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29145,0,USMissouriNewton,Missouri,Newton,2020-07-16 10:59:46.302764,2020-03-09 00:00:00.000000,0.00304030,0.01829699,0.05908038,1,10,34,0,3,17,0.00018480,0.00661628,0.03048610,0.48064859,0.66319771,0.96442679
29145,0,USMissouriNewton,Missouri,Newton,2020-07-16 10:59:46.302764,2020-03-10 00:00:00.000000,0.00284109,0.01591345,0.04885845,1,9,28,0,3,12,0.00044944,0.00643341,0.02121711,0.48044474,0.66319750,0.96442578
29145,0,USMissouriNewton,Missouri,Newton,2020-07-16 10:59:46.302764,2020-03-11 00:00:00.000000,0.00227557,0.01567720,0.04230510,1,9,24,0,3,12,0.00067338,0.00633754,0.02155518,0.47996047,0.66319698,0.96442292
29145,0,USMissouriNewton,Missouri,Newton,2020-07-16 10:59:46.302764,2020-03-12 00:00:00.000000,0.00243404,0.01490344,0.04236680,1,8,24,0,3,11,0.00054375,0.00616891,0.01929917,0.47894597,0.66319571,0.96441450
29145,0,USMissouriNewton,Missouri,Newton,2020-07-16 10:59:46.302764,2020-03-13 00:00:00.000000,0.00237367,0.01501673,0.03982501,1,8,23,0,3,10,0.00075078,0.00612502,0.01819123,0.47824769,0.66319260,0.96438918
29145,0,USMissouriNewton,Missouri,Newton,2020-07-16 10:59:46.302764,2020-03-14 00:00:00.000000,0.00265060,0.01483609,0.04157568,1,8,24,0,3,9,0.00083534,0.00612043,0.01713634,0.47666602,0.66318496,0.96431191
29145,0,USMissouriNewton,Missouri,Newton,2020-07-16 10:59:46.302764,2020-03-15 00:00:00.000000,0.00275149,0.01512781,0.04112482,1,8,23,0,3,9,0.00087166,0.00613181,0.01605447,0.47438886,0.66316619,0.96407435
29145,0,USMissouriNewton,Missouri,Newton,2020-07-16 10:59:46.302764,2020-03-16 00:00:00.000000,0.00293286,0.01454852,0.04079207,1,8,23,0,3,9,0.00091682,0.00600096,0.01660839,0.47400265,0.65847499,0.96334202
29145,0,USMissouriNewton,Missouri,Newton,2020-07-16 10:59:46.302764,2020-03-17 00:00:00.000000,0.00282841,0.01456372,0.04129645,1,8,24,0,3,8,0.00093107,0.00627254,0.01470966,0.47394658,0.65884295,0.96109261
29145,0,USMissouriNewton,Missouri,Newton,2020-07-16 10:59:46.302764,2020-03-18 00:00:00.000000,0.00308278,0.01441006,0.04066089,1,8,23,0,3,9,0.00102156,0.00629105,0.01565053,0.47731858,0.65304865,0.95251216
29145,0,USMissouriNewton,Missouri,Newton,2020-07-16 10:59:46.302764,2020-03-19 00:00:00.000000,0.00302059,0.01462520,0.04272438,1,8,24,0,3,8,0.00101041,0.00637616,0.01506058,0.46800719,0.64102353,0.92529216
29145,0,USMissouriNewton,Missouri,Newton,2020-07-16 10:59:46.302764,2020-03-20 00:00:00.000000,0.00311459,0.01387345,0.04099573,1,8,23,0,3,8,0.00111880,0.00582587,0.01522364,0.45572065,0.63482543,0.86314501
29145,0,USMissouriNewton,Missouri,Newton,2020-07-16 10:59:46.302764,2020-03-21 00:00:00.000000,0.00264240,0.01409736,0.04392465,1,8,25,0,3,9,0.00111516,0.00608707,0.01623894,0.43930228,0.62077416,0.85945906
29145,0,USMissouriNewton,Missouri,Newton,2020-07-16 10:59:46.302764,2020-03-22 00:00:00.000000,0.00243099,0.01306661,0.04297224,1,7,25,0,3,10,0.00127438,0.00596684,0.01719966,0.42983382,0.60438732,0.91425565
29145,0,USMissouriNewton,Missouri,Newton,2020-07-16 10:59:46.302764,2020-03-23 00:00:00.000000,0.00231031,0.01376696,0.04386670,1,8,25,0,3,10,0.00113945,0.00584706,0.01738606,0.42304423,0.59740759,0.93518955
29145,0,USMissouriNewton,Missouri,Newton,2020-07-16 10:59:46.302764,2020-03-24 00:00:00.000000,0.00244014,0.01283018,0.04394291,1,7,25,0,3,10,0.00112993,0.00568061,0.01826175,0.40891672,0.59137539,0.93186815
29145,0,USMissouriNewton,Missouri,Newton,2020-07-16 10:59:46.302764,2020-03-25 00:00:00.000000,0.00259035,0.01290355,0.04702726,1,7,27,0,3,10,0.00094677,0.00580168,0.01851991,0.39423011,0.58261884,0.92623738
