FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29179,0,USMissouriReynolds,Missouri,Reynolds,2020-09-17 04:02:02.278990,2020-03-09 00:00:00.000000,0.02967287,0.14948234,0.33968990,1,9,21,0,1,8,0.00164547,0.03057683,0.13351201,0.49027640,0.70586683,1.04528208
29179,0,USMissouriReynolds,Missouri,Reynolds,2020-09-17 04:02:02.278990,2020-03-10 00:00:00.000000,0.01122408,0.09069427,0.27417675,0,5,17,0,2,6,0.00509387,0.03343885,0.09860251,0.49026864,0.70586686,1.04528191
29179,0,USMissouriReynolds,Missouri,Reynolds,2020-09-17 04:02:02.278990,2020-03-11 00:00:00.000000,0.00987712,0.07530349,0.19630418,0,4,12,0,1,4,0.00228638,0.02204985,0.07422483,0.49025676,0.70586699,1.04528138
29179,0,USMissouriReynolds,Missouri,Reynolds,2020-09-17 04:02:02.278990,2020-03-12 00:00:00.000000,0.00635127,0.05145053,0.14673062,0,3,9,0,1,3,0.00217119,0.01788487,0.05464182,0.49023858,0.70586746,1.04527975
29179,0,USMissouriReynolds,Missouri,Reynolds,2020-09-17 04:02:02.278990,2020-03-13 00:00:00.000000,0.00483700,0.04019961,0.11732483,0,2,7,0,0,2,0.00151089,0.01229428,0.04140400,0.49021080,0.70586919,1.04527492
29179,0,USMissouriReynolds,Missouri,Reynolds,2020-09-17 04:02:02.278990,2020-03-14 00:00:00.000000,0.00378763,0.02938095,0.10383543,0,1,6,0,0,1,0.00132755,0.00923832,0.03084398,0.49016840,0.70587552,1.04526068
29179,0,USMissouriReynolds,Missouri,Reynolds,2020-09-17 04:02:02.278990,2020-03-15 00:00:00.000000,0.00254779,0.02266281,0.08022181,0,1,5,0,0,1,0.00082078,0.00641973,0.02446255,0.49010375,0.70589869,1.04521905
29179,0,USMissouriReynolds,Missouri,Reynolds,2020-09-17 04:02:02.278990,2020-03-16 00:00:00.000000,0.01581484,0.03527019,0.08308020,0,2,5,0,0,1,0.00052186,0.00522990,0.01786874,0.47570901,0.70598291,1.04509797
29179,0,USMissouriReynolds,Missouri,Reynolds,2020-09-17 04:02:02.278990,2020-03-17 00:00:00.000000,0.02224868,0.04438521,0.10125401,1,2,6,0,0,2,0.00572229,0.01564993,0.03905767,0.44660594,0.71024472,1.04474760
29179,0,USMissouriReynolds,Missouri,Reynolds,2020-09-17 04:02:02.278990,2020-03-18 00:00:00.000000,0.02632806,0.06363730,0.13397328,1,3,8,0,1,2,0.00800937,0.01890466,0.04680855,0.43556141,0.70726944,1.04374235
