FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-09 00:00:00.000000,0.00794708,0.04527252,0.12466691,0,4,11,0,2,7,0.00411733,0.02411270,0.07838711,0.41600067,0.55990400,0.73742298
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-10 00:00:00.000000,0.00886104,0.04197578,0.12360696,0,3,11,0,2,6,0.00477608,0.02495605,0.07346619,0.41600067,0.55988711,0.73730683
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-11 00:00:00.000000,0.01002503,0.04170082,0.11649662,0,3,10,0,2,7,0.00548144,0.02441514,0.07464433,0.41600068,0.55985177,0.73715003
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-12 00:00:00.000000,0.01105508,0.04135070,0.11206985,1,3,10,0,2,6,0.00609929,0.02411855,0.07353515,0.41600070,0.55977785,0.73693824
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-13 00:00:00.000000,0.01194730,0.03959959,0.11553987,1,3,10,0,2,6,0.00662970,0.02386839,0.07229556,0.41600078,0.55962337,0.73665152
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-14 00:00:00.000000,0.01189715,0.04025907,0.11754798,1,3,11,0,2,6,0.00709158,0.02366128,0.07073238,0.41600116,0.55930143,0.73626018
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-15 00:00:00.000000,0.01155851,0.03926304,0.12312375,1,3,11,0,2,6,0.00749989,0.02330423,0.07279135,0.41600318,0.55818482,0.73571366
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-16 00:00:00.000000,0.01123440,0.03779300,0.12690023,1,3,11,0,2,7,0.00710059,0.02219488,0.07672328,0.41601452,0.55713962,0.73490842
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-17 00:00:00.000000,0.01092482,0.03713769,0.13016067,1,3,12,0,2,7,0.00655424,0.02212114,0.07822972,0.40791099,0.55197235,0.73364463
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-18 00:00:00.000000,0.01063310,0.03555483,0.13198721,0,3,12,0,2,7,0.00603883,0.02141525,0.07628970,0.40193501,0.54571156,0.73173871
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-19 00:00:00.000000,0.01036531,0.03462255,0.13168870,0,3,12,0,1,6,0.00555282,0.02046513,0.07443349,0.40070409,0.53547989,0.72709008
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-20 00:00:00.000000,0.00961888,0.03283248,0.12958294,0,3,12,0,1,6,0.00509318,0.01951732,0.07417768,0.37999006,0.52695625,0.72232184
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-21 00:00:00.000000,0.00877177,0.03159652,0.12636558,0,2,11,0,1,7,0.00465516,0.01917848,0.07602250,0.34728754,0.51706826,0.71389982
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-22 00:00:00.000000,0.00793915,0.03079202,0.12351637,0,2,11,0,1,7,0.00429359,0.01892313,0.07784071,0.32462326,0.50186612,0.69881781
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-23 00:00:00.000000,0.01701311,0.04061413,0.13174442,1,3,12,0,1,7,0.00416987,0.01818456,0.07965956,0.31274045,0.47928906,0.71552864
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-24 00:00:00.000000,0.02125664,0.04948397,0.14063151,1,4,13,0,2,8,0.01051247,0.02651161,0.08693258,0.29979618,0.46175483,0.72100222
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-25 00:00:00.000000,0.02964614,0.06051686,0.15208081,2,5,14,1,2,8,0.01417070,0.03172084,0.09288075,0.29744825,0.44622251,0.72132830
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-26 00:00:00.000000,0.03572972,0.07297484,0.16249505,3,6,15,1,3,9,0.01641170,0.03859494,0.09908971,0.29626464,0.44124797,0.72175328
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-27 00:00:00.000000,0.04082284,0.08175981,0.17120857,3,7,16,1,4,10,0.01781218,0.04471526,0.11383776,0.25818211,0.43109873,0.71201244
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-28 00:00:00.000000,0.04479610,0.09111048,0.18668866,4,8,17,1,4,11,0.01912003,0.05038818,0.12586164,0.24109232,0.41474423,0.68965746
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-29 00:00:00.000000,0.04725347,0.09810080,0.20449166,4,9,19,1,5,12,0.02029983,0.05502124,0.13043121,0.23879071,0.39225941,0.66653378
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-30 00:00:00.000000,0.04984549,0.10672046,0.21569728,4,10,20,2,5,12,0.02137974,0.05856028,0.13418673,0.23749594,0.38658148,0.64695755
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-03-31 00:00:00.000000,0.04928074,0.11576918,0.22602159,4,10,21,2,5,12,0.02227324,0.06322237,0.13792448,0.23578612,0.37584882,0.63252373
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-01 00:00:00.000000,0.04900048,0.12779678,0.23422100,4,12,22,2,6,13,0.02214744,0.06793720,0.14347468,0.22858972,0.37119185,0.62286051
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-02 00:00:00.000000,0.04896969,0.13159257,0.25598136,4,12,24,2,6,13,0.02481076,0.07010023,0.14852280,0.21755764,0.36860453,0.61678385
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-03 00:00:00.000000,0.04899829,0.13530704,0.27289221,4,12,25,2,6,15,0.02382253,0.07250302,0.16339112,0.21587059,0.36669291,0.61309169
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-04 00:00:00.000000,0.04915290,0.13866687,0.29802716,4,13,28,2,7,16,0.02224139,0.07644798,0.17592309,0.21121409,0.36234100,0.61082575
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-05 00:00:00.000000,0.04937797,0.14134047,0.31188573,4,13,29,2,7,17,0.02223980,0.07966361,0.18418833,0.20100033,0.35774232,0.60912077
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-06 00:00:00.000000,0.04287642,0.13460396,0.31546939,4,12,29,2,7,18,0.02234252,0.08080049,0.19267568,0.19493408,0.35278088,0.60551693
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-07 00:00:00.000000,0.03633977,0.12571430,0.31863556,3,11,29,1,6,18,0.01737240,0.07306551,0.19421710,0.19304515,0.34243637,0.55103412
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-08 00:00:00.000000,0.02653179,0.11012321,0.29627919,2,10,27,1,6,18,0.01327708,0.06748678,0.19556877,0.19182575,0.33512594,0.51634698
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-09 00:00:00.000000,0.02128837,0.10078609,0.27577649,2,9,25,1,5,17,0.01129433,0.06264073,0.18476813,0.19063022,0.33032552,0.51900101
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-10 00:00:00.000000,0.01846874,0.08976116,0.25522601,1,8,23,0,5,16,0.00918322,0.05611850,0.17157140,0.19009513,0.32191642,0.51623921
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-11 00:00:00.000000,0.01476995,0.07843477,0.23531355,1,7,22,0,4,14,0.00740162,0.04861801,0.15845321,0.19685732,0.31866500,0.47392391
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-12 00:00:00.000000,0.01178592,0.06614436,0.21634811,1,6,20,0,3,13,0.00591871,0.04094270,0.14582618,0.19444435,0.32204912,0.46096101
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-13 00:00:00.000000,0.00940562,0.05693264,0.19855253,0,5,18,0,3,12,0.00473615,0.03481387,0.13393557,0.16216508,0.31832732,0.47769468
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-14 00:00:00.000000,0.00753273,0.05163144,0.18191248,0,4,17,0,2,11,0.00380212,0.03018787,0.12284078,0.15545987,0.30983626,0.48488538
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-15 00:00:00.000000,0.00605806,0.04638092,0.16622253,0,4,15,0,2,10,0.00306193,0.02662892,0.11246363,0.15454134,0.30036117,0.48116652
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-16 00:00:00.000000,0.00489277,0.04026864,0.15223232,0,3,14,0,2,9,0.00247343,0.02407865,0.10262304,0.15383122,0.29066557,0.47406567
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-17 00:00:00.000000,0.00397033,0.03454394,0.14054960,0,3,13,0,1,8,0.00200532,0.02088514,0.09309092,0.15301718,0.29031492,0.45827184
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-18 00:00:00.000000,0.00323883,0.02955418,0.12629950,0,2,11,0,1,7,0.00163340,0.01811746,0.08378229,0.15212698,0.28666819,0.42954249
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-19 00:00:00.000000,0.00265546,0.02533108,0.11071141,0,2,10,0,1,7,0.00133733,0.01573039,0.07547389,0.15121110,0.27472756,0.41460981
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-20 00:00:00.000000,0.00218548,0.02208565,0.09694440,0,2,9,0,1,6,0.00109949,0.01401297,0.06651863,0.15035585,0.26951976,0.41098532
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-21 00:00:00.000000,0.00180251,0.01933613,0.08571979,0,1,8,0,1,5,0.00090600,0.01228805,0.05890128,0.14957927,0.26421339,0.40522216
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-22 00:00:00.000000,0.00148769,0.01753681,0.07553958,0,1,7,0,0,4,0.00074715,0.01062346,0.05200546,0.14852625,0.26428332,0.40900686
29185,0,USMissouriSt.Clair,Missouri,St. Clair,2020-09-29 05:32:26.510624,2020-04-23 00:00:00.000000,0.00122772,0.01550767,0.06778033,0,1,6,0,0,4,0.00061616,0.00916197,0.04575537,0.14621189,0.26550859,0.41341822
