FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
30007,0,USMontanaBroadwater,Montana,Broadwater,2020-10-11 15:36:48.762011,2020-03-09 00:00:00.000000,0.03552907,0.09868183,0.24101092,2,6,15,0,2,8,0.01059246,0.04647834,0.13955069,0.34850446,0.45543985,0.64373281
30007,0,USMontanaBroadwater,Montana,Broadwater,2020-10-11 15:36:48.762011,2020-03-10 00:00:00.000000,0.05638794,0.12371164,0.26584195,3,7,16,0,3,8,0.01507009,0.04868104,0.13240833,0.34850341,0.45497632,0.64372214
30007,0,USMontanaBroadwater,Montana,Broadwater,2020-10-11 15:36:48.762011,2020-03-11 00:00:00.000000,0.07448444,0.15060612,0.30688109,4,9,19,1,3,8,0.02173740,0.05385280,0.13290011,0.34850161,0.45410780,0.64370558
30007,0,USMontanaBroadwater,Montana,Broadwater,2020-10-11 15:36:48.762011,2020-03-12 00:00:00.000000,0.09610523,0.17658893,0.35346107,5,11,22,1,3,8,0.02793146,0.06069130,0.14187250,0.34849842,0.45244415,0.64367868
30007,0,USMontanaBroadwater,Montana,Broadwater,2020-10-11 15:36:48.762011,2020-03-13 00:00:00.000000,0.11829609,0.20503768,0.39053261,7,12,24,2,4,9,0.03532518,0.07204558,0.16005151,0.34849426,0.44904596,0.64363252
30007,0,USMontanaBroadwater,Montana,Broadwater,2020-10-11 15:36:48.762011,2020-03-14 00:00:00.000000,0.13226557,0.23649590,0.45022604,8,14,28,2,5,11,0.04415160,0.08488336,0.18098796,0.34847171,0.44093342,0.64353627
30007,0,USMontanaBroadwater,Montana,Broadwater,2020-10-11 15:36:48.762011,2020-03-15 00:00:00.000000,0.15193972,0.26629868,0.49235325,9,16,30,3,6,12,0.05359691,0.09769752,0.20478821,0.34840825,0.43516872,0.64329213
30007,0,USMontanaBroadwater,Montana,Broadwater,2020-10-11 15:36:48.762011,2020-03-16 00:00:00.000000,0.18012697,0.30230540,0.53065889,11,18,33,3,6,14,0.06139661,0.11210428,0.23013138,0.34656161,0.43050576,0.64275798
30007,0,USMontanaBroadwater,Montana,Broadwater,2020-10-11 15:36:48.762011,2020-03-17 00:00:00.000000,0.19870494,0.33474369,0.56257691,12,20,35,4,8,15,0.06883523,0.12992804,0.25274005,0.31795708,0.41977594,0.62176411
30007,0,USMontanaBroadwater,Montana,Broadwater,2020-10-11 15:36:48.762011,2020-03-18 00:00:00.000000,0.20916772,0.37945093,0.58572922,13,23,36,4,9,16,0.07732219,0.14857459,0.27215529,0.29882953,0.41659973,0.59332671
30007,0,USMontanaBroadwater,Montana,Broadwater,2020-10-11 15:36:48.762011,2020-03-19 00:00:00.000000,0.22105799,0.41578753,0.62063654,13,25,38,5,10,18,0.08656912,0.16279428,0.29659840,0.27788740,0.40374435,0.56692216
30007,0,USMontanaBroadwater,Montana,Broadwater,2020-10-11 15:36:48.762011,2020-03-20 00:00:00.000000,0.23727698,0.44535432,0.70036673,14,27,43,5,11,20,0.09571366,0.18146141,0.32194085,0.26188427,0.38455606,0.54553494
30007,0,USMontanaBroadwater,Montana,Broadwater,2020-10-11 15:36:48.762011,2020-03-21 00:00:00.000000,0.25238135,0.47634554,0.74671680,15,29,46,6,12,21,0.10148720,0.20195939,0.34433857,0.24327412,0.36066110,0.51303950
30007,0,USMontanaBroadwater,Montana,Broadwater,2020-10-11 15:36:48.762011,2020-03-22 00:00:00.000000,0.26626088,0.50762262,0.78839552,16,31,49,6,13,22,0.10898392,0.22299609,0.36556470,0.22872462,0.32621116,0.47200456
30007,0,USMontanaBroadwater,Montana,Broadwater,2020-10-11 15:36:48.762011,2020-03-23 00:00:00.000000,0.29691496,0.53461352,0.81946501,18,33,51,7,15,24,0.11648558,0.24131640,0.38508799,0.21178747,0.31401899,0.43913776
30007,0,USMontanaBroadwater,Montana,Broadwater,2020-10-11 15:36:48.762011,2020-03-24 00:00:00.000000,0.31902468,0.57633497,0.85143300,19,35,53,7,16,24,0.12650286,0.25843570,0.40077471,0.20307898,0.30375699,0.41428818
