FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
30013,0,USMontanaCascade,Montana,Cascade,2020-07-31 02:06:52.038969,2020-03-09 00:00:00.000000,0.00285780,0.01504766,0.11235137,2,12,91,0,0,6,0.00001991,0.00120199,0.00845325,0.52432542,0.71040698,1.04680685
30013,0,USMontanaCascade,Montana,Cascade,2020-07-31 02:06:52.038969,2020-03-10 00:00:00.000000,0.00400979,0.00844874,0.02629249,3,6,21,0,1,6,0.00027876,0.00194576,0.00751861,0.52432544,0.71040670,1.04680685
30013,0,USMontanaCascade,Montana,Cascade,2020-07-31 02:06:52.038969,2020-03-11 00:00:00.000000,0.00557701,0.01116829,0.03688316,4,9,30,0,1,6,0.00005459,0.00133177,0.00742431,0.52432547,0.71040550,1.04680685
30013,0,USMontanaCascade,Montana,Cascade,2020-07-31 02:06:52.038969,2020-03-12 00:00:00.000000,0.00572092,0.01081414,0.02821543,4,8,22,0,1,6,0.00038274,0.00190440,0.00762777,0.52432554,0.71040026,1.04680685
30013,0,USMontanaCascade,Montana,Cascade,2020-07-31 02:06:52.038969,2020-03-13 00:00:00.000000,0.00785883,0.01351309,0.04128814,6,10,33,0,1,6,0.00007528,0.00164883,0.00794418,0.52432564,0.71037781,1.04680685
30013,0,USMontanaCascade,Montana,Cascade,2020-07-31 02:06:52.038969,2020-03-14 00:00:00.000000,0.00541509,0.01262113,0.03451194,4,10,28,0,1,6,0.00048641,0.00225498,0.00830437,0.52432580,0.71028170,1.04680685
30013,0,USMontanaCascade,Montana,Cascade,2020-07-31 02:06:52.038969,2020-03-15 00:00:00.000000,0.00790440,0.01516849,0.04932087,6,12,40,0,1,7,0.00008563,0.00182027,0.00867791,0.52432588,0.70987183,1.04680685
30013,0,USMontanaCascade,Montana,Cascade,2020-07-31 02:06:52.038969,2020-03-16 00:00:00.000000,0.00517586,0.01429168,0.03790323,4,11,30,0,2,7,0.00060996,0.00253995,0.00904601,0.52432501,0.70801530,1.04680735
30013,0,USMontanaCascade,Montana,Cascade,2020-07-31 02:06:52.038969,2020-03-17 00:00:00.000000,0.00759807,0.01718591,0.05769590,6,13,46,0,1,7,0.00009740,0.00201707,0.00936752,0.52431849,0.69053360,1.04689329
30013,0,USMontanaCascade,Montana,Cascade,2020-07-31 02:06:52.038969,2020-03-18 00:00:00.000000,0.00498477,0.01603346,0.04279637,4,13,34,0,2,7,0.00073379,0.00259294,0.00967887,0.52277535,0.67649851,1.08016772
30013,0,USMontanaCascade,Montana,Cascade,2020-07-31 02:06:52.038969,2020-03-19 00:00:00.000000,0.00730553,0.01924411,0.06636832,5,15,54,0,1,8,0.00010874,0.00230061,0.01039454,0.52189588,0.65760138,1.17542958
