FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
30019,0,USMontanaDaniels,Montana,Daniels,2020-10-11 15:34:51.820073,2020-03-09 00:00:00.000000,0.00484191,0.04059316,0.22892090,0,0,3,0,0,2,0.00264140,0.02005557,0.13414783,0.40739887,0.56633204,0.70377052
30019,0,USMontanaDaniels,Montana,Daniels,2020-10-11 15:34:51.820073,2020-03-10 00:00:00.000000,0.00537825,0.04535197,0.24964649,0,0,4,0,0,2,0.00265867,0.02052688,0.14216373,0.40709547,0.56631850,0.70366090
30019,0,USMontanaDaniels,Montana,Daniels,2020-10-11 15:34:51.820073,2020-03-11 00:00:00.000000,0.00594194,0.05016183,0.27191662,0,0,4,0,0,2,0.00284449,0.02199694,0.15305047,0.40672479,0.56628994,0.70346562
30019,0,USMontanaDaniels,Montana,Daniels,2020-10-11 15:34:51.820073,2020-03-12 00:00:00.000000,0.00654380,0.05515403,0.29595633,0,0,5,0,0,2,0.00308668,0.02410362,0.15469062,0.40627419,0.56622935,0.70311807
30019,0,USMontanaDaniels,Montana,Daniels,2020-10-11 15:34:51.820073,2020-03-13 00:00:00.000000,0.00719122,0.06042071,0.31834887,0,1,5,0,0,2,0.00337235,0.02676158,0.15642280,0.40616459,0.56609996,0.70250130
30019,0,USMontanaDaniels,Montana,Daniels,2020-10-11 15:34:51.820073,2020-03-14 00:00:00.000000,0.00788818,0.06631313,0.32993240,0,1,5,0,0,2,0.00369512,0.02997384,0.15963549,0.40487612,0.56582190,0.70141328
30019,0,USMontanaDaniels,Montana,Daniels,2020-10-11 15:34:51.820073,2020-03-15 00:00:00.000000,0.00863349,0.07291085,0.34214650,0,1,5,0,0,2,0.00405195,0.03371646,0.16388733,0.40410194,0.56363779,0.69951538
30019,0,USMontanaDaniels,Montana,Daniels,2020-10-11 15:34:51.820073,2020-03-16 00:00:00.000000,0.00941897,0.08006201,0.37052524,0,1,6,0,0,2,0.00444074,0.03780201,0.16890707,0.40319221,0.55325835,0.69627049
30019,0,USMontanaDaniels,Montana,Daniels,2020-10-11 15:34:51.820073,2020-03-17 00:00:00.000000,0.01023412,0.08783429,0.40137985,0,1,6,0,0,2,0.00485845,0.04095811,0.17600868,0.39916945,0.54319265,0.69091032
30019,0,USMontanaDaniels,Montana,Daniels,2020-10-11 15:34:51.820073,2020-03-18 00:00:00.000000,0.01107809,0.09588765,0.43328026,0,1,7,0,0,3,0.00530089,0.04376670,0.19066174,0.39741404,0.53974902,0.68988777
