FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
30103,0,USMontanaTreasure,Montana,Treasure,2020-08-21 16:11:32.708589,2020-03-09 00:00:00.000000,0.23880702,0.77049157,1.75355795,1,5,12,0,0,3,0.02207638,0.12576568,0.51832089,0.45691923,0.69432811,1.11639991
30103,0,USMontanaTreasure,Montana,Treasure,2020-08-21 16:11:32.708589,2020-03-10 00:00:00.000000,0.12472854,0.49134110,1.18328487,0,3,8,0,1,2,0.04149239,0.18693090,0.37180733,0.45689105,0.69431472,1.11637562
30103,0,USMontanaTreasure,Montana,Treasure,2020-08-21 16:11:32.708589,2020-03-11 00:00:00.000000,0.11043779,0.44666338,0.92508169,0,3,6,0,0,1,0.02734818,0.11396412,0.26803107,0.45684541,0.69428497,1.11633319
30103,0,USMontanaTreasure,Montana,Treasure,2020-08-21 16:11:32.708589,2020-03-12 00:00:00.000000,0.06628764,0.32520849,0.77306861,0,2,5,0,0,1,0.02171357,0.09767265,0.22570129,0.45677165,0.69421891,1.11625904
30103,0,USMontanaTreasure,Montana,Treasure,2020-08-21 16:11:32.708589,2020-03-13 00:00:00.000000,0.05203341,0.26182181,0.67945707,0,1,4,0,0,1,0.01371727,0.07151168,0.18535505,0.45665291,0.69409468,1.11612948
30103,0,USMontanaTreasure,Montana,Treasure,2020-08-21 16:11:32.708589,2020-03-14 00:00:00.000000,0.03699765,0.19634792,0.59388779,0,1,4,0,0,1,0.01068013,0.05968292,0.16086626,0.45646290,0.69458690,1.11590322
30103,0,USMontanaTreasure,Montana,Treasure,2020-08-21 16:11:32.708589,2020-03-15 00:00:00.000000,0.02904256,0.15485835,0.51625226,0,1,3,0,0,0,0.00764502,0.04702863,0.13939973,0.45616170,0.69563293,1.11550874
30103,0,USMontanaTreasure,Montana,Treasure,2020-08-21 16:11:32.708589,2020-03-16 00:00:00.000000,0.01778590,0.12030665,0.44776442,0,0,3,0,0,0,0.00643884,0.03639278,0.12068222,0.45569150,0.69783082,1.11482313
30103,0,USMontanaTreasure,Montana,Treasure,2020-08-21 16:11:32.708589,2020-03-17 00:00:00.000000,0.01345566,0.09391194,0.38780580,0,0,2,0,0,0,0.00376411,0.02804542,0.10440981,0.45497517,0.70374930,1.11363808
30103,0,USMontanaTreasure,Montana,Treasure,2020-08-21 16:11:32.708589,2020-03-18 00:00:00.000000,0.00848756,0.07230883,0.33553678,0,0,2,0,0,0,0.00315136,0.02185112,0.09028698,0.45392735,0.70496514,1.11160775
30103,0,USMontanaTreasure,Montana,Treasure,2020-08-21 16:11:32.708589,2020-03-19 00:00:00.000000,0.00623829,0.05451484,0.29004358,0,0,2,0,0,0,0.00182303,0.01705976,0.07803796,0.45250931,0.70859156,1.10816785
30103,0,USMontanaTreasure,Montana,Treasure,2020-08-21 16:11:32.708589,2020-03-20 00:00:00.000000,0.00400229,0.04149988,0.25031097,0,0,1,0,0,0,0.00143740,0.01303250,0.06740292,0.43704530,0.72429335,1.10322413
30103,0,USMontanaTreasure,Montana,Treasure,2020-08-21 16:11:32.708589,2020-03-21 00:00:00.000000,0.00286094,0.03157971,0.21572117,0,0,1,0,0,0,0.00086074,0.00994194,0.05865887,0.44606926,0.73677359,1.18884975
