FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-09 00:00:00.000000,0.03445679,0.15280264,0.65811906,0,1,4,0,0,2,0.01676762,0.08466222,0.40989014,0.36238402,0.49210924,0.62808813
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-10 00:00:00.000000,0.03436463,0.16505063,0.66912869,0,1,4,0,0,2,0.01584907,0.08427520,0.38222463,0.36228510,0.49209869,0.62808811
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-11 00:00:00.000000,0.03491034,0.17440513,0.68434529,0,1,4,0,0,2,0.01626104,0.09006345,0.37998026,0.36206340,0.49207725,0.62808804
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-12 00:00:00.000000,0.03590247,0.18557164,0.70254165,0,1,4,0,0,2,0.01719878,0.09774608,0.39018966,0.36156954,0.49203372,0.62808786
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-13 00:00:00.000000,0.03713027,0.20148845,0.73203148,0,1,4,0,0,2,0.01831633,0.10758035,0.40626801,0.36048403,0.48970731,0.62808737
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-14 00:00:00.000000,0.03845836,0.22019261,0.76209154,0,1,5,0,0,2,0.01946749,0.11818236,0.42493925,0.35903959,0.48908195,0.62808606
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-15 00:00:00.000000,0.03978826,0.23480254,0.79104314,0,1,5,0,0,3,0.02058848,0.12926302,0.44446635,0.35335009,0.48587777,0.62808252
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-16 00:00:00.000000,0.04105028,0.24895240,0.81736584,0,1,5,0,0,3,0.02164698,0.13925823,0.46378762,0.34043915,0.48196570,0.62807304
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-17 00:00:00.000000,0.04220789,0.26775423,0.84023690,0,1,5,0,0,3,0.02262356,0.14650722,0.48213268,0.33232010,0.47572476,0.62804768
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-18 00:00:00.000000,0.04325729,0.27854174,0.87934628,0,1,5,0,1,3,0.02350834,0.15362801,0.49891307,0.31877509,0.47252861,0.62798047
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-19 00:00:00.000000,0.04705161,0.29518823,0.91038475,0,2,6,0,1,3,0.02430180,0.16450971,0.51375095,0.30786714,0.45558867,0.62780687
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-20 00:00:00.000000,0.05157793,0.31443102,0.93900757,0,2,6,0,1,3,0.02501349,0.17041934,0.52652158,0.27894782,0.43899183,0.61568648
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-21 00:00:00.000000,0.05609741,0.32877980,1.00149189,0,2,6,0,1,3,0.02736422,0.18314167,0.53733201,0.26278745,0.42309243,0.61450058
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-22 00:00:00.000000,0.06026355,0.34570840,1.06303919,0,2,7,0,1,3,0.02991132,0.19979081,0.54643849,0.25114151,0.39796501,0.57400609
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-23 00:00:00.000000,0.06276403,0.36079319,1.11839002,0,2,7,0,1,3,0.03241802,0.20989090,0.55414755,0.24662917,0.37685516,0.56327726
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-24 00:00:00.000000,0.06337163,0.37532054,1.16045344,0,2,7,0,1,3,0.03476998,0.21604485,0.57156735,0.24183314,0.35603851,0.52882321
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-25 00:00:00.000000,0.06386699,0.38880268,1.18043430,0,2,8,0,1,4,0.03627538,0.22364558,0.59305804,0.23284978,0.33448171,0.52914759
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-26 00:00:00.000000,0.06402564,0.40164767,1.17727092,0,2,8,0,1,4,0.03661882,0.23278711,0.60998650,0.21994738,0.31839897,0.49387322
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-27 00:00:00.000000,0.06405482,0.42379618,1.19559033,0,2,8,0,1,4,0.03684675,0.24557838,0.61870538,0.20649035,0.30624055,0.49334839
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-28 00:00:00.000000,0.06404755,0.42991667,1.19570259,0,2,8,0,1,4,0.03696861,0.25729417,0.63046009,0.19528074,0.28464490,0.49168080
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-29 00:00:00.000000,0.06401538,0.43706221,1.17902645,0,2,8,0,1,4,0.03702457,0.26548370,0.63435159,0.18789809,0.27815634,0.48722805
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-30 00:00:00.000000,0.06396071,0.44282047,1.16007300,0,3,7,0,1,4,0.03704336,0.27240484,0.63421784,0.17960204,0.26915337,0.47166412
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-03-31 00:00:00.000000,0.06387747,0.44184214,1.13946173,0,3,7,0,1,4,0.03704049,0.27232839,0.66110801,0.17629168,0.26628502,0.43611715
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-01 00:00:00.000000,0.06375939,0.44078656,1.13655537,0,3,7,0,1,4,0.03702355,0.26821702,0.68924517,0.17503631,0.26309938,0.40051506
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-02 00:00:00.000000,0.06362766,0.43420183,1.15999916,0,2,7,0,1,4,0.03699405,0.26342840,0.71509413,0.16510350,0.24337768,0.39001061
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-03 00:00:00.000000,0.06339536,0.43063719,1.17201857,0,2,7,0,1,4,0.03694520,0.26217309,0.72566335,0.15977206,0.24016989,0.38098917
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-04 00:00:00.000000,0.06291445,0.42705269,1.15458641,0,2,7,0,1,4,0.03685350,0.26803429,0.72312046,0.15498860,0.22841260,0.35520633
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-05 00:00:00.000000,0.06203092,0.43072090,1.13611468,0,2,7,0,1,4,0.03666597,0.27388927,0.71516878,0.14476358,0.22370377,0.33916515
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-06 00:00:00.000000,0.06074947,0.42646124,1.11668802,0,2,7,0,1,4,0.03631005,0.27391368,0.70380905,0.13278859,0.21645942,0.33130548
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-07 00:00:00.000000,0.05922317,0.41475334,1.09794474,0,2,7,0,1,4,0.03575115,0.27373692,0.69996353,0.12672041,0.21228143,0.32909980
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-08 00:00:00.000000,0.05758697,0.40485760,1.11764729,0,2,7,0,1,4,0.03501970,0.27275949,0.71609780,0.12494243,0.20965542,0.32544346
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-09 00:00:00.000000,0.05591558,0.39478465,1.13655310,0,2,7,0,1,4,0.03417341,0.26665044,0.71271624,0.12425085,0.20334307,0.31499445
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-10 00:00:00.000000,0.05424583,0.38397598,1.14110148,0,2,7,0,1,4,0.03326341,0.26258642,0.69911553,0.12395509,0.19585087,0.30226785
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-11 00:00:00.000000,0.05259418,0.37486841,1.11257975,0,2,7,0,1,4,0.03232494,0.26155406,0.68490543,0.11556247,0.18628623,0.29068869
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-12 00:00:00.000000,0.05096477,0.37023565,1.08016538,0,2,7,0,1,4,0.03192322,0.25545023,0.66998479,0.10801185,0.17948830,0.28850274
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-13 00:00:00.000000,0.14595006,0.46790691,1.13717840,0,3,7,0,1,4,0.03151047,0.24697853,0.65432917,0.10470669,0.17203348,0.28757481
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-14 00:00:00.000000,0.21233615,0.58307027,1.18890984,1,3,8,0,1,4,0.05147564,0.26755143,0.66284273,0.09338885,0.16842876,0.28278618
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-15 00:00:00.000000,0.28023636,0.69485200,1.24301444,1,4,8,0,2,4,0.09278298,0.30127206,0.68285488,0.08590684,0.16187598,0.27730015
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-16 00:00:00.000000,0.34736299,0.85050990,1.39312067,2,5,9,0,2,4,0.12537475,0.35059720,0.70705499,0.08259971,0.15770858,0.26390487
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-17 00:00:00.000000,0.40893147,0.94844926,1.59308603,2,6,10,1,2,5,0.16070761,0.41718745,0.77572161,0.08081986,0.15186307,0.26372533
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-18 00:00:00.000000,0.46303288,1.02840721,1.79110475,3,7,12,1,3,6,0.19707896,0.47504887,0.91693807,0.08009423,0.14844953,0.25127032
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-19 00:00:00.000000,0.51428938,1.10910054,1.97947473,3,7,13,1,3,7,0.23346597,0.54408535,1.06642931,0.07998014,0.14425537,0.24408960
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-20 00:00:00.000000,0.64397516,1.20618473,2.10611761,4,8,14,1,4,8,0.26926714,0.61261061,1.19333457,0.07994262,0.13906441,0.24360065
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-21 00:00:00.000000,0.75742872,1.30327526,2.27432807,5,8,15,2,4,8,0.33250470,0.66242279,1.27605131,0.07994505,0.13377298,0.24141076
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-22 00:00:00.000000,0.85595005,1.40080981,2.42150643,5,9,16,2,4,9,0.39817576,0.70903115,1.36996564,0.07949322,0.12823688,0.22954437
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-23 00:00:00.000000,0.92160748,1.51022804,2.56348062,6,10,17,3,5,10,0.44955713,0.76365096,1.47007951,0.07839559,0.12617570,0.21483692
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-24 00:00:00.000000,1.02427232,1.57612364,2.69945109,6,10,18,3,5,10,0.49666731,0.81903056,1.57284357,0.07670252,0.12127643,0.20884180
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-25 00:00:00.000000,1.08824988,1.62454742,2.82852826,7,11,19,3,5,11,0.54135298,0.85122195,1.67581040,0.07441466,0.11778398,0.20819815
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-26 00:00:00.000000,1.13658267,1.68626446,2.95071906,7,11,20,4,6,12,0.59516123,0.90763776,1.77746635,0.06641867,0.11550033,0.20774826
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-27 00:00:00.000000,1.08339151,1.62793276,2.91242270,7,11,19,4,6,12,0.62076183,0.94590989,1.87701365,0.06577100,0.11295032,0.20897952
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-28 00:00:00.000000,1.02829750,1.58087115,2.86940613,7,10,19,4,6,13,0.62328698,0.93736496,1.92998766,0.06423789,0.11324979,0.20927186
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-29 00:00:00.000000,0.96990332,1.47046501,2.81929158,6,10,19,4,6,13,0.61274691,0.91831486,1.95161128,0.05852776,0.11098959,0.20910997
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-04-30 00:00:00.000000,0.90355845,1.35317285,2.76562396,6,9,18,4,5,13,0.59173630,0.87914939,1.95216915,0.05261847,0.11075638,0.20813530
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-05-01 00:00:00.000000,0.83819210,1.26211654,2.70998250,5,8,18,3,5,13,0.53424596,0.84158488,1.93768477,0.04937224,0.10793912,0.20396660
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-05-02 00:00:00.000000,0.75053086,1.19243303,2.65235012,5,8,18,3,5,13,0.49147779,0.80720015,1.91130019,0.04796479,0.10755284,0.20067151
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-05-03 00:00:00.000000,0.65943739,1.11066794,2.59133888,4,7,17,3,5,12,0.45492631,0.76831210,1.87515340,0.04737523,0.10435830,0.19511807
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-05-04 00:00:00.000000,0.59135594,1.03705185,2.52196996,4,7,17,2,4,12,0.40597549,0.73102752,1.83150110,0.04710958,0.10146993,0.19644603
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-05-05 00:00:00.000000,0.52429477,0.97638815,2.43243095,3,6,16,2,4,12,0.36207842,0.69245620,1.78262058,0.04694977,0.09750497,0.19534143
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-05-06 00:00:00.000000,0.46475428,0.92156990,2.34378856,3,6,15,2,4,11,0.32839381,0.64255957,1.73041336,0.04679446,0.09634173,0.17432207
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-05-07 00:00:00.000000,0.41315354,0.86926569,2.25624504,2,5,15,2,4,11,0.31162994,0.61053599,1.67625666,0.04659126,0.09622502,0.17491789
31091,0,USNebraskaHooker,Nebraska,Hooker,2020-10-11 15:09:41.048765,2020-05-08 00:00:00.000000,0.39206256,0.81811143,2.20726588,2,5,15,2,3,11,0.29578400,0.57850889,1.62104687,0.04630501,0.09480369,0.18030666
