FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
31111,0,USNebraskaLincoln,Nebraska,Lincoln,2020-09-29 05:02:31.418325,2020-03-09 00:00:00.000000,0.00770923,0.01876482,0.03819188,2,6,13,0,1,5,0.00152482,0.00380050,0.01603710,0.46083162,0.60739673,0.84341953
31111,0,USNebraskaLincoln,Nebraska,Lincoln,2020-09-29 05:02:31.418325,2020-03-10 00:00:00.000000,0.00966718,0.02056201,0.03917465,3,7,13,1,3,7,0.00461220,0.01142503,0.02162750,0.46083021,0.60735207,0.84341879
31111,0,USNebraskaLincoln,Nebraska,Lincoln,2020-09-29 05:02:31.418325,2020-03-11 00:00:00.000000,0.01265103,0.02703943,0.05497052,4,9,19,2,4,9,0.00599099,0.01385630,0.02710707,0.46082779,0.60726159,0.84341669
31111,0,USNebraskaLincoln,Nebraska,Lincoln,2020-09-29 05:02:31.418325,2020-03-12 00:00:00.000000,0.01528892,0.03143774,0.06928665,5,10,24,2,6,12,0.00820782,0.01756503,0.03650681,0.46082367,0.60707868,0.84341069
31111,0,USNebraskaLincoln,Nebraska,Lincoln,2020-09-29 05:02:31.418325,2020-03-13 00:00:00.000000,0.01811579,0.03676719,0.08593821,6,12,30,3,6,15,0.00997806,0.01971112,0.04502990,0.46081663,0.60671092,0.84339356
31111,0,USNebraskaLincoln,Nebraska,Lincoln,2020-09-29 05:02:31.418325,2020-03-14 00:00:00.000000,0.01983916,0.04242899,0.10291843,6,14,35,3,8,18,0.01106572,0.02338142,0.05391807,0.46080460,0.60597926,0.84334466
31111,0,USNebraskaLincoln,Nebraska,Lincoln,2020-09-29 05:02:31.418325,2020-03-15 00:00:00.000000,0.02255831,0.04834915,0.12027319,7,16,41,4,9,22,0.01267295,0.02719582,0.06376812,0.45992605,0.60336392,0.84320510
31111,0,USNebraskaLincoln,Nebraska,Lincoln,2020-09-29 05:02:31.418325,2020-03-16 00:00:00.000000,0.02696487,0.05403311,0.12854073,9,18,44,4,10,25,0.01428444,0.03047326,0.07409377,0.45969887,0.59268792,0.84280710
31111,0,USNebraskaLincoln,Nebraska,Lincoln,2020-09-29 05:02:31.418325,2020-03-17 00:00:00.000000,0.03080702,0.06097804,0.13712769,10,21,47,5,12,27,0.01699133,0.03465523,0.07808332,0.43960686,0.58762664,0.84167563
31111,0,USNebraskaLincoln,Nebraska,Lincoln,2020-09-29 05:02:31.418325,2020-03-18 00:00:00.000000,0.03233830,0.07063174,0.14366717,11,24,50,6,13,28,0.01861538,0.03899544,0.08249828,0.41318072,0.58562794,0.83848755
31111,0,USNebraskaLincoln,Nebraska,Lincoln,2020-09-29 05:02:31.418325,2020-03-19 00:00:00.000000,0.03459355,0.07773988,0.15315547,12,27,53,7,14,31,0.02008578,0.04292056,0.09151545,0.41080472,0.58292009,0.82970290
31111,0,USNebraskaLincoln,Nebraska,Lincoln,2020-09-29 05:02:31.418325,2020-03-20 00:00:00.000000,0.03445203,0.08554905,0.17325111,12,29,60,7,16,36,0.02066928,0.04834363,0.10485313,0.40735788,0.57642644,0.80691039
