FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
31129,0,USNebraskaNuckolls,Nebraska,Nuckolls,2020-09-29 05:44:22.998202,2020-03-09 00:00:00.000000,0.04844043,0.20901442,0.63294075,2,8,26,0,1,4,0.00272529,0.02696982,0.11499032,0.56104683,0.81641241,1.11234057
31129,0,USNebraskaNuckolls,Nebraska,Nuckolls,2020-09-29 05:44:22.998202,2020-03-10 00:00:00.000000,0.02596397,0.14445337,0.44441138,1,5,18,0,1,4,0.00129549,0.02879520,0.11036239,0.56104637,0.81641612,1.11234057
31129,0,USNebraskaNuckolls,Nebraska,Nuckolls,2020-09-29 05:44:22.998202,2020-03-11 00:00:00.000000,0.02650061,0.13614793,0.40251682,1,5,16,0,1,3,0.00121340,0.02421103,0.08718159,0.56104501,0.81642517,1.11234058
31129,0,USNebraskaNuckolls,Nebraska,Nuckolls,2020-09-29 05:44:22.998202,2020-03-12 00:00:00.000000,0.02308932,0.11793192,0.35238320,0,4,14,0,0,3,0.00114270,0.02268459,0.07491640,0.56104103,0.81644761,1.11234062
31129,0,USNebraskaNuckolls,Nebraska,Nuckolls,2020-09-29 05:44:22.998202,2020-03-13 00:00:00.000000,0.01823760,0.10224587,0.31480625,0,4,13,0,0,2,0.00109415,0.01875704,0.06666955,0.56102940,0.81650462,1.11234084
31129,0,USNebraskaNuckolls,Nebraska,Nuckolls,2020-09-29 05:44:22.998202,2020-03-14 00:00:00.000000,0.01392271,0.08583895,0.28484181,0,3,11,0,0,2,0.00108215,0.01601570,0.05939264,0.56072400,0.81665412,1.11234199
31129,0,USNebraskaNuckolls,Nebraska,Nuckolls,2020-09-29 05:44:22.998202,2020-03-15 00:00:00.000000,0.01069141,0.07520738,0.25772872,0,3,10,0,0,2,0.00107036,0.01380497,0.05292577,0.55909014,0.81706187,1.11234823
31129,0,USNebraskaNuckolls,Nebraska,Nuckolls,2020-09-29 05:44:22.998202,2020-03-16 00:00:00.000000,0.00821198,0.06374903,0.23319204,0,2,9,0,0,2,0.00105877,0.01275404,0.04828748,0.55702230,0.81822224,1.11238214
31129,0,USNebraskaNuckolls,Nebraska,Nuckolls,2020-09-29 05:44:22.998202,2020-03-17 00:00:00.000000,0.00781844,0.05472202,0.21098867,0,2,8,0,0,1,0.00104736,0.01147910,0.04334295,0.55445771,0.81722735,1.11256659
31129,0,USNebraskaNuckolls,Nebraska,Nuckolls,2020-09-29 05:44:22.998202,2020-03-18 00:00:00.000000,0.00683077,0.04950605,0.19089825,0,2,7,0,0,1,0.00103616,0.01050215,0.03825241,0.55135628,0.82122004,1.11355991
