FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
31147,0,USNebraskaRichardson,Nebraska,Richardson,2020-08-21 15:50:33.317194,2020-03-09 00:00:00.000000,0.02279307,0.08947173,0.29910540,1,7,23,0,1,6,0.00248663,0.01472129,0.08067283,0.51148976,0.71966599,1.01609957
31147,0,USNebraskaRichardson,Nebraska,Richardson,2020-08-21 15:50:33.317194,2020-03-10 00:00:00.000000,0.01131398,0.05667350,0.23730589,0,4,18,0,1,5,0.00316397,0.01525603,0.06634993,0.51148559,0.71966607,1.01611602
31147,0,USNebraskaRichardson,Nebraska,Richardson,2020-08-21 15:50:33.317194,2020-03-11 00:00:00.000000,0.01107168,0.05512786,0.20618973,0,4,16,0,1,4,0.00266568,0.01334635,0.05619753,0.51148013,0.71966636,1.01614090
31147,0,USNebraskaRichardson,Nebraska,Richardson,2020-08-21 15:50:33.317194,2020-03-12 00:00:00.000000,0.01048493,0.05057192,0.17460949,0,3,13,0,0,3,0.00252468,0.01207854,0.04739376,0.51147343,0.71966742,1.01617834
31147,0,USNebraskaRichardson,Nebraska,Richardson,2020-08-21 15:50:33.317194,2020-03-13 00:00:00.000000,0.00884606,0.04498171,0.16041382,0,3,12,0,0,3,0.00217119,0.01076010,0.03991184,0.51146674,0.71967129,1.01623413
31147,0,USNebraskaRichardson,Nebraska,Richardson,2020-08-21 15:50:33.317194,2020-03-14 00:00:00.000000,0.00791344,0.03933628,0.15052538,0,3,11,0,0,2,0.00187138,0.00972071,0.03360440,0.51146534,0.71968544,1.01631576
31147,0,USNebraskaRichardson,Nebraska,Richardson,2020-08-21 15:50:33.317194,2020-03-15 00:00:00.000000,0.00707479,0.03443306,0.14151602,0,2,11,0,0,2,0.00157768,0.00851838,0.03024485,0.51148721,0.71973705,1.01643020
31147,0,USNebraskaRichardson,Nebraska,Richardson,2020-08-21 15:50:33.317194,2020-03-16 00:00:00.000000,0.00631656,0.03173021,0.13559899,0,2,10,0,0,2,0.00134927,0.00752650,0.02768023,0.51158553,0.71992434,1.01657154
31147,0,USNebraskaRichardson,Nebraska,Richardson,2020-08-21 15:50:33.317194,2020-03-17 00:00:00.000000,0.00552260,0.02924202,0.12695060,0,2,9,0,0,2,0.00120114,0.00685659,0.02561943,0.51188686,0.72021522,1.01666311
31147,0,USNebraskaRichardson,Nebraska,Richardson,2020-08-21 15:50:33.317194,2020-03-18 00:00:00.000000,0.00461010,0.02766098,0.12434240,0,2,9,0,0,1,0.00103634,0.00618508,0.02447322,0.50923614,0.71559234,1.01629789
