FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-09 00:00:00.000000,0.00042549,0.03697515,0.08694377,0,6,15,0,2,7,0.00015847,0.01398432,0.04249937,0.41625739,0.62903228,0.86156890
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-10 00:00:00.000000,0.00037297,0.02836753,0.07963920,0,4,13,0,2,7,0.00023101,0.01548106,0.04164434,0.41625121,0.62903006,0.86155649
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-11 00:00:00.000000,0.00041464,0.02706457,0.07379021,0,4,12,0,2,7,0.00022506,0.01333128,0.04126552,0.41623597,0.62902618,0.86153174
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-12 00:00:00.000000,0.00042940,0.02494015,0.07025547,0,4,12,0,2,6,0.00024908,0.01245314,0.03981911,0.41619919,0.62901935,0.86148303
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-13 00:00:00.000000,0.00046007,0.02198521,0.06948640,0,3,12,0,1,6,0.00026088,0.01094196,0.03854811,0.41611190,0.62900734,0.86139014
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-14 00:00:00.000000,0.00048702,0.02045818,0.06769285,0,3,11,0,1,6,0.00027887,0.01029140,0.03822135,0.41590814,0.62898615,0.86122799
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-15 00:00:00.000000,0.00051801,0.01804594,0.06664141,0,3,11,0,1,6,0.00029561,0.00912600,0.03810317,0.41544425,0.62796708,0.86102159
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-16 00:00:00.000000,0.00054953,0.01758933,0.06530630,0,3,11,0,1,6,0.00031423,0.00889359,0.03796169,0.41443748,0.62701667,0.84234255
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-17 00:00:00.000000,0.00058234,0.01720785,0.06589037,0,2,11,0,1,6,0.00028925,0.00888555,0.03772188,0.41245245,0.62694548,0.83123902
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-18 00:00:00.000000,0.00047680,0.01591056,0.06534340,0,2,11,0,1,6,0.00028211,0.00832508,0.03732488,0.40917785,0.62357470,0.83125478
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-19 00:00:00.000000,0.00049597,0.01450574,0.06756119,0,2,11,0,1,6,0.00023208,0.00785202,0.03964530,0.40357879,0.59748551,0.83084632
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-20 00:00:00.000000,0.00038291,0.01331164,0.06832905,0,2,11,0,1,7,0.00021483,0.00696693,0.04136422,0.38635319,0.58506910,0.81962104
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-21 00:00:00.000000,0.00035530,0.01229147,0.06870768,0,2,11,0,1,7,0.00021649,0.00603871,0.04175306,0.37286022,0.56902449,0.79096280
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-22 00:00:00.000000,0.00035519,0.01084081,0.06808579,0,1,11,0,0,7,0.00021710,0.00545908,0.04066190,0.37207756,0.55989922,0.78222441
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-23 00:00:00.000000,0.00355245,0.01815119,0.07198795,0,3,12,0,0,6,0.00021719,0.00503111,0.03991412,0.37181359,0.54237137,0.76886229
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-24 00:00:00.000000,0.00626423,0.02552952,0.09042604,1,4,15,0,2,8,0.00283770,0.01310657,0.05057092,0.37183232,0.53595498,0.75380850
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-25 00:00:00.000000,0.00958991,0.03223635,0.10023310,1,5,17,0,2,9,0.00396441,0.01640995,0.05763225,0.37208723,0.52737363,0.76584128
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-26 00:00:00.000000,0.01217668,0.03831149,0.10878180,2,6,18,0,3,10,0.00512224,0.01972504,0.06318963,0.36140374,0.51622167,0.76400090
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-27 00:00:00.000000,0.01380652,0.04327692,0.11962281,2,7,20,1,3,11,0.00586982,0.02196512,0.06896677,0.35334761,0.51454476,0.74700944
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-28 00:00:00.000000,0.01496847,0.04663935,0.12967242,2,8,22,1,4,13,0.00644809,0.02338155,0.07524552,0.34152026,0.49334176,0.74936556
31159,0,USNebraskaSeward,Nebraska,Seward,2020-08-21 15:52:51.537561,2020-03-29 00:00:00.000000,0.01618790,0.05035340,0.13875036,2,8,23,1,4,14,0.00685831,0.02476989,0.08108182,0.33593125,0.48407597,0.76811481
