FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-09 00:00:00.000000,0.00177559,0.00428095,0.00840858,8,21,42,2,10,24,0.00050650,0.00215576,0.00484289,0.66002127,0.86905356,1.09771862
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-10 00:00:00.000000,0.00242432,0.00521808,0.01002783,12,26,50,6,15,29,0.00132763,0.00302957,0.00577503,0.66003025,0.86905368,1.09771852
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-11 00:00:00.000000,0.00351965,0.00667071,0.01214898,17,33,61,9,20,37,0.00190268,0.00402524,0.00733897,0.66005315,0.86905400,1.09771825
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-12 00:00:00.000000,0.00437192,0.00848528,0.01542668,22,42,78,13,25,46,0.00261247,0.00501927,0.00925238,0.66011037,0.86905485,1.09771749
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-13 00:00:00.000000,0.00547136,0.01061777,0.01933450,27,53,97,16,32,58,0.00328380,0.00636523,0.01160010,0.66024655,0.86905708,1.09771539
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-14 00:00:00.000000,0.00690861,0.01320190,0.02415425,34,66,122,21,40,73,0.00420957,0.00797893,0.01448609,0.66361990,0.87010646,1.09770957
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-15 00:00:00.000000,0.00868055,0.01622653,0.02988786,43,82,151,26,51,91,0.00532694,0.01011469,0.01800864,0.67285470,0.87024819,1.09769342
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-16 00:00:00.000000,0.01100175,0.02026704,0.03622805,55,102,183,33,64,113,0.00663044,0.01269182,0.02231661,0.67321553,0.87065000,1.09764849
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-17 00:00:00.000000,0.01373399,0.02512149,0.04420310,69,127,223,42,81,139,0.00841176,0.01608699,0.02751605,0.67773081,0.87129892,1.09752332
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-18 00:00:00.000000,0.01632864,0.03078285,0.05399536,82,155,273,53,100,171,0.01046618,0.01975426,0.03386731,0.67780101,0.87636274,1.09717433
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-19 00:00:00.000000,0.01955924,0.03768899,0.06413885,99,190,324,64,123,209,0.01274350,0.02433628,0.04139661,0.67882534,0.88515548,1.09620357
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-20 00:00:00.000000,0.02379516,0.04714945,0.07824988,120,238,396,76,156,253,0.01513910,0.03088280,0.05005388,0.68391520,0.89229383,1.09353791
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-21 00:00:00.000000,0.02958340,0.05831728,0.09659893,149,295,489,91,186,306,0.01796969,0.03681912,0.06054294,0.68484576,0.88898603,1.08651450
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-22 00:00:00.000000,0.03593358,0.07134579,0.11900133,181,361,602,109,224,382,0.02160303,0.04441693,0.07544038,0.68483467,0.87659806,1.07316364
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-23 00:00:00.000000,0.04297561,0.08803083,0.14526613,217,445,735,132,274,465,0.02620705,0.05423746,0.09191993,0.67833765,0.86843332,1.10813952
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-24 00:00:00.000000,0.05121866,0.10766654,0.17600581,259,545,891,160,333,564,0.03168670,0.06577822,0.11143957,0.67848015,0.86259478,1.10054986
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-25 00:00:00.000000,0.06105126,0.13086466,0.21301293,309,662,1078,194,407,684,0.03832644,0.08037201,0.13522167,0.67739769,0.85359911,1.07170738
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-26 00:00:00.000000,0.07310767,0.15574333,0.25731399,370,788,1303,234,484,836,0.04631425,0.09573686,0.16514744,0.66478791,0.84841216,1.07026999
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-27 00:00:00.000000,0.08812931,0.18613029,0.30958323,446,942,1567,283,570,1029,0.05595338,0.11263001,0.20335836,0.65110206,0.83237277,1.06849645
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-28 00:00:00.000000,0.10630489,0.21973383,0.37007128,538,1112,1874,342,673,1257,0.06756914,0.13293860,0.24835098,0.63609451,0.79954090,1.06568536
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-29 00:00:00.000000,0.12830346,0.25987813,0.44235612,649,1316,2240,413,806,1526,0.08157328,0.15917869,0.30139045,0.60976408,0.78610244,1.06885154
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-30 00:00:00.000000,0.15622655,0.30530109,0.52588608,791,1546,2663,498,968,1820,0.09845092,0.19129617,0.35947063,0.56843040,0.75331675,1.08693691
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-03-31 00:00:00.000000,0.18958205,0.35749614,0.62344811,960,1810,3157,608,1133,2161,0.12013109,0.22371251,0.42674032,0.54876128,0.72758232,1.05122022
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-04-01 00:00:00.000000,0.22887583,0.41669016,0.73782514,1159,2110,3736,737,1301,2560,0.14554469,0.25704688,0.50556315,0.53734185,0.70264503,1.02527850
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-04-02 00:00:00.000000,0.27388007,0.48001220,0.87195080,1387,2431,4416,858,1516,2971,0.16958024,0.29944121,0.58663698,0.51714813,0.69403713,0.99508134
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-04-03 00:00:00.000000,0.32557951,0.55483502,1.00653691,1648,2810,5097,999,1752,3561,0.19741019,0.34603476,0.70318124,0.48307018,0.68286766,0.99388949
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-04-04 00:00:00.000000,0.37930307,0.63962627,1.12888425,1921,3239,5717,1162,2029,4033,0.22957285,0.40077274,0.79648049,0.42148187,0.65141071,0.98214391
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-04-05 00:00:00.000000,0.42513013,0.72081650,1.25296163,2153,3650,6345,1351,2323,4403,0.26684056,0.45883135,0.86953190,0.39801636,0.59206554,0.96066944
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-04-06 00:00:00.000000,0.48492509,0.79756950,1.35207381,2456,4039,6847,1538,2630,4961,0.30372422,0.51930469,0.97957336,0.37742613,0.54888032,0.89358883
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-04-07 00:00:00.000000,0.54409817,0.86824241,1.45205202,2755,4397,7354,1725,2887,5502,0.34062964,0.57012841,1.08643158,0.36248071,0.52160812,0.76563949
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-04-08 00:00:00.000000,0.59794931,0.93855632,1.55233613,3028,4753,7862,1932,3134,6009,0.38164021,0.61880522,1.18659255,0.34134029,0.49378926,0.67347266
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-04-09 00:00:00.000000,0.63764857,0.99545065,1.64949126,3229,5041,8354,2100,3375,6478,0.41470202,0.66638398,1.27912100,0.31504624,0.47006944,0.63286176
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-04-10 00:00:00.000000,0.65603208,1.04338236,1.74710121,3322,5284,8848,2165,3609,6887,0.42750999,0.71265145,1.35983094,0.29841266,0.43528537,0.61223485
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-04-11 00:00:00.000000,0.69764917,1.09745931,1.84803024,3533,5558,9359,2222,3833,7221,0.43881363,0.75687724,1.42580488,0.27810819,0.41557354,0.54587693
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-04-12 00:00:00.000000,0.74036725,1.14567359,1.95369095,3749,5802,9894,2334,4071,7554,0.46090744,0.80385398,1.49155183,0.26213939,0.40643095,0.51837644
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-04-13 00:00:00.000000,0.78307510,1.18932401,2.06109289,3966,6023,10438,2474,4267,7983,0.48849462,0.84258084,1.57638132,0.25736089,0.39492314,0.51450055
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-04-14 00:00:00.000000,0.82493630,1.24168392,2.10641974,4178,6288,10668,2617,4446,8468,0.51686660,0.87791176,1.67210221,0.25637774,0.38774066,0.51648031
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-04-15 00:00:00.000000,0.84773145,1.28894483,2.18591573,4293,6528,11071,2743,4628,8963,0.54163664,0.91387645,1.76973053,0.25607002,0.38872589,0.51765351
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-04-16 00:00:00.000000,0.86411715,1.33363961,2.25074588,4376,6754,11399,2798,4792,9431,0.55247987,0.94617251,1.86214142,0.24205322,0.38493419,0.50226697
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-04-17 00:00:00.000000,0.88063222,1.37216858,2.32497190,4460,6949,11775,2853,4949,9860,0.56332225,0.97719431,1.94683282,0.23572579,0.37435669,0.48154581
34007,0,USNewJerseyCamden,New Jersey,Camden,2020-09-29 05:49:04.509386,2020-04-18 00:00:00.000000,0.89714590,1.41721490,2.40190070,4543,7177,12164,2907,5140,10241,0.57416148,1.01502907,2.02203826,0.22334366,0.36307625,0.47959861
