FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-09 00:00:00.000000,0.01091713,0.03790309,0.10070792,13,47,125,5,21,65,0.00438002,0.01754666,0.05282903,0.58548511,0.84405877,1.17569857
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-10 00:00:00.000000,0.01089919,0.04099450,0.10437491,13,50,129,7,24,70,0.00564483,0.01992834,0.05642290,0.58548996,0.84408170,1.17568697
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-11 00:00:00.000000,0.01312841,0.04525457,0.10754175,16,56,133,8,28,74,0.00706245,0.02291677,0.06025992,0.58550077,0.84412647,1.17566809
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-12 00:00:00.000000,0.01523046,0.05014339,0.11428744,18,62,142,11,31,80,0.00889167,0.02535115,0.06458040,0.58552462,0.84421380,1.17563729
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-13 00:00:00.000000,0.01891292,0.05576127,0.12282326,23,69,152,13,35,85,0.01089376,0.02891950,0.06909911,0.58557638,0.84438363,1.17558689
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-14 00:00:00.000000,0.02233320,0.06278034,0.13441113,27,78,167,15,39,91,0.01249447,0.03189924,0.07353530,0.58568610,0.84471206,1.17550390
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-15 00:00:00.000000,0.02777130,0.07077009,0.14654816,34,88,182,19,45,98,0.01552537,0.03627205,0.07920537,0.58591039,0.84534048,1.17536578
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-16 00:00:00.000000,0.03192343,0.08026154,0.16548273,39,99,205,21,50,104,0.01763209,0.04055681,0.08411217,0.58805237,0.84651866,1.17513149
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-17 00:00:00.000000,0.03857758,0.09053224,0.18868082,47,112,234,25,58,116,0.02087110,0.04691956,0.09356804,0.59326878,0.84864562,1.17472078
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-18 00:00:00.000000,0.04374522,0.10397657,0.21285743,54,129,264,31,64,126,0.02517994,0.05221415,0.10188834,0.60256919,0.85257575,1.18990450
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-19 00:00:00.000000,0.05366086,0.11719875,0.23079683,66,145,287,35,73,136,0.02866974,0.05908578,0.10998677,0.59040729,0.86004466,1.18845932
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-20 00:00:00.000000,0.05828775,0.13304257,0.26213356,72,165,326,39,83,151,0.03142114,0.06695846,0.12167846,0.56814374,0.86147066,1.18605004
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-21 00:00:00.000000,0.07217033,0.14947165,0.29738145,89,185,369,46,95,176,0.03755662,0.07652551,0.14207247,0.53473280,0.86557070,1.19799267
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-22 00:00:00.000000,0.07916737,0.16758946,0.33509527,98,208,416,49,107,209,0.03973143,0.08629625,0.16819621,0.52603416,0.87984643,1.19099426
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-23 00:00:00.000000,0.09380487,0.18984183,0.37234357,116,236,463,60,123,234,0.04842479,0.09953430,0.18850171,0.50665401,0.88201480,1.18129895
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-24 00:00:00.000000,0.10362345,0.21781641,0.43155462,128,270,536,64,140,276,0.05154920,0.11270641,0.22202850,0.50258483,0.88442462,1.15917242
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-25 00:00:00.000000,0.12248682,0.24796628,0.50186801,152,308,624,78,158,319,0.06326933,0.12752820,0.25652965,0.49654787,0.87585951,1.15489768
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-26 00:00:00.000000,0.13600348,0.27482744,0.53193319,169,341,661,84,179,363,0.06784780,0.14451246,0.29196698,0.48835588,0.85043153,1.15326762
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-27 00:00:00.000000,0.15966238,0.31180642,0.57411441,198,387,714,104,200,408,0.08382341,0.16154910,0.32840724,0.47574004,0.82112243,1.16621522
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-28 00:00:00.000000,0.18216986,0.34184856,0.64416585,226,425,801,116,223,458,0.09378168,0.17940853,0.36870749,0.46191211,0.80110529,1.13006003
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-29 00:00:00.000000,0.21959056,0.37209805,0.71588251,273,462,890,135,247,512,0.10884415,0.19920049,0.41240066,0.46264567,0.78050107,1.08387757
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-30 00:00:00.000000,0.23709770,0.40574612,0.78250879,294,504,973,146,273,567,0.11776949,0.22023806,0.45669357,0.42752776,0.75880551,1.08600168
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-03-31 00:00:00.000000,0.26914274,0.44316857,0.86291801,334,551,1073,163,297,643,0.13154994,0.23880355,0.51752719,0.40740748,0.72784493,1.07349317
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-01 00:00:00.000000,0.27639930,0.48580460,0.92936590,343,604,1155,175,329,715,0.14122121,0.26457975,0.57538819,0.37314006,0.70224094,1.00996237
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-02 00:00:00.000000,0.30908352,0.51917986,1.00184610,384,645,1246,192,355,782,0.15462067,0.28545526,0.62955761,0.35134543,0.68190759,0.99328253
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-03 00:00:00.000000,0.31887952,0.55582030,1.06295421,396,691,1322,203,383,852,0.16349586,0.30824020,0.68512790,0.33310752,0.65168466,0.94852869
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-04 00:00:00.000000,0.35058589,0.58702130,1.12914515,436,730,1404,219,402,957,0.17620162,0.32325707,0.76997286,0.30804594,0.60809569,0.89161318
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-05 00:00:00.000000,0.35630500,0.59999685,1.17998461,443,746,1467,221,431,1047,0.17841771,0.34699705,0.84223458,0.28015777,0.56342920,0.85947621
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-06 00:00:00.000000,0.37919329,0.61634763,1.22233426,471,766,1520,235,457,1095,0.18910619,0.36759580,0.88056733,0.27741218,0.52051550,0.79367888
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-07 00:00:00.000000,0.36523431,0.62125661,1.26332828,454,772,1571,228,465,1105,0.18363399,0.37398630,0.88858668,0.26593609,0.49046754,0.75039644
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-08 00:00:00.000000,0.37405100,0.64388561,1.28194672,465,800,1594,249,479,1104,0.20099904,0.38566794,0.88811369,0.26221903,0.47570038,0.72503699
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-09 00:00:00.000000,0.35308469,0.64368296,1.31619230,439,800,1636,240,482,1122,0.19299060,0.38767242,0.90283596,0.24062863,0.46051178,0.70809344
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-10 00:00:00.000000,0.35700854,0.64537469,1.32675550,444,802,1650,235,485,1140,0.18956133,0.39027596,0.91736888,0.23129823,0.45015078,0.71860669
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-11 00:00:00.000000,0.34483317,0.64794119,1.32909087,428,805,1653,226,496,1150,0.18199641,0.39905520,0.92473721,0.22658933,0.44280852,0.69758266
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-12 00:00:00.000000,0.34828632,0.65136419,1.35672970,433,810,1687,225,500,1157,0.18144739,0.40258018,0.93106522,0.21499288,0.44295175,0.65972656
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-13 00:00:00.000000,0.32627261,0.64413698,1.38130209,405,801,1717,217,500,1165,0.17510311,0.40280265,0.93722495,0.19837601,0.44298953,0.65415813
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-14 00:00:00.000000,0.32527157,0.64409401,1.38555433,404,801,1723,217,497,1172,0.17513282,0.40018863,0.94297588,0.19676334,0.45271565,0.64963667
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-15 00:00:00.000000,0.31277808,0.64796897,1.36457613,389,805,1697,211,493,1178,0.17015821,0.39641049,0.94790880,0.19858067,0.45261024,0.63906703
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-16 00:00:00.000000,0.31813861,0.64929561,1.33984472,395,807,1666,213,480,1182,0.17161192,0.38617628,0.95056430,0.20270880,0.45506221,0.63142640
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-17 00:00:00.000000,0.30448328,0.64778338,1.31674313,378,805,1637,206,473,1176,0.16622349,0.38097855,0.94581204,0.20920675,0.45924668,0.62385452
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-18 00:00:00.000000,0.31477167,0.64130567,1.30898564,391,797,1627,208,479,1170,0.16790158,0.38592533,0.94097722,0.21524343,0.46277751,0.63258467
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-19 00:00:00.000000,0.29716880,0.64101400,1.31584369,369,797,1636,202,484,1164,0.16253863,0.38948728,0.93649315,0.21296000,0.46551639,0.65085971
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-20 00:00:00.000000,0.30891746,0.64734958,1.32461331,384,805,1647,201,496,1161,0.16174925,0.39913627,0.93387324,0.21423104,0.46602445,0.67288502
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-21 00:00:00.000000,0.30188638,0.64598724,1.33438040,375,803,1659,197,494,1163,0.15867230,0.39731210,0.93550118,0.21444217,0.46868345,0.69299984
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-22 00:00:00.000000,0.30683802,0.65393117,1.34441999,381,813,1672,193,485,1180,0.15568495,0.39037824,0.94889288,0.21448209,0.46749965,0.70528994
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-23 00:00:00.000000,0.30196992,0.65593133,1.36105733,375,815,1692,190,480,1197,0.15278651,0.38607375,0.96294273,0.21430489,0.47058982,0.70781241
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-24 00:00:00.000000,0.29926547,0.65837789,1.37732929,372,818,1712,186,480,1214,0.14998802,0.38645755,0.97621821,0.20696261,0.46556507,0.68816708
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-25 00:00:00.000000,0.29429267,0.66501878,1.39298663,366,827,1732,183,488,1223,0.14735687,0.39283274,0.98353989,0.19952486,0.46423439,0.65710872
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-26 00:00:00.000000,0.29273318,0.66159960,1.40722902,364,822,1750,180,492,1222,0.14511047,0.39624667,0.98283216,0.19015648,0.46583764,0.63955552
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-27 00:00:00.000000,0.28986945,0.65852244,1.41656735,360,819,1761,178,486,1234,0.14360466,0.39128155,0.99293911,0.18870527,0.46413961,0.61569506
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-28 00:00:00.000000,0.28958259,0.64588221,1.40199352,360,803,1743,177,479,1242,0.14278940,0.38536804,0.99936818,0.18884897,0.45589667,0.61067811
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-29 00:00:00.000000,0.28730045,0.63785976,1.36296759,357,793,1695,176,472,1238,0.14208250,0.37957332,0.99555492,0.18187968,0.45059337,0.60823315
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-04-30 00:00:00.000000,0.28696871,0.63025150,1.33234129,356,783,1657,175,464,1229,0.14144775,0.37373296,0.98830346,0.18030745,0.44115049,0.61068090
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-01 00:00:00.000000,0.27856544,0.62781199,1.30501900,346,780,1623,172,463,1217,0.13883526,0.37235620,0.97858837,0.17941404,0.43000112,0.61010531
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-02 00:00:00.000000,0.27367897,0.62258699,1.27856431,340,774,1590,171,463,1203,0.13768609,0.37266535,0.96761933,0.17669539,0.42252070,0.61633262
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-03 00:00:00.000000,0.25844631,0.61359644,1.25278587,321,763,1558,165,457,1189,0.13296216,0.36793779,0.95657177,0.18104642,0.41207663,0.61402900
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-04 00:00:00.000000,0.24961317,0.60094889,1.22924540,310,747,1528,160,439,1178,0.12885633,0.35359778,0.94718234,0.16807286,0.41048618,0.62701961
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-05 00:00:00.000000,0.23646754,0.58890177,1.21141289,294,732,1506,152,437,1169,0.12259142,0.35179871,0.94016147,0.16518776,0.40724221,0.63622561
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-06 00:00:00.000000,0.23239622,0.58059520,1.19375750,289,722,1484,147,429,1161,0.11856106,0.34557497,0.93378246,0.16725678,0.40781723,0.63613356
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-07 00:00:00.000000,0.21997708,0.56755173,1.19190576,273,705,1482,142,427,1147,0.11494013,0.34349219,0.92274259,0.17127913,0.41373298,0.62252475
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-08 00:00:00.000000,0.21649875,0.56434635,1.21658651,269,701,1513,138,413,1133,0.11139441,0.33233546,0.91106941,0.17128654,0.41711576,0.61330793
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-09 00:00:00.000000,0.20736214,0.56090677,1.21388810,257,697,1509,134,410,1113,0.10806524,0.33033119,0.89551560,0.17142315,0.41927434,0.63109279
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-10 00:00:00.000000,0.20413041,0.55936099,1.19474729,253,695,1485,130,403,1097,0.10488355,0.32438605,0.88267919,0.17177728,0.42176388,0.62740950
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-11 00:00:00.000000,0.19813862,0.55253446,1.18033055,246,687,1467,126,401,1090,0.10184006,0.32291247,0.87688563,0.16914947,0.42477063,0.62049263
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-12 00:00:00.000000,0.19097881,0.54739370,1.18579677,237,680,1474,123,398,1078,0.09890084,0.32061973,0.86731888,0.16592636,0.42714743,0.61859631
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-13 00:00:00.000000,0.18399767,0.53757301,1.18230229,228,668,1470,119,396,1063,0.09604527,0.31903122,0.85476272,0.17689924,0.42661117,0.62351320
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-14 00:00:00.000000,0.17718421,0.51857056,1.16707501,220,644,1451,115,393,1045,0.09326307,0.31622325,0.84099243,0.17574457,0.42449194,0.62432352
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-15 00:00:00.000000,0.17054732,0.51387119,1.15155896,212,639,1432,112,393,1026,0.09054944,0.31651645,0.82533333,0.17287374,0.41845634,0.61668365
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-16 00:00:00.000000,0.16409987,0.50439734,1.13164396,204,627,1407,109,390,1004,0.08790119,0.31398541,0.80727699,0.15943638,0.41458853,0.61181282
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-17 00:00:00.000000,0.15831233,0.48234332,1.10565176,196,599,1375,104,374,978,0.08402651,0.30086324,0.78660380,0.15900048,0.39820190,0.59122921
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-18 00:00:00.000000,0.15286213,0.47291276,1.07483744,190,588,1336,99,357,949,0.07985500,0.28719241,0.76337830,0.15067864,0.37160249,0.56282590
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-19 00:00:00.000000,0.14783519,0.45515236,1.04089255,183,566,1294,94,348,917,0.07600009,0.27999132,0.73789893,0.13600476,0.35657446,0.54668960
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-20 00:00:00.000000,0.14297427,0.43486737,1.00515367,177,540,1250,90,344,883,0.07258550,0.27713988,0.71062463,0.12823023,0.34776802,0.54620267
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-21 00:00:00.000000,0.13839536,0.41509448,0.96797755,172,516,1203,87,335,848,0.07017194,0.26962551,0.68204452,0.12627332,0.33382454,0.52831684
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-22 00:00:00.000000,0.13380995,0.39692087,0.92799730,166,493,1154,84,327,811,0.06794279,0.26313115,0.65256938,0.12487280,0.32407623,0.48455585
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-23 00:00:00.000000,0.12694300,0.37021549,0.88388130,157,460,1099,81,309,774,0.06585602,0.24910310,0.62251478,0.12289131,0.31827276,0.47240694
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-24 00:00:00.000000,0.11900866,0.34432885,0.83888978,148,428,1043,78,288,742,0.06306302,0.23216874,0.59725899,0.11546550,0.31325031,0.47255415
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-25 00:00:00.000000,0.11127283,0.32302305,0.80636801,138,401,1002,74,269,718,0.06026186,0.21644460,0.57795247,0.11321715,0.30911626,0.46868055
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-26 00:00:00.000000,0.10391240,0.29724219,0.77399105,129,369,962,71,250,694,0.05743343,0.20109664,0.55820504,0.11213840,0.30230245,0.46511137
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-27 00:00:00.000000,0.09687192,0.27770628,0.73829837,120,345,918,67,230,669,0.05405409,0.18519074,0.53806611,0.11059880,0.29985151,0.46403306
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-28 00:00:00.000000,0.09054911,0.25856612,0.70006915,112,321,870,63,212,643,0.05095660,0.17068295,0.51766601,0.10885852,0.30110802,0.46365821
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-29 00:00:00.000000,0.08433323,0.23983859,0.66325437,104,298,824,59,201,620,0.04814328,0.16191366,0.49866743,0.10689522,0.30133992,0.46312507
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-30 00:00:00.000000,0.07652684,0.22485592,0.63079397,95,279,784,56,187,597,0.04561391,0.15079784,0.48030757,0.10514939,0.30087469,0.46156406
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-05-31 00:00:00.000000,0.06954232,0.21126841,0.60287371,86,262,749,53,174,575,0.04295268,0.14040434,0.46246620,0.10496428,0.29711341,0.45791048
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-06-01 00:00:00.000000,0.06535572,0.19729008,0.57553007,81,245,715,48,162,553,0.03931250,0.13102081,0.44525979,0.10477311,0.30141345,0.45122613
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-06-02 00:00:00.000000,0.06323119,0.18327801,0.54865263,78,227,682,44,151,533,0.03597317,0.12219207,0.42876836,0.10397507,0.30025059,0.44444545
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-06-03 00:00:00.000000,0.05974673,0.16938327,0.52274615,74,210,650,40,141,513,0.03292962,0.11398943,0.41303861,0.10396108,0.29972826,0.44489960
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-06-04 00:00:00.000000,0.05556590,0.15837123,0.49783644,69,196,619,37,132,495,0.03018849,0.10639448,0.39809235,0.10260767,0.29880157,0.44568113
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-06-05 00:00:00.000000,0.05113581,0.14500134,0.47392943,63,180,589,34,124,477,0.02809276,0.09990883,0.38393187,0.10136348,0.29790882,0.45138113
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-06-06 00:00:00.000000,0.04783007,0.13666186,0.45100300,59,169,560,32,115,460,0.02611105,0.09310861,0.37053931,0.10215718,0.29758892,0.45926389
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-06-07 00:00:00.000000,0.04520977,0.12595426,0.42899933,56,156,533,30,107,445,0.02426137,0.08647936,0.35786602,0.10136855,0.29517117,0.47349984
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-06-08 00:00:00.000000,0.04168925,0.11779681,0.41196687,51,146,512,28,99,428,0.02325332,0.08017908,0.34434084,0.10092241,0.29634712,0.48048255
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-06-09 00:00:00.000000,0.03845132,0.11234515,0.39646221,47,139,493,27,91,409,0.02174278,0.07390053,0.32958314,0.10074144,0.29948718,0.48216318
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-06-10 00:00:00.000000,0.03491016,0.10470695,0.37840817,43,130,470,25,85,391,0.02030883,0.06883714,0.31511641,0.10065947,0.31008948,0.49164793
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-06-11 00:00:00.000000,0.03233965,0.09967933,0.36097438,40,123,448,23,80,374,0.01880390,0.06459456,0.30106188,0.09923400,0.32080948,0.48497062
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-06-12 00:00:00.000000,0.03031900,0.09523618,0.34408416,37,118,427,21,76,357,0.01702044,0.06113369,0.28744978,0.09886135,0.31618106,0.48188972
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-06-13 00:00:00.000000,0.02888260,0.09083707,0.32580036,35,112,405,19,71,338,0.01559737,0.05775488,0.27224197,0.09903687,0.31193305,0.48466879
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-06-14 00:00:00.000000,0.02744967,0.08498620,0.30783899,34,105,382,18,68,320,0.01454363,0.05478991,0.25757025,0.10148871,0.31291422,0.48270966
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-06-15 00:00:00.000000,0.02533865,0.07854822,0.29073651,31,97,361,17,64,302,0.01367868,0.05209981,0.24351496,0.10302743,0.31250733,0.48537280
34019,0,USNewJerseyHunterdon,New Jersey,Hunterdon,2020-07-18 08:52:51.996572,2020-06-16 00:00:00.000000,0.02393757,0.07325664,0.27552793,29,91,342,16,61,286,0.01304324,0.04925764,0.23010081,0.10200232,0.31385141,0.48795649
