FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-09 00:00:00.000000,0.00633915,0.01646273,0.04519975,31,80,222,10,39,100,0.00209279,0.00796540,0.02040870,0.75219602,0.93624685,1.30145801
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-10 00:00:00.000000,0.00759515,0.01953219,0.04422746,37,96,217,20,48,109,0.00419795,0.00989593,0.02235508,0.75219602,0.93626325,1.30145834
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-11 00:00:00.000000,0.01013860,0.02340801,0.05147640,49,115,253,26,58,125,0.00541777,0.01197366,0.02554680,0.75219602,0.93630155,1.30145938
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-12 00:00:00.000000,0.01282338,0.02793021,0.05845664,63,137,287,35,71,138,0.00729057,0.01449265,0.02810638,0.75219602,0.93639095,1.30146256
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-13 00:00:00.000000,0.01627123,0.03335420,0.06662716,80,164,327,45,86,154,0.00932775,0.01757783,0.03132672,0.75219602,0.93659933,1.30147238
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-14 00:00:00.000000,0.02041495,0.03961350,0.07580163,100,194,372,58,103,181,0.01185142,0.02098772,0.03681189,0.75219602,0.93708344,1.30150260
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-15 00:00:00.000000,0.02662572,0.04717276,0.08614825,130,232,423,73,124,212,0.01486814,0.02535227,0.04319848,0.75219602,0.93801296,1.30159563
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-16 00:00:00.000000,0.03367551,0.05662479,0.09780114,165,278,481,91,148,251,0.01852598,0.03026501,0.05108812,0.77277350,0.93942926,1.30188167
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-17 00:00:00.000000,0.04177092,0.06799664,0.11092480,205,334,545,116,176,298,0.02374146,0.03583048,0.06072198,0.78578804,0.94249298,1.30275792
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-18 00:00:00.000000,0.05161374,0.07893819,0.12570278,253,388,618,138,208,348,0.02824237,0.04245248,0.07090189,0.78126171,0.95273428,1.30541174
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-19 00:00:00.000000,0.06254080,0.09475404,0.14253698,307,466,701,167,247,410,0.03411457,0.05039594,0.08347500,0.77689463,0.97303174,1.31328233
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-20 00:00:00.000000,0.07299843,0.11397822,0.16727717,359,560,822,194,295,482,0.03945309,0.06004087,0.09804740,0.77356093,1.00302670,1.33479280
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-21 00:00:00.000000,0.08901413,0.13742160,0.19553298,437,675,961,234,354,565,0.04771667,0.07198275,0.11494206,0.77214446,1.04396384,1.37942515
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-22 00:00:00.000000,0.10541394,0.16806207,0.22773076,518,826,1120,285,426,661,0.05801385,0.08668726,0.13451644,0.77345909,1.06750319,1.43860566
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-23 00:00:00.000000,0.12359269,0.20406165,0.26449905,607,1003,1300,346,513,773,0.07050739,0.10438436,0.15719329,0.77763531,1.07920070,1.48570569
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-24 00:00:00.000000,0.14832669,0.24927049,0.31387116,729,1226,1543,417,621,902,0.08497200,0.12635599,0.18345905,0.78419209,1.08118649,1.50947768
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-25 00:00:00.000000,0.18331128,0.29988622,0.38580600,901,1474,1897,508,757,1051,0.10334435,0.15409680,0.21387246,0.79159432,1.07499418,1.51738793
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-26 00:00:00.000000,0.23031302,0.36092678,0.47353272,1132,1775,2329,616,916,1223,0.12537798,0.18640143,0.24874107,0.78435333,1.05686072,1.51628531
34027,0,USNewJerseyMorris,New Jersey,Morris,2020-08-09 09:34:18.966730,2020-03-27 00:00:00.000000,0.28305149,0.43051267,0.58337563,1392,2117,2869,750,1109,1410,0.15260744,0.22553094,0.28668568,0.79649684,1.04817625,1.50177660
