FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-09 00:00:00.000000,0.00871550,0.01694318,0.03925023,28,55,129,14,28,77,0.00428697,0.00854344,0.02341360,0.66617882,0.87040937,1.15795347
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-10 00:00:00.000000,0.00985591,0.02016782,0.04414509,32,66,145,19,39,91,0.00606419,0.01197642,0.02772453,0.66618032,0.87042748,1.15795209
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-11 00:00:00.000000,0.01278180,0.02505934,0.05210945,42,82,171,24,48,108,0.00736565,0.01486627,0.03297875,0.66618429,0.87046719,1.15794952
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-12 00:00:00.000000,0.01559670,0.03040940,0.06212121,51,100,204,31,60,131,0.00957796,0.01849419,0.04005427,0.66619471,0.87055526,1.15794473
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-13 00:00:00.000000,0.01982882,0.03791785,0.07407304,65,124,243,40,73,157,0.01226054,0.02229611,0.04788555,0.66622192,0.87075051,1.15793577
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-14 00:00:00.000000,0.02503700,0.04572106,0.08810842,82,150,289,51,88,187,0.01559869,0.02699811,0.05712630,0.66629146,0.87099339,1.15791906
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-15 00:00:00.000000,0.03071512,0.05445928,0.10496979,101,179,345,61,107,223,0.01874174,0.03259087,0.06801214,0.66954653,0.87166072,1.15788788
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-16 00:00:00.000000,0.03767325,0.06603077,0.12603482,123,217,414,74,128,266,0.02251499,0.03913479,0.08111557,0.67823183,0.87282828,1.15778542
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-17 00:00:00.000000,0.04561644,0.07919643,0.15235276,150,260,501,90,154,321,0.02746051,0.04709012,0.09763611,0.69067183,0.87601572,1.15722597
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-18 00:00:00.000000,0.05533059,0.09373531,0.18557802,182,308,610,109,186,389,0.03318752,0.05659622,0.11832171,0.69751614,0.87738682,1.15191877
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-19 00:00:00.000000,0.06585450,0.11231098,0.22566339,216,369,742,131,222,475,0.04012620,0.06762555,0.14453993,0.69736164,0.87654469,1.15642520
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-20 00:00:00.000000,0.07811197,0.13405041,0.27447441,256,440,902,158,265,578,0.04819189,0.08067788,0.17597408,0.69687809,0.87586610,1.15639178
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-21 00:00:00.000000,0.09337683,0.16306912,0.32628205,307,536,1073,189,317,689,0.05771705,0.09648950,0.20952404,0.69551078,0.88027699,1.12354487
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-22 00:00:00.000000,0.11267231,0.19222772,0.39165073,370,632,1288,227,387,826,0.06902933,0.11778926,0.25112997,0.69222370,0.87792992,1.11531511
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-23 00:00:00.000000,0.13472084,0.23114138,0.46995398,443,760,1545,268,478,988,0.08170683,0.14556972,0.30060357,0.68598363,0.87201017,1.13702788
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-24 00:00:00.000000,0.15688271,0.27300254,0.57348187,516,897,1886,313,567,1209,0.09525751,0.17245942,0.36780922,0.67742236,0.87363087,1.12180320
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-25 00:00:00.000000,0.18249147,0.32876102,0.68565828,600,1081,2255,366,667,1479,0.11157174,0.20280579,0.44963951,0.66423644,0.86802256,1.09807136
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-26 00:00:00.000000,0.21211270,0.38050811,0.81107795,697,1251,2667,428,791,1807,0.13035103,0.24047554,0.54936205,0.62676786,0.84604136,1.02187935
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-27 00:00:00.000000,0.24681277,0.44646880,0.94790421,811,1468,3117,499,946,2206,0.15191095,0.28783551,0.67074099,0.59018558,0.82260359,1.02009258
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-28 00:00:00.000000,0.28658371,0.51969787,1.09299211,942,1709,3595,580,1105,2691,0.17637860,0.33622038,0.81814455,0.54896651,0.78273420,1.00026120
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-29 00:00:00.000000,0.33264609,0.59287480,1.26203429,1094,1950,4151,670,1268,3111,0.20382550,0.38566896,0.94587910,0.52517923,0.73594219,0.96553003
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-30 00:00:00.000000,0.38543983,0.66990944,1.43628972,1267,2203,4724,771,1453,3549,0.23445375,0.44182157,1.07922537,0.51039371,0.70878622,0.92836269
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-03-31 00:00:00.000000,0.44659044,0.76477981,1.61863644,1468,2515,5324,887,1662,4018,0.26989569,0.50539080,1.22175516,0.48051794,0.69390459,0.90664681
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-04-01 00:00:00.000000,0.51699710,0.87669713,1.81678137,1700,2883,5976,1028,1899,4521,0.31255547,0.57735319,1.37462998,0.48021038,0.68171258,0.85962707
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-04-02 00:00:00.000000,0.59825436,0.99931334,2.03524390,1967,3287,6694,1189,2161,5070,0.36165401,0.65720010,1.54140957,0.47560433,0.66799902,0.85614218
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-04-03 00:00:00.000000,0.69167538,1.12408989,2.27514803,2275,3697,7483,1376,2450,5671,0.41838524,0.74494774,1.72429917,0.46795404,0.65837280,0.84458127
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-04-04 00:00:00.000000,0.75553461,1.24129674,2.53334472,2485,4083,8333,1569,2740,6331,0.47728273,0.83328650,1.92479433,0.44666947,0.62509962,0.81338063
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-04-05 00:00:00.000000,0.82373075,1.38165954,2.79885086,2709,4544,9206,1708,3054,7048,0.51950409,0.92875214,2.14284384,0.43536713,0.59593464,0.78477648
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-04-06 00:00:00.000000,0.90929370,1.51929050,3.04949491,2990,4997,10030,1863,3316,7788,0.56645483,1.00835220,2.36787253,0.39686490,0.57077508,0.70359266
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-04-07 00:00:00.000000,0.98150390,1.65344026,3.33695756,3228,5438,10976,2055,3638,8481,0.62480243,1.10600527,2.57862980,0.36034375,0.53823137,0.68961615
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-04-08 00:00:00.000000,1.02130889,1.74318817,3.52618304,3359,5733,11598,2199,3954,9040,0.66864483,1.20214122,2.74839837,0.34250115,0.50258399,0.67039369
34035,0,USNewJerseySomerset,New Jersey,Somerset,2020-08-21 16:53:05.942446,2020-04-09 00:00:00.000000,1.06926010,1.81157721,3.73837370,3517,5958,12296,2314,4229,9409,0.70378543,1.28591890,2.86055010,0.30332179,0.45019975,0.60250065
