FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
35006,0,USNewMexicoCibola,New Mexico,Cibola,2020-08-31 16:54:30.483334,2020-03-09 00:00:00.000000,0.00733242,0.02642983,0.07761268,1,7,20,0,2,7,0.00176108,0.00948914,0.02681936,0.45130147,0.72835175,1.11576692
35006,0,USNewMexicoCibola,New Mexico,Cibola,2020-08-31 16:54:30.483334,2020-03-10 00:00:00.000000,0.00506698,0.02473246,0.05814141,1,6,15,0,2,6,0.00256937,0.00881446,0.02513834,0.45129799,0.72835784,1.11576692
35006,0,USNewMexicoCibola,New Mexico,Cibola,2020-08-31 16:54:30.483334,2020-03-11 00:00:00.000000,0.00599161,0.02536932,0.05850198,1,6,15,0,2,6,0.00245386,0.00866537,0.02344850,0.45129233,0.72837082,1.11576691
35006,0,USNewMexicoCibola,New Mexico,Cibola,2020-08-31 16:54:30.483334,2020-03-12 00:00:00.000000,0.00570293,0.02633342,0.05939454,1,7,15,0,2,6,0.00222440,0.00901949,0.02339687,0.45128315,0.72839838,1.11576691
35006,0,USNewMexicoCibola,New Mexico,Cibola,2020-08-31 16:54:30.483334,2020-03-13 00:00:00.000000,0.00570666,0.02698045,0.06188102,1,7,16,0,2,6,0.00199247,0.00933608,0.02440878,0.45126831,0.72845665,1.11576689
35006,0,USNewMexicoCibola,New Mexico,Cibola,2020-08-31 16:54:30.483334,2020-03-14 00:00:00.000000,0.00514012,0.02745929,0.06385748,1,7,17,0,2,6,0.00178468,0.00967081,0.02548524,0.45124457,0.72857860,1.11576684
35006,0,USNewMexicoCibola,New Mexico,Cibola,2020-08-31 16:54:30.483334,2020-03-15 00:00:00.000000,0.00500673,0.02730597,0.06588092,1,7,17,0,2,7,0.00158629,0.00993025,0.02658547,0.45120782,0.72465834,1.11576660
35006,0,USNewMexicoCibola,New Mexico,Cibola,2020-08-31 16:54:30.483334,2020-03-16 00:00:00.000000,0.00924693,0.03474116,0.07126755,2,9,19,0,2,7,0.00150862,0.01002742,0.02774263,0.45115669,0.72261446,1.15171162
35006,0,USNewMexicoCibola,New Mexico,Cibola,2020-08-31 16:54:30.483334,2020-03-17 00:00:00.000000,0.01184266,0.03742933,0.07888169,3,9,21,0,3,8,0.00348863,0.01131556,0.03228537,0.45111426,0.72817555,1.16331783
35006,0,USNewMexicoCibola,New Mexico,Cibola,2020-08-31 16:54:30.483334,2020-03-18 00:00:00.000000,0.01532553,0.04246826,0.08931886,4,11,23,1,3,9,0.00477580,0.01347324,0.03697678,0.45123669,0.72458050,1.16327504
35006,0,USNewMexicoCibola,New Mexico,Cibola,2020-08-31 16:54:30.483334,2020-03-19 00:00:00.000000,0.01791488,0.04947496,0.10465647,4,13,27,1,4,11,0.00576788,0.01623371,0.04272109,0.45787834,0.72684445,1.16270866
35006,0,USNewMexicoCibola,New Mexico,Cibola,2020-08-31 16:54:30.483334,2020-03-20 00:00:00.000000,0.02039417,0.05660171,0.11646566,5,15,31,1,4,13,0.00678463,0.01856199,0.04876685,0.45597089,0.71260895,1.15575381
35006,0,USNewMexicoCibola,New Mexico,Cibola,2020-08-31 16:54:30.483334,2020-03-21 00:00:00.000000,0.02270760,0.06405238,0.12804770,6,17,34,2,5,14,0.00782246,0.02153774,0.05511121,0.44528884,0.70483218,1.11323531
35006,0,USNewMexicoCibola,New Mexico,Cibola,2020-08-31 16:54:30.483334,2020-03-22 00:00:00.000000,0.02405397,0.07124140,0.14129688,6,19,37,2,6,16,0.00886296,0.02363045,0.06164641,0.42104923,0.68316280,1.12803602
35006,0,USNewMexicoCibola,New Mexico,Cibola,2020-08-31 16:54:30.483334,2020-03-23 00:00:00.000000,0.02772479,0.08030696,0.15413489,7,21,41,2,6,18,0.00946668,0.02548524,0.06783708,0.40365579,0.68674177,1.14414812
