FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-09 00:00:00.000000,0.07187026,0.29011817,0.54528925,2,11,22,0,2,6,0.00583369,0.06063355,0.14903814,0.51158227,0.68100570,0.99183422
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-10 00:00:00.000000,0.04212209,0.17413845,0.37822719,1,7,15,0,2,5,0.01183425,0.06354438,0.12688833,0.51159791,0.68100559,0.99183379
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-11 00:00:00.000000,0.03453530,0.13530680,0.34382401,1,5,13,0,1,3,0.00827688,0.03667766,0.09702410,0.51162909,0.68100526,0.99183231
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-12 00:00:00.000000,0.02399031,0.08806124,0.28799851,0,3,11,0,1,3,0.00721990,0.03134226,0.07466686,0.51169120,0.68100432,0.99182724
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-13 00:00:00.000000,0.01932898,0.07112783,0.24479112,0,2,9,0,0,2,0.00404491,0.02098316,0.06351529,0.51181475,0.68100172,0.99180996
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-14 00:00:00.000000,0.00973125,0.04493314,0.20716981,0,1,8,0,0,2,0.00393721,0.01582944,0.05411593,0.51205995,0.68099498,0.99231013
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-15 00:00:00.000000,0.00719337,0.03578395,0.17552100,0,1,7,0,0,1,0.00189719,0.01116279,0.04606857,0.51254414,0.68097943,0.99295567
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-16 00:00:00.000000,0.00408157,0.02634958,0.14864611,0,1,6,0,0,1,0.00135475,0.00862277,0.04111230,0.51349086,0.67720888,0.99313469
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-17 00:00:00.000000,0.00244461,0.02029844,0.12588987,0,0,5,0,0,1,0.00072448,0.00601850,0.03768196,0.51530612,0.67053109,0.99350552
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-18 00:00:00.000000,0.00137851,0.01451949,0.11075599,0,0,4,0,0,1,0.00044659,0.00464911,0.03454047,0.50911109,0.66572489,0.99350169
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-19 00:00:00.000000,0.00078444,0.01096139,0.09656045,0,0,3,0,0,1,0.00023973,0.00341115,0.03153686,0.45055722,0.66663489,0.99099003
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-20 00:00:00.000000,0.00041267,0.00804219,0.08335267,0,0,3,0,0,1,0.00012641,0.00259833,0.02713692,0.41173384,0.66127683,0.96416274
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-21 00:00:00.000000,0.00021173,0.00583388,0.07647227,0,0,3,0,0,0,0.00006190,0.00182833,0.02398945,0.39620419,0.66004193,0.96139470
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-22 00:00:00.000000,0.00010465,0.00407317,0.07014541,0,0,2,0,0,0,0.00003136,0.00138976,0.02211096,0.39100931,0.65183205,0.99215114
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-23 00:00:00.000000,0.00005508,0.00297589,0.06317568,0,0,2,0,0,0,0.00001653,0.00094168,0.02038890,0.38872501,0.63348328,1.00599744
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-24 00:00:00.000000,0.00003123,0.00202038,0.05592156,0,0,2,0,0,0,0.00000936,0.00067529,0.01876976,0.38667530,0.60945480,1.01448103
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-25 00:00:00.000000,0.00001565,0.00135096,0.04886323,0,0,1,0,0,0,0.00000462,0.00045192,0.01734836,0.38374044,0.59578404,1.01777657
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-26 00:00:00.000000,0.00000769,0.00091794,0.04219775,0,0,1,0,0,0,0.00000226,0.00030645,0.01603066,0.37331159,0.59308225,1.01843031
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-27 00:00:00.000000,0.00000386,0.00065544,0.03612290,0,0,1,0,0,0,0.00000116,0.00021603,0.01479897,0.35772761,0.58798653,1.00029679
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-28 00:00:00.000000,0.00000203,0.00045549,0.03073815,0,0,1,0,0,0,0.00000061,0.00015533,0.01276527,0.34402720,0.55040476,0.99948935
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-29 00:00:00.000000,0.00000107,0.00032572,0.02628292,0,0,1,0,0,0,0.00000031,0.00010406,0.01080545,0.32834365,0.54041075,1.00610783
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-30 00:00:00.000000,0.00000052,0.00023094,0.02212873,0,0,0,0,0,0,0.00000015,0.00006771,0.00911971,0.31523337,0.53461380,1.09620116
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-03-31 00:00:00.000000,0.00000024,0.00015866,0.01905356,0,0,0,0,0,0,0.00000007,0.00004591,0.00767922,0.30225529,0.53815623,1.13728862
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-01 00:00:00.000000,0.00000011,0.00011034,0.01636717,0,0,0,0,0,0,0.00000003,0.00003288,0.00645634,0.28782477,0.53912876,1.13980224
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-02 00:00:00.000000,0.00000005,0.00007892,0.01413255,0,0,0,0,0,0,0.00000001,0.00002443,0.00540530,0.27403988,0.52841288,1.12751827
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-03 00:00:00.000000,0.00000002,0.00005607,0.01286218,0,0,0,0,0,0,0.00000001,0.00001761,0.00447751,0.26360251,0.52082318,1.16530416
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-04 00:00:00.000000,0.00000001,0.00003943,0.01150351,0,0,0,0,0,0,0.00000000,0.00001256,0.00361781,0.25930098,0.50299177,1.20452583
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-05 00:00:00.000000,0.00000000,0.00002736,0.00989445,0,0,0,0,0,0,0.00000000,0.00000886,0.00280394,0.25618449,0.48238948,1.20852913
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-06 00:00:00.000000,0.00823849,0.02766338,0.06397764,0,1,2,0,0,0,0.00000000,0.00000628,0.00247236,0.25320197,0.45942052,1.24381378
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-07 00:00:00.000000,0.01642794,0.05376228,0.12769451,0,2,5,0,0,1,0.00588197,0.01764971,0.03979625,0.24955766,0.45904478,1.28914704
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-08 00:00:00.000000,0.02686736,0.08432559,0.19964574,1,3,8,0,1,2,0.00825629,0.02530782,0.05694957,0.24452656,0.45952409,1.31191691
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-09 00:00:00.000000,0.03141281,0.10332645,0.23806307,1,4,9,0,1,3,0.01053516,0.03202243,0.07752799,0.23753389,0.45799630,1.39181524
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-10 00:00:00.000000,0.03493565,0.11475227,0.26297599,1,4,10,0,1,3,0.01117010,0.03642310,0.08977167,0.22851016,0.45768262,1.40922326
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-11 00:00:00.000000,0.03690812,0.12162057,0.27784293,1,4,11,0,1,3,0.01268901,0.03922369,0.09804800,0.21831544,0.44004973,1.46838975
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-12 00:00:00.000000,0.03917444,0.12730184,0.28707729,1,5,11,0,1,4,0.01313360,0.04056723,0.10311939,0.20646919,0.42471225,1.47903957
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-13 00:00:00.000000,0.05240227,0.14427517,0.31020467,2,5,12,0,1,4,0.01374505,0.04095942,0.10662716,0.20133363,0.41763037,1.49184116
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-14 00:00:00.000000,0.06616242,0.15472420,0.26799404,2,6,10,0,1,3,0.02298091,0.04581803,0.09533196,0.19919651,0.43099302,1.49817175
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-15 00:00:00.000000,0.07409927,0.16268745,0.27767033,3,6,11,0,1,3,0.02343647,0.04731009,0.08541712,0.20069378,0.42698053,1.49504920
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-16 00:00:00.000000,0.07053275,0.16366334,0.31089100,2,6,12,0,1,3,0.01949236,0.04838650,0.08362911,0.20638155,0.42758074,1.51321619
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-17 00:00:00.000000,0.06484983,0.16479197,0.33010504,2,6,13,0,1,3,0.01699214,0.04898316,0.08476191,0.21754933,0.42493638,1.52625413
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-18 00:00:00.000000,0.05898435,0.16808201,0.32604236,2,6,13,0,2,3,0.01539932,0.05025918,0.08744842,0.23311104,0.41736477,1.48185771
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-19 00:00:00.000000,0.05525619,0.16767323,0.33914932,2,6,13,0,2,3,0.01438759,0.05100349,0.09198958,0.25026207,0.42141987,1.48988819
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-20 00:00:00.000000,0.08618083,0.19649757,0.43772913,3,7,17,0,2,3,0.01374626,0.05181437,0.09568338,0.26027212,0.41098342,1.49637634
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-21 00:00:00.000000,0.11004503,0.21816989,0.61517000,4,8,24,1,2,8,0.03858150,0.06771064,0.20317246,0.26633289,0.40366142,1.49461464
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-22 00:00:00.000000,0.13554499,0.24303790,0.81830618,5,9,33,1,2,10,0.04613809,0.07239383,0.24641110,0.26596738,0.40230913,1.48507301
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-23 00:00:00.000000,0.14305727,0.25282071,0.91221395,5,10,37,1,3,11,0.04151558,0.07847494,0.27783905,0.26563156,0.40136612,1.48180190
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-24 00:00:00.000000,0.13515880,0.25786783,0.97127590,5,10,39,1,3,11,0.03915093,0.08151937,0.29440878,0.26708689,0.40117298,1.48673121
35059,0,USNewMexicoUnion,New Mexico,Union,2020-09-29 05:02:40.888192,2020-04-25 00:00:00.000000,0.12641859,0.26679456,1.00323325,5,10,40,1,3,12,0.03629389,0.08249011,0.30409174,0.26778137,0.39699813,1.55334206
