FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-09 00:00:00.000000,0.00210351,0.00882730,0.06955154,4,20,159,2,7,25,0.00122114,0.00327209,0.01117519,0.56343351,0.78801568,1.07230045
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-10 00:00:00.000000,0.00261085,0.00926813,0.07597159,5,21,173,3,10,35,0.00162352,0.00450462,0.01555916,0.56343424,0.78801378,1.07230040
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-11 00:00:00.000000,0.00312304,0.01023676,0.07834664,7,23,179,4,11,44,0.00193628,0.00502437,0.01927803,0.56343632,0.78800994,1.07230027
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-12 00:00:00.000000,0.00380644,0.01144031,0.08198980,8,26,187,5,13,51,0.00243341,0.00609829,0.02265859,0.56344234,0.78800209,1.07229999
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-13 00:00:00.000000,0.00463150,0.01300678,0.08617455,10,29,197,6,15,59,0.00293505,0.00671952,0.02598500,0.56345976,0.78798594,1.07229933
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-14 00:00:00.000000,0.00556876,0.01503785,0.09128886,12,34,208,8,18,67,0.00357094,0.00801740,0.02941806,0.56351042,0.78697727,1.07229783
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-15 00:00:00.000000,0.00680360,0.01727631,0.09750753,15,39,222,9,19,76,0.00403615,0.00868972,0.03324245,0.56365809,0.78683231,1.07229444
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-16 00:00:00.000000,0.00753063,0.01982688,0.10541653,17,45,241,11,23,85,0.00495028,0.01048038,0.03756211,0.56408820,0.78552668,1.08879874
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-17 00:00:00.000000,0.00925778,0.02247760,0.11340885,21,51,259,12,25,97,0.00543055,0.01105462,0.04246464,0.56532732,0.78465219,1.10338270
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-18 00:00:00.000000,0.01021588,0.02550532,0.12350419,23,58,282,15,30,109,0.00671802,0.01327498,0.04802693,0.56875771,0.78811648,1.11496462
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-19 00:00:00.000000,0.01244915,0.02922640,0.12986487,28,66,296,16,33,124,0.00727450,0.01460666,0.05426252,0.57190456,0.78581861,1.11699045
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-20 00:00:00.000000,0.01382664,0.03358858,0.14261203,31,76,326,20,38,139,0.00914097,0.01683664,0.06094810,0.57646260,0.78864814,1.10617258
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-21 00:00:00.000000,0.01667117,0.03881474,0.14820565,38,88,338,22,43,157,0.00977741,0.01894457,0.06866429,0.57147400,0.78665766,1.10948476
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-22 00:00:00.000000,0.01855044,0.04413161,0.16546738,42,100,378,27,49,177,0.01213579,0.02180243,0.07758428,0.57010607,0.77815076,1.12601293
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-23 00:00:00.000000,0.02212668,0.05047881,0.18241613,50,115,417,29,56,196,0.01286269,0.02476336,0.08575732,0.55884537,0.76385651,1.14712875
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-24 00:00:00.000000,0.02494346,0.05831290,0.19923004,57,133,455,36,66,215,0.01600047,0.02891821,0.09442746,0.54888924,0.75167739,1.16668157
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-25 00:00:00.000000,0.03047795,0.06640379,0.21787357,69,151,498,39,75,237,0.01711199,0.03310141,0.10388774,0.53124872,0.74720126,1.15947689
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-26 00:00:00.000000,0.03713793,0.07873199,0.23850921,84,180,545,46,88,261,0.02051692,0.03858416,0.11414749,0.52202617,0.75244018,1.14629217
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-27 00:00:00.000000,0.04217163,0.08927793,0.26420165,96,204,604,49,100,297,0.02157823,0.04415784,0.13004191,0.49833134,0.73606427,1.14933412
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-28 00:00:00.000000,0.04767988,0.10142174,0.29063883,109,231,664,58,117,337,0.02554696,0.05121683,0.14738523,0.48188903,0.72601552,1.17189278
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-29 00:00:00.000000,0.05400157,0.11127092,0.31186928,123,254,713,62,132,376,0.02734999,0.05807940,0.16473889,0.44883637,0.70875915,1.17662959
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-30 00:00:00.000000,0.06122157,0.12659840,0.32823687,139,289,750,73,150,410,0.03193759,0.06579941,0.17951143,0.43405511,0.68485493,1.14929204
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-03-31 00:00:00.000000,0.06910669,0.13915743,0.34620491,158,318,791,80,161,438,0.03510837,0.07075397,0.19159684,0.42694949,0.65890201,1.09054290
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-04-01 00:00:00.000000,0.07851894,0.15687966,0.37797706,179,358,864,90,182,483,0.03976259,0.07982541,0.21142508,0.41572028,0.64958306,1.04630192
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-04-02 00:00:00.000000,0.08636156,0.16759157,0.41266265,197,383,943,101,203,530,0.04434348,0.08895305,0.23208993,0.38582493,0.62270457,0.97839796
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-04-03 00:00:00.000000,0.09693963,0.18529642,0.44268325,221,423,1012,111,223,576,0.04856256,0.09787863,0.25199969,0.34660787,0.60907713,0.94214190
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-04-04 00:00:00.000000,0.10443733,0.19595331,0.47106523,238,448,1077,120,240,619,0.05252214,0.10538756,0.27081955,0.32439966,0.57340363,0.88030854
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-04-05 00:00:00.000000,0.11402752,0.21043899,0.50068471,260,481,1144,128,266,660,0.05637476,0.11643836,0.28892370,0.30229362,0.53955537,0.86639781
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-04-06 00:00:00.000000,0.12397579,0.22343464,0.53206747,283,510,1216,134,285,700,0.05886207,0.12490874,0.30623490,0.28869490,0.51684077,0.84790087
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-04-07 00:00:00.000000,0.13501416,0.23702100,0.56519914,308,541,1292,145,305,737,0.06382106,0.13355081,0.32258308,0.28270767,0.50246237,0.80408036
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-04-08 00:00:00.000000,0.13831102,0.25380042,0.59966934,316,580,1371,147,320,771,0.06455334,0.14034631,0.33750995,0.27336677,0.48635285,0.78454341
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-04-09 00:00:00.000000,0.15346525,0.26795242,0.63137088,350,612,1443,162,341,819,0.07094550,0.14943843,0.35853890,0.26567280,0.45904795,0.75811335
36065,0,USNewYorkOneida,New York,Oneida,2020-07-16 06:45:10.467503,2020-04-10 00:00:00.000000,0.15185108,0.28366946,0.65516677,347,648,1498,161,357,863,0.07053421,0.15646029,0.37776483,0.24777613,0.43733246,0.73751823
