FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-09 00:00:00.000000,0.00108773,0.00717861,0.01650988,1,8,19,0,3,9,0.00043729,0.00339528,0.00825138,0.47592843,0.69113192,0.88877446
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-10 00:00:00.000000,0.00088894,0.00692062,0.01557784,1,8,18,0,4,10,0.00050432,0.00388156,0.00854809,0.47592850,0.69111682,0.88877445
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-11 00:00:00.000000,0.00087223,0.00720253,0.01496839,1,8,17,0,4,10,0.00048460,0.00393013,0.00867336,0.47592880,0.69108396,0.88877441
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-12 00:00:00.000000,0.00084482,0.00717652,0.01562378,0,8,18,0,4,10,0.00048734,0.00379958,0.00915787,0.47592992,0.69101242,0.88877433
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-13 00:00:00.000000,0.00083613,0.00686111,0.01657363,0,8,19,0,4,11,0.00047764,0.00392806,0.00968145,0.47593395,0.69085662,0.88877409
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-14 00:00:00.000000,0.00082272,0.00688062,0.01756545,0,8,20,0,4,12,0.00047265,0.00394310,0.01025511,0.47594815,0.69023714,0.88877330
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-15 00:00:00.000000,0.00081217,0.00685463,0.01864278,0,8,21,0,4,12,0.00048383,0.00389195,0.01087665,0.47599761,0.68677453,0.88877029
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-16 00:00:00.000000,0.00257931,0.00893420,0.02105535,3,10,24,0,4,13,0.00047799,0.00384991,0.01154627,0.47616884,0.68323385,0.88875803
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-17 00:00:00.000000,0.00392858,0.01086863,0.02354409,4,12,27,1,6,15,0.00165136,0.00546733,0.01345327,0.47676105,0.67886656,0.88870640
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-18 00:00:00.000000,0.00486256,0.01308892,0.03169134,5,15,37,2,7,17,0.00247854,0.00637927,0.01526782,0.47861957,0.67531161,0.88849211
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-19 00:00:00.000000,0.00553048,0.01541573,0.03667574,6,18,42,3,8,22,0.00290699,0.00737677,0.01934947,0.48322944,0.67249990,0.86612942
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-20 00:00:00.000000,0.00623435,0.01743679,0.04078428,7,20,47,3,10,25,0.00317965,0.00862142,0.02169386,0.48399171,0.66472297,0.88976278
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-21 00:00:00.000000,0.00672323,0.01950536,0.04581861,7,22,53,3,11,30,0.00331714,0.00986146,0.02561396,0.45982716,0.65626070,0.89054363
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-22 00:00:00.000000,0.00693347,0.02166408,0.05134842,8,25,60,4,12,35,0.00362623,0.01105583,0.03066005,0.43486484,0.63434589,0.88507530
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-23 00:00:00.000000,0.00982898,0.02536281,0.05587322,11,29,65,4,14,40,0.00400344,0.01232378,0.03450401,0.42998624,0.61274344,0.86328518
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-24 00:00:00.000000,0.01191006,0.02966509,0.05797620,13,34,67,7,18,41,0.00599180,0.01590410,0.03534925,0.43396889,0.60100293,0.82931598
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-25 00:00:00.000000,0.01358524,0.03486696,0.06440665,15,40,75,7,21,43,0.00669632,0.01826686,0.03700282,0.44102650,0.60100681,0.82762787
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-26 00:00:00.000000,0.01525232,0.03976999,0.07170839,17,46,83,8,23,45,0.00739011,0.02033719,0.03861375,0.44740430,0.58761243,0.82167068
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-27 00:00:00.000000,0.01673338,0.04280308,0.07628993,19,50,89,9,26,48,0.00810297,0.02254948,0.04148278,0.45135971,0.57703458,0.81448882
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-28 00:00:00.000000,0.01798304,0.04610362,0.08143084,21,53,95,10,28,52,0.00877359,0.02440655,0.04440269,0.42381851,0.57278632,0.80645998
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-29 00:00:00.000000,0.01917771,0.04831712,0.08935385,22,56,104,10,30,57,0.00935102,0.02576764,0.04877406,0.41423789,0.55582352,0.79385600
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-30 00:00:00.000000,0.02182287,0.05045881,0.09106709,25,59,106,11,31,61,0.01001504,0.02708833,0.05264565,0.40725754,0.53878614,0.77755381
36075,0,USNewYorkOswego,New York,Oswego,2020-09-29 04:40:01.756855,2020-03-31 00:00:00.000000,0.02492205,0.05012947,0.09326154,29,58,109,13,32,66,0.01185842,0.02733207,0.05701270,0.39746213,0.52915445,0.79030882
