FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
36099,0,USNewYorkSeneca,New York,Seneca,2020-10-11 09:09:08.448758,2020-03-09 00:00:00.000000,0.00432591,0.01872070,0.05089777,1,6,17,0,3,8,0.00185138,0.00994270,0.02431710,0.49614119,0.65730249,0.92569336
36099,0,USNewYorkSeneca,New York,Seneca,2020-10-11 09:09:08.448758,2020-03-10 00:00:00.000000,0.00532451,0.02172293,0.05726419,1,7,19,0,3,8,0.00192993,0.01048678,0.02589240,0.49654602,0.65730245,0.92568595
36099,0,USNewYorkSeneca,New York,Seneca,2020-10-11 09:09:08.448758,2020-03-11 00:00:00.000000,0.00633374,0.02466148,0.06383847,2,8,21,0,3,9,0.00220903,0.01154720,0.02829822,0.49714820,0.65730232,0.92566780
36099,0,USNewYorkSeneca,New York,Seneca,2020-10-11 09:09:08.448758,2020-03-12 00:00:00.000000,0.00740728,0.02779179,0.07080531,2,9,24,0,4,10,0.00259990,0.01278639,0.03126044,0.49803392,0.65730190,0.92562272
36099,0,USNewYorkSeneca,New York,Seneca,2020-10-11 09:09:08.448758,2020-03-13 00:00:00.000000,0.00858203,0.03132024,0.07829750,2,10,26,1,4,11,0.00306548,0.01415730,0.03462978,0.49931526,0.65730045,0.92550605
36099,0,USNewYorkSeneca,New York,Seneca,2020-10-11 09:09:08.448758,2020-03-14 00:00:00.000000,0.00988779,0.03547375,0.08642188,3,12,29,1,5,13,0.00359368,0.01553700,0.03832829,0.50112491,0.65729552,0.92516666
36099,0,USNewYorkSeneca,New York,Seneca,2020-10-11 09:09:08.448758,2020-03-15 00:00:00.000000,0.01135221,0.03961603,0.09525734,3,13,32,1,5,14,0.00418474,0.01730594,0.04232008,0.50359485,0.65727848,0.91902579
36099,0,USNewYorkSeneca,New York,Seneca,2020-10-11 09:09:08.448758,2020-03-16 00:00:00.000000,0.01745907,0.04835006,0.11564103,5,16,39,1,6,15,0.00484517,0.01957126,0.04661176,0.50681111,0.65721933,0.91843194
36099,0,USNewYorkSeneca,New York,Seneca,2020-10-11 09:09:08.448758,2020-03-17 00:00:00.000000,0.02309639,0.05751210,0.14053526,7,19,47,2,7,19,0.00708185,0.02302557,0.05616179,0.47948062,0.65701356,0.91722260
36099,0,USNewYorkSeneca,New York,Seneca,2020-10-11 09:09:08.448758,2020-03-18 00:00:00.000000,0.02883744,0.06733774,0.17225180,9,22,58,3,9,23,0.01031037,0.02761984,0.06939543,0.47155343,0.65630175,0.91176904
36099,0,USNewYorkSeneca,New York,Seneca,2020-10-11 09:09:08.448758,2020-03-19 00:00:00.000000,0.03526142,0.08178309,0.20597622,11,27,70,4,11,27,0.01320857,0.03400451,0.08061024,0.46034085,0.64825424,0.90393262
36099,0,USNewYorkSeneca,New York,Seneca,2020-10-11 09:09:08.448758,2020-03-20 00:00:00.000000,0.04183646,0.09550733,0.23694090,14,32,80,5,14,30,0.01589798,0.04136538,0.09108133,0.45497593,0.64322079,0.88657576
36099,0,USNewYorkSeneca,New York,Seneca,2020-10-11 09:09:08.448758,2020-03-21 00:00:00.000000,0.04612295,0.10966686,0.26098223,15,37,88,6,16,35,0.01891461,0.04747252,0.10531825,0.45456562,0.62224362,0.86974814
36099,0,USNewYorkSeneca,New York,Seneca,2020-10-11 09:09:08.448758,2020-03-22 00:00:00.000000,0.05066484,0.12749115,0.28734043,17,43,97,7,18,42,0.02205528,0.05424770,0.12586684,0.44696471,0.61219027,0.87009716
36099,0,USNewYorkSeneca,New York,Seneca,2020-10-11 09:09:08.448758,2020-03-23 00:00:00.000000,0.07180731,0.15430747,0.33543647,24,52,114,8,21,50,0.02433132,0.06213762,0.14816823,0.43653004,0.60636650,0.85355163
36099,0,USNewYorkSeneca,New York,Seneca,2020-10-11 09:09:08.448758,2020-03-24 00:00:00.000000,0.08405792,0.17525191,0.38521165,28,59,131,9,24,56,0.02811112,0.07188033,0.16478511,0.43626723,0.60237372,0.83388158
36099,0,USNewYorkSeneca,New York,Seneca,2020-10-11 09:09:08.448758,2020-03-25 00:00:00.000000,0.09854517,0.19435520,0.42148336,33,66,143,12,28,62,0.03624041,0.08445705,0.18312076,0.43277341,0.59816765,0.82174090
36099,0,USNewYorkSeneca,New York,Seneca,2020-10-11 09:09:08.448758,2020-03-26 00:00:00.000000,0.11482710,0.21756934,0.47930023,39,74,163,17,32,68,0.05036461,0.09690935,0.20236898,0.42935652,0.59941217,0.79339101
