FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
36111,0,USNewYorkUlster,New York,Ulster,2020-09-17 02:47:25.799143,2020-03-09 00:00:00.000000,0.00510042,0.01136991,0.02524579,9,20,44,1,8,24,0.00082554,0.00472161,0.01382099,0.61691617,0.90754082,1.18562599
36111,0,USNewYorkUlster,New York,Ulster,2020-09-17 02:47:25.799143,2020-03-10 00:00:00.000000,0.00650214,0.01483724,0.02969049,11,26,52,6,14,29,0.00375541,0.00797311,0.01669911,0.61691640,0.90754074,1.18562500
36111,0,USNewYorkUlster,New York,Ulster,2020-09-17 02:47:25.799143,2020-03-11 00:00:00.000000,0.01004326,0.02028003,0.03677232,17,36,65,8,19,36,0.00495572,0.01082289,0.02069472,0.61691698,0.90754059,1.18562200
36111,0,USNewYorkUlster,New York,Ulster,2020-09-17 02:47:25.799143,2020-03-12 00:00:00.000000,0.01324684,0.02529553,0.04491058,23,44,79,12,24,44,0.00722367,0.01368553,0.02507822,0.61691843,0.90754028,1.18561294
36111,0,USNewYorkUlster,New York,Ulster,2020-09-17 02:47:25.799143,2020-03-13 00:00:00.000000,0.01672757,0.03172444,0.05259168,29,56,93,16,31,53,0.00902307,0.01749743,0.03031365,0.61692207,0.90753965,1.18558560
36111,0,USNewYorkUlster,New York,Ulster,2020-09-17 02:47:25.799143,2020-03-14 00:00:00.000000,0.02022408,0.03799580,0.06331973,35,67,112,19,38,62,0.01104114,0.02164549,0.03523853,0.61693119,0.90753832,1.18550371
36111,0,USNewYorkUlster,New York,Ulster,2020-09-17 02:47:25.799143,2020-03-15 00:00:00.000000,0.02501135,0.04595119,0.07779065,44,81,138,23,46,77,0.01316315,0.02638700,0.04366084,0.61695412,0.90832751,1.18526386
36111,0,USNewYorkUlster,New York,Ulster,2020-09-17 02:47:25.799143,2020-03-16 00:00:00.000000,0.03220882,0.05441574,0.09214841,57,96,163,27,56,93,0.01555881,0.03203317,0.05241516,0.61701191,0.90960817,1.18460506
36111,0,USNewYorkUlster,New York,Ulster,2020-09-17 02:47:25.799143,2020-03-17 00:00:00.000000,0.03862281,0.06406987,0.10880046,68,113,193,36,67,109,0.02071707,0.03802217,0.06143336,0.61715761,0.90592429,1.18307490
36111,0,USNewYorkUlster,New York,Ulster,2020-09-17 02:47:25.799143,2020-03-18 00:00:00.000000,0.04682994,0.07520782,0.12765805,83,133,226,44,79,126,0.02527068,0.04490764,0.07148055,0.61752376,0.90282469,1.15844319
36111,0,USNewYorkUlster,New York,Ulster,2020-09-17 02:47:25.799143,2020-03-19 00:00:00.000000,0.05638623,0.08926882,0.14955309,100,158,265,54,93,148,0.03076817,0.05275152,0.08384661,0.61868208,0.90432631,1.15818237
36111,0,USNewYorkUlster,New York,Ulster,2020-09-17 02:47:25.799143,2020-03-20 00:00:00.000000,0.06430551,0.10466158,0.17469767,114,185,310,64,110,174,0.03611419,0.06221707,0.09853017,0.64581541,0.91219950,1.15711399
36111,0,USNewYorkUlster,New York,Ulster,2020-09-17 02:47:25.799143,2020-03-21 00:00:00.000000,0.07286343,0.12451469,0.20359420,129,221,361,75,130,205,0.04234496,0.07348823,0.11549929,0.68802466,0.91087893,1.15277622
36111,0,USNewYorkUlster,New York,Ulster,2020-09-17 02:47:25.799143,2020-03-22 00:00:00.000000,0.08840206,0.14434621,0.23568006,156,256,418,88,152,240,0.04956130,0.08590280,0.13528841,0.72110108,0.90169484,1.13618406
36111,0,USNewYorkUlster,New York,Ulster,2020-09-17 02:47:25.799143,2020-03-23 00:00:00.000000,0.10627078,0.16821896,0.26945669,188,298,478,102,175,282,0.05767833,0.09880239,0.15899618,0.70723463,0.89471635,1.08805624
36111,0,USNewYorkUlster,New York,Ulster,2020-09-17 02:47:25.799143,2020-03-24 00:00:00.000000,0.12299434,0.19462604,0.30492998,218,345,541,118,205,330,0.06655737,0.11550295,0.18605730,0.69028861,0.88986326,1.08539808
36111,0,USNewYorkUlster,New York,Ulster,2020-09-17 02:47:25.799143,2020-03-25 00:00:00.000000,0.14176242,0.22386945,0.35714442,251,397,634,134,237,387,0.07583155,0.13366141,0.21800569,0.66969875,0.86325097,1.08235727
36111,0,USNewYorkUlster,New York,Ulster,2020-09-17 02:47:25.799143,2020-03-26 00:00:00.000000,0.16200601,0.25657282,0.41686622,287,455,740,152,271,453,0.08593628,0.15302510,0.25531065,0.66314307,0.86261915,1.07282695
