FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37007,0,USNorthCarolinaAnson,North Carolina,Anson,2020-09-29 04:41:06.698681,2020-03-09 00:00:00.000000,0.00951911,0.02453486,0.06779028,2,5,16,0,1,5,0.00189950,0.00692391,0.02208919,0.48407555,0.67517662,1.02278167
37007,0,USNorthCarolinaAnson,North Carolina,Anson,2020-09-29 04:41:06.698681,2020-03-10 00:00:00.000000,0.00820900,0.02179203,0.06185385,2,5,15,0,1,5,0.00186451,0.00695269,0.02428633,0.48407553,0.67517657,1.02277839
37007,0,USNorthCarolinaAnson,North Carolina,Anson,2020-09-29 04:41:06.698681,2020-03-11 00:00:00.000000,0.00761847,0.02292254,0.06473424,1,5,15,0,1,5,0.00193446,0.00696816,0.02452997,0.48407546,0.67517647,1.02277160
37007,0,USNorthCarolinaAnson,North Carolina,Anson,2020-09-29 04:41:06.698681,2020-03-12 00:00:00.000000,0.00755704,0.02349919,0.07095629,1,5,17,0,1,6,0.00193776,0.00718569,0.02708531,0.48407529,0.67517622,1.02275758
37007,0,USNorthCarolinaAnson,North Carolina,Anson,2020-09-29 04:41:06.698681,2020-03-13 00:00:00.000000,0.00769761,0.02442162,0.07796979,1,5,19,0,1,7,0.00197727,0.00744716,0.02965271,0.48407485,0.67517568,1.02272864
37007,0,USNorthCarolinaAnson,North Carolina,Anson,2020-09-29 04:41:06.698681,2020-03-14 00:00:00.000000,0.00792199,0.02559780,0.08470351,1,6,20,0,1,7,0.00204307,0.00786513,0.03230682,0.48407371,0.67506487,1.02266887
37007,0,USNorthCarolinaAnson,North Carolina,Anson,2020-09-29 04:41:06.698681,2020-03-15 00:00:00.000000,0.00819832,0.02678530,0.09174375,2,6,22,0,2,8,0.00212022,0.00819113,0.03508639,0.48407068,0.67424698,1.02254558
37007,0,USNorthCarolinaAnson,North Carolina,Anson,2020-09-29 04:41:06.698681,2020-03-16 00:00:00.000000,0.01231553,0.03632400,0.11228117,3,8,27,0,2,9,0.00220385,0.00877415,0.03775221,0.48406261,0.67241458,1.02229163
37007,0,USNorthCarolinaAnson,North Carolina,Anson,2020-09-29 04:41:06.698681,2020-03-17 00:00:00.000000,0.01660072,0.04850724,0.13323756,4,11,32,0,2,10,0.00340808,0.01120206,0.04430557,0.48404100,0.66447439,1.02177037
37007,0,USNorthCarolinaAnson,North Carolina,Anson,2020-09-29 04:41:06.698681,2020-03-18 00:00:00.000000,0.02135689,0.06050230,0.15636201,5,14,38,1,3,12,0.00450084,0.01418008,0.05086338,0.48398321,0.65435349,1.02070823
