FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37037,0,USNorthCarolinaChatham,North Carolina,Chatham,2020-09-29 04:43:44.607944,2020-03-09 00:00:00.000000,0.00278432,0.00752745,0.01630680,2,5,12,0,1,4,0.00020878,0.00172327,0.00586450,0.57358339,0.78830334,1.03499749
37037,0,USNorthCarolinaChatham,North Carolina,Chatham,2020-09-29 04:43:44.607944,2020-03-10 00:00:00.000000,0.00431920,0.00980813,0.02052762,3,7,15,0,2,7,0.00109635,0.00305038,0.01010261,0.57358330,0.78830626,1.03499749
37037,0,USNorthCarolinaChatham,North Carolina,Chatham,2020-09-29 04:43:44.607944,2020-03-11 00:00:00.000000,0.00581873,0.01290616,0.02720420,4,9,20,1,3,9,0.00183166,0.00436445,0.01231386,0.57358301,0.78831094,1.03499749
37037,0,USNorthCarolinaChatham,North Carolina,Chatham,2020-09-29 04:43:44.607944,2020-03-12 00:00:00.000000,0.00745342,0.01686144,0.03405184,5,12,25,1,4,10,0.00259450,0.00614538,0.01455022,0.57358211,0.78831841,1.03499749
37037,0,USNorthCarolinaChatham,North Carolina,Chatham,2020-09-29 04:43:44.607944,2020-03-13 00:00:00.000000,0.00921416,0.02048760,0.04309682,6,15,32,2,5,13,0.00334531,0.00782504,0.01838271,0.57357932,0.78833037,1.03499749
37037,0,USNorthCarolinaChatham,North Carolina,Chatham,2020-09-29 04:43:44.607944,2020-03-14 00:00:00.000000,0.01101087,0.02447719,0.05267982,8,18,39,2,7,17,0.00397191,0.00945666,0.02299238,0.57357070,0.78834962,1.03499747
37037,0,USNorthCarolinaChatham,North Carolina,Chatham,2020-09-29 04:43:44.607944,2020-03-15 00:00:00.000000,0.01262377,0.02840561,0.06342757,9,21,47,3,8,20,0.00478930,0.01157999,0.02787242,0.57354430,0.78838079,1.03499727
37037,0,USNorthCarolinaChatham,North Carolina,Chatham,2020-09-29 04:43:44.607944,2020-03-16 00:00:00.000000,0.01471411,0.03278656,0.07091907,10,24,52,4,10,24,0.00566529,0.01387754,0.03304508,0.57346551,0.78843204,1.03934541
37037,0,USNorthCarolinaChatham,North Carolina,Chatham,2020-09-29 04:43:44.607944,2020-03-17 00:00:00.000000,0.01759749,0.03753985,0.07900976,13,27,58,5,12,28,0.00693779,0.01653028,0.03775815,0.57324727,0.78851879,1.05996396
37037,0,USNorthCarolinaChatham,North Carolina,Chatham,2020-09-29 04:43:44.607944,2020-03-18 00:00:00.000000,0.02196884,0.04418355,0.08767345,16,32,65,6,14,32,0.00806982,0.01900704,0.04310405,0.57275383,0.78253698,1.07019027
