FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-09 00:00:00.000000,0.00392070,0.01220946,0.02413313,3,11,23,0,3,8,0.00079828,0.00388703,0.00870894,0.51581075,0.69367608,0.94754039
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-10 00:00:00.000000,0.00464905,0.01329846,0.02471255,4,13,24,1,3,7,0.00108041,0.00399190,0.00807646,0.51548961,0.69367295,0.94754037
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-11 00:00:00.000000,0.00535555,0.01483470,0.02610373,5,14,25,1,4,8,0.00141716,0.00433030,0.00865617,0.51499722,0.69366571,0.94754033
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-12 00:00:00.000000,0.00610537,0.01628237,0.03157059,5,15,30,1,4,9,0.00171635,0.00478516,0.00963912,0.51425360,0.69364900,0.94754024
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-13 00:00:00.000000,0.00687856,0.01802154,0.03757958,6,17,36,1,5,10,0.00192594,0.00534182,0.01043429,0.51315574,0.69361046,0.94754005
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-14 00:00:00.000000,0.00798456,0.02008079,0.04352462,7,19,42,2,5,11,0.00218162,0.00584433,0.01219731,0.51213475,0.69352180,0.94753963
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-15 00:00:00.000000,0.00904901,0.02163767,0.04938835,8,21,48,2,6,13,0.00246667,0.00623586,0.01385715,0.51207992,0.69352275,0.94753867
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-16 00:00:00.000000,0.01445761,0.02515048,0.05105334,14,24,50,2,6,14,0.00277168,0.00677488,0.01529006,0.51200983,0.69286025,0.94753650
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-17 00:00:00.000000,0.01522658,0.02809548,0.05179673,14,27,50,3,7,15,0.00368661,0.00770057,0.01590341,0.51192747,0.69185148,0.94753143
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-18 00:00:00.000000,0.01580404,0.03119849,0.05337229,15,30,52,4,8,16,0.00450304,0.00847985,0.01683961,0.51184220,0.68975974,0.94751718
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-19 00:00:00.000000,0.01618767,0.03454704,0.05423028,15,33,53,5,9,16,0.00518624,0.00971240,0.01719826,0.51178483,0.68161009,0.94941813
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-20 00:00:00.000000,0.01646982,0.03803622,0.06187475,16,37,60,5,10,17,0.00566153,0.01100676,0.01750145,0.49298091,0.67739537,0.95237069
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-21 00:00:00.000000,0.01684979,0.04123169,0.07241121,16,40,70,5,11,18,0.00612271,0.01169763,0.01859906,0.49019963,0.67033254,0.94842145
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-22 00:00:00.000000,0.01736744,0.04423915,0.07593865,17,43,74,6,12,20,0.00661452,0.01279488,0.02136332,0.48830728,0.66123826,0.93943171
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-23 00:00:00.000000,0.02580765,0.04843352,0.08258566,25,47,80,6,13,23,0.00705794,0.01352563,0.02414830,0.48702287,0.65915229,0.91613502
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-24 00:00:00.000000,0.02802218,0.05179900,0.08668269,27,50,84,7,13,26,0.00767335,0.01424663,0.02681307,0.47632260,0.64175372,0.88938189
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-25 00:00:00.000000,0.03005112,0.05509598,0.08805084,29,53,86,8,14,28,0.00823069,0.01481859,0.02875719,0.47010151,0.63259260,0.86720322
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-26 00:00:00.000000,0.03113270,0.05835446,0.08927659,30,57,87,8,15,28,0.00880873,0.01559420,0.02914011,0.45999957,0.62500199,0.84538188
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-27 00:00:00.000000,0.03058093,0.06093832,0.09688946,29,59,94,9,16,28,0.00940735,0.01651060,0.02941621,0.46230799,0.60557257,0.83349495
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-28 00:00:00.000000,0.02979420,0.06295047,0.10535910,29,61,103,9,16,29,0.01002659,0.01732519,0.03051367,0.45345678,0.59871495,0.81753994
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-29 00:00:00.000000,0.02874941,0.06406978,0.11043114,28,62,108,10,18,33,0.01040356,0.01846639,0.03406763,0.41388806,0.57335334,0.81492821
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-30 00:00:00.000000,0.02900916,0.06571298,0.11048333,28,64,108,10,19,36,0.01075111,0.01990764,0.03721826,0.37675152,0.55142310,0.83869635
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-03-31 00:00:00.000000,0.03129887,0.06772360,0.11004540,30,66,107,10,20,35,0.01100331,0.02111211,0.03596519,0.37649241,0.54502235,0.85193089
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-04-01 00:00:00.000000,0.03632719,0.06877714,0.10913052,35,67,106,11,20,34,0.01192869,0.02139915,0.03539663,0.37183191,0.54147858,0.84816975
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-04-02 00:00:00.000000,0.04156869,0.07365692,0.11465861,40,72,112,12,21,39,0.01238457,0.02172871,0.04012919,0.34984929,0.53017248,0.84997427
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-04-03 00:00:00.000000,0.04288241,0.07540852,0.12269006,42,73,120,12,22,43,0.01283605,0.02282980,0.04465464,0.32655749,0.51897426,0.84826491
37045,0,USNorthCarolinaCleveland,North Carolina,Cleveland,2020-09-17 02:48:07.906411,2020-04-04 00:00:00.000000,0.04388780,0.07584585,0.13033324,42,74,127,12,22,47,0.01313842,0.02275934,0.04878619,0.33818808,0.50013671,0.81610809
