FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-09 00:00:00.000000,0.00635942,0.01872198,0.03492478,3,10,19,0,2,6,0.00151115,0.00457338,0.01151435,0.50109758,0.74706952,0.95669400
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-10 00:00:00.000000,0.00795544,0.01870315,0.03030486,4,10,16,0,2,6,0.00175762,0.00541268,0.01089512,0.50109764,0.74705052,0.95669359
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-11 00:00:00.000000,0.01031789,0.02339964,0.03533031,5,12,19,1,3,6,0.00223592,0.00558478,0.01138338,0.50109784,0.74700960,0.95669282
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-12 00:00:00.000000,0.01272994,0.02387427,0.03968136,7,13,21,1,3,7,0.00287803,0.00684412,0.01286176,0.50109861,0.74692023,0.95669134
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-13 00:00:00.000000,0.01526817,0.02599974,0.04450336,8,14,24,1,4,7,0.00353662,0.00820928,0.01384617,0.50110168,0.74672190,0.95668785
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-14 00:00:00.000000,0.01795673,0.02824788,0.05149792,9,15,28,2,5,8,0.00416979,0.00940633,0.01570987,0.50111443,0.74627407,0.95667199
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-15 00:00:00.000000,0.02081918,0.03261102,0.05901579,11,18,32,2,5,10,0.00479187,0.01062722,0.01845443,0.50116809,0.74524579,0.95652610
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-16 00:00:00.000000,0.02416569,0.03717796,0.06721789,13,20,37,3,6,11,0.00544800,0.01193055,0.02150312,0.50139206,0.74285993,0.95484858
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-17 00:00:00.000000,0.02769126,0.04252707,0.07598562,15,23,41,3,7,13,0.00613353,0.01289593,0.02490149,0.49892912,0.73962782,0.93897112
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-18 00:00:00.000000,0.03103246,0.04715841,0.08531312,17,26,47,3,7,16,0.00685354,0.01422947,0.02903826,0.49763958,0.73952843,0.90637432
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-19 00:00:00.000000,0.03311263,0.05216838,0.09525329,18,28,52,4,8,18,0.00734534,0.01587213,0.03379472,0.48844377,0.72102340,0.90823753
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-20 00:00:00.000000,0.03400626,0.05752175,0.10499940,18,31,57,4,9,21,0.00760095,0.01761021,0.03913590,0.46154022,0.70064970,1.01253402
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-21 00:00:00.000000,0.03489533,0.06269700,0.11452880,19,34,63,4,10,24,0.00781587,0.01910992,0.04513006,0.45748562,0.68968528,1.06939319
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-22 00:00:00.000000,0.03575011,0.06799089,0.12475910,19,37,68,4,11,28,0.00802518,0.02030088,0.05113337,0.45793472,0.69159285,1.05700658
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-23 00:00:00.000000,0.03659347,0.07361616,0.13540094,20,40,74,4,11,31,0.00822877,0.02167748,0.05633179,0.45453531,0.70247593,1.04177993
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-24 00:00:00.000000,0.03742887,0.07980998,0.14838490,20,44,81,4,13,34,0.00842799,0.02376203,0.06177045,0.44251475,0.69934946,1.02614112
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-25 00:00:00.000000,0.03828637,0.08732442,0.16534039,21,48,91,4,14,37,0.00862483,0.02586365,0.06761271,0.42573831,0.68421765,1.01188470
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-26 00:00:00.000000,0.03923320,0.09422994,0.18431591,21,52,101,4,15,41,0.00882797,0.02789026,0.07514247,0.42571427,0.69270667,0.99911980
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-27 00:00:00.000000,0.04037900,0.10114794,0.20347852,22,55,112,5,16,46,0.00906484,0.03064730,0.08330687,0.42633761,0.70595800,1.00262068
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-28 00:00:00.000000,0.04225169,0.10845289,0.22073250,23,59,121,5,18,50,0.00939896,0.03378421,0.09203942,0.43119160,0.71444413,1.06742766
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-29 00:00:00.000000,0.04477913,0.11679150,0.23938786,24,64,132,5,20,55,0.00988909,0.03712486,0.10107456,0.43798568,0.71100807,1.16262689
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-30 00:00:00.000000,0.04799522,0.12520815,0.25991979,26,69,143,5,22,60,0.01052387,0.04065492,0.11043033,0.44907790,0.70834432,1.20566567
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-03-31 00:00:00.000000,0.05153138,0.13617137,0.28205223,28,75,155,6,24,66,0.01125280,0.04434617,0.12025553,0.44706875,0.70802003,1.22699702
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-01 00:00:00.000000,0.05521244,0.14872502,0.30718488,30,82,169,6,26,72,0.01198861,0.04797376,0.13064972,0.44688012,0.69891883,1.23418483
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-02 00:00:00.000000,0.05880341,0.15900854,0.33595691,32,87,185,7,28,78,0.01275254,0.05202376,0.14162463,0.44517333,0.70787240,1.23628291
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-03 00:00:00.000000,0.06244590,0.16966402,0.36450033,34,93,201,7,31,84,0.01353780,0.05614614,0.15313471,0.42956323,0.73106183,1.23697151
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-04 00:00:00.000000,0.06610453,0.18492516,0.39430679,36,102,217,7,33,91,0.01434699,0.06013930,0.16507792,0.39717392,0.73249578,1.23560342
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-05 00:00:00.000000,0.06988848,0.20049037,0.42608175,38,110,235,8,35,97,0.01518237,0.06419440,0.17677211,0.36495600,0.73188076,1.23537986
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-06 00:00:00.000000,0.07399737,0.21425056,0.46026316,40,118,254,8,37,108,0.01605485,0.06858894,0.19562017,0.34111640,0.71540156,1.23685349
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-07 00:00:00.000000,0.07842474,0.22693065,0.49673807,43,125,274,9,40,120,0.01701426,0.07280854,0.21801965,0.32821339,0.69284675,1.24900677
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-08 00:00:00.000000,0.08314376,0.24145409,0.54414666,45,133,300,9,43,135,0.01803865,0.07864365,0.24469152,0.32327635,0.67163091,1.25509343
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-09 00:00:00.000000,0.08808657,0.26016383,0.58919665,48,143,325,10,46,151,0.01911954,0.08488442,0.27425346,0.32328599,0.67027365,1.25876283
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-10 00:00:00.000000,0.09332511,0.28131905,0.63401029,51,155,350,11,50,167,0.02024879,0.09150282,0.30257635,0.32363077,0.65831125,1.27065343
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-11 00:00:00.000000,0.09917346,0.30700740,0.68976824,54,169,380,11,54,180,0.02145517,0.09840023,0.32726004,0.32437739,0.68263491,1.30282712
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-12 00:00:00.000000,0.10598612,0.33440281,0.76340898,58,184,421,12,57,198,0.02282265,0.10409290,0.35900885,0.32491858,0.69925178,1.36845648
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-13 00:00:00.000000,0.11385102,0.36255418,0.84448518,62,200,466,13,61,216,0.02444085,0.11070519,0.39208249,0.32532646,0.68242338,1.42043893
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-14 00:00:00.000000,0.12254895,0.39213133,0.91822101,67,216,507,14,65,235,0.02626168,0.11914394,0.42678357,0.32573133,0.69229049,1.43924654
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-15 00:00:00.000000,0.13181028,0.41573817,0.99273955,72,229,548,15,70,255,0.02823110,0.12708199,0.46343962,0.32632088,0.69351806,1.44312390
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-16 00:00:00.000000,0.14154280,0.43948199,1.07086883,78,242,591,16,74,277,0.03032234,0.13426984,0.50224565,0.32736999,0.67257030,1.44128281
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-17 00:00:00.000000,0.15172743,0.46645260,1.14191874,83,257,630,17,80,300,0.03253089,0.14541054,0.54370092,0.32959455,0.64344974,1.43378584
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-18 00:00:00.000000,0.16232462,0.50028527,1.16937974,89,276,645,19,85,324,0.03485259,0.15504308,0.58803034,0.33388512,0.62424624,1.41675891
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-19 00:00:00.000000,0.17325897,0.52261114,1.19160930,95,288,658,20,90,350,0.03727247,0.16460776,0.63530812,0.33928071,0.62199577,1.40594451
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-20 00:00:00.000000,0.18452785,0.54662543,1.26246089,101,301,697,21,97,378,0.03977137,0.17573696,0.68556258,0.34566218,0.62237689,1.39560090
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-21 00:00:00.000000,0.19621098,0.57270697,1.35104269,108,316,746,23,103,408,0.04235361,0.18752753,0.73896773,0.35163838,0.61817114,1.38889869
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-22 00:00:00.000000,0.20842030,0.60075353,1.44471340,115,331,797,24,110,439,0.04504311,0.20090151,0.79585077,0.35362447,0.61459271,1.38573873
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-23 00:00:00.000000,0.22096001,0.63292560,1.54293318,122,349,852,26,118,473,0.04786027,0.21429482,0.85657412,0.35612987,0.60353068,1.38444823
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-24 00:00:00.000000,0.23353621,0.66534259,1.64520774,128,367,908,28,127,502,0.05081860,0.23080605,0.90899964,0.34396400,0.58348952,1.38388116
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-25 00:00:00.000000,0.24672589,0.69511045,1.74788071,136,383,965,29,136,523,0.05392754,0.24739369,0.94768494,0.32663013,0.56013024,1.38342351
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-26 00:00:00.000000,0.26054334,0.72354158,1.84552192,143,399,1019,31,145,542,0.05719435,0.26360146,0.98210117,0.30944624,0.54066179,1.38253589
37093,0,USNorthCarolinaHoke,North Carolina,Hoke,2020-07-31 01:22:43.627202,2020-04-27 00:00:00.000000,0.27496501,0.74194032,1.93242682,151,409,1067,33,154,556,0.06062429,0.27971509,1.00701133,0.29883084,0.53603616,1.38025116
