FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-09 00:00:00.000000,0.00223918,0.01156871,0.02500755,1,7,15,0,2,5,0.00061352,0.00400121,0.00906619,0.54460501,0.66258026,1.06597580
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-10 00:00:00.000000,0.00230093,0.01073052,0.02324600,1,6,14,0,2,4,0.00063379,0.00357476,0.00717350,0.54460499,0.66252813,1.06597578
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-11 00:00:00.000000,0.00231022,0.01063705,0.02228599,1,6,14,0,2,4,0.00053747,0.00326607,0.00725166,0.54460495,0.66240901,1.06597553
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-12 00:00:00.000000,0.00238112,0.01054571,0.02173919,1,6,13,0,2,4,0.00058186,0.00319629,0.00739341,0.54460481,0.66212366,1.06597339
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-13 00:00:00.000000,0.00246058,0.01062363,0.02141931,1,6,13,0,2,4,0.00059117,0.00323738,0.00748227,0.54460440,0.66161254,1.06595765
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-14 00:00:00.000000,0.00254472,0.01090173,0.02135261,1,6,13,0,2,4,0.00061154,0.00328272,0.00750196,0.54460318,0.66078343,1.06584593
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-15 00:00:00.000000,0.00263287,0.01071529,0.02198057,1,6,13,0,2,4,0.00063817,0.00327167,0.00745897,0.54459959,0.65926842,1.06506518
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-16 00:00:00.000000,0.00430020,0.01345251,0.02556070,2,8,16,0,2,4,0.00066865,0.00318227,0.00735887,0.53421975,0.66237402,1.05971734
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-17 00:00:00.000000,0.00507428,0.01510233,0.02906223,3,9,18,0,2,4,0.00094631,0.00352991,0.00768236,0.50186080,0.65889241,1.02666382
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-18 00:00:00.000000,0.00575479,0.01735072,0.03229354,3,10,20,0,2,5,0.00133387,0.00385371,0.00800716,0.47942141,0.65268121,1.01907073
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-19 00:00:00.000000,0.00669290,0.01968198,0.03559747,4,12,22,1,2,5,0.00171993,0.00441751,0.00910311,0.49656546,0.65346402,1.05066845
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-20 00:00:00.000000,0.00759572,0.02184762,0.03894717,4,13,24,1,3,6,0.00214457,0.00498816,0.01039005,0.49510530,0.65148635,1.12064467
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-21 00:00:00.000000,0.00848095,0.02347012,0.04233848,5,14,26,1,3,7,0.00252267,0.00558323,0.01154701,0.48943277,0.65735756,1.14239397
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-22 00:00:00.000000,0.00931449,0.02520245,0.04576431,5,15,28,1,3,7,0.00290386,0.00609061,0.01255805,0.48800748,0.65670847,1.17280834
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-23 00:00:00.000000,0.01105399,0.02794580,0.04755159,6,17,29,2,4,8,0.00321016,0.00667508,0.01378714,0.48843250,0.66297808,1.20320821
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-24 00:00:00.000000,0.01257896,0.03050769,0.05087299,7,19,32,2,4,9,0.00368793,0.00733816,0.01456222,0.48996666,0.63822902,1.22360837
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-25 00:00:00.000000,0.01411721,0.03316556,0.05367505,8,20,33,2,5,9,0.00417813,0.00829198,0.01521899,0.47680212,0.64391523,1.23212692
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-26 00:00:00.000000,0.01560936,0.03556924,0.05592723,9,22,35,2,5,9,0.00454513,0.00919024,0.01540267,0.47081276,0.64254101,1.22674577
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-27 00:00:00.000000,0.01702929,0.03792395,0.05790293,10,23,36,3,6,10,0.00478349,0.01013393,0.01634352,0.46474999,0.64206530,1.19026117
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-28 00:00:00.000000,0.01836817,0.04010318,0.06139720,11,25,38,3,6,10,0.00516013,0.01092597,0.01690443,0.45766779,0.64118262,1.20414624
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-29 00:00:00.000000,0.01958199,0.04235754,0.06619825,12,26,41,3,7,11,0.00552516,0.01189085,0.01825186,0.44678075,0.64195665,1.22542844
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-30 00:00:00.000000,0.01974373,0.04226962,0.07909596,12,26,49,3,7,12,0.00586491,0.01232728,0.01962541,0.43602278,0.62515902,1.23868324
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-03-31 00:00:00.000000,0.01977645,0.04528601,0.08743620,12,28,55,3,8,12,0.00625706,0.01305345,0.01960260,0.43279023,0.62449059,1.24733560
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-01 00:00:00.000000,0.01975626,0.04758499,0.10125267,12,30,63,4,8,12,0.00666177,0.01350940,0.01923974,0.43103669,0.62477780,1.24915695
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-02 00:00:00.000000,0.02123379,0.04833831,0.11544418,13,30,72,4,8,13,0.00698540,0.01354256,0.02106350,0.43326670,0.62313430,1.24159988
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-03 00:00:00.000000,0.02134732,0.04858282,0.13022850,13,30,82,4,8,15,0.00705983,0.01346389,0.02400653,0.43797234,0.61999499,1.22959680
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-04 00:00:00.000000,0.02160705,0.04965189,0.14546677,13,31,91,4,9,17,0.00724505,0.01428866,0.02726038,0.43810014,0.61277491,1.26051304
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-05 00:00:00.000000,0.02246422,0.05096607,0.16117154,14,32,101,4,9,19,0.00758930,0.01465170,0.03063484,0.44480833,0.62005442,1.29956929
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-06 00:00:00.000000,0.02271777,0.05576873,0.16837157,14,35,106,4,9,21,0.00788900,0.01563284,0.03412509,0.45530869,0.61928844,1.33954165
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-07 00:00:00.000000,0.02288088,0.06597732,0.17608029,14,41,111,5,10,23,0.00799059,0.01731378,0.03658310,0.47298804,0.61725764,1.38060281
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-08 00:00:00.000000,0.02291732,0.07152122,0.18375879,14,45,115,5,11,24,0.00802446,0.01828377,0.03861683,0.48519322,0.61932372,1.37648824
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-09 00:00:00.000000,0.02288489,0.07819977,0.19161315,14,49,120,5,12,25,0.00803058,0.01927524,0.04049809,0.50161945,0.62618482,1.36983883
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-10 00:00:00.000000,0.02279862,0.08330931,0.19973112,14,52,125,5,12,26,0.00801760,0.01998754,0.04234842,0.49910635,0.63187340,1.35491086
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-11 00:00:00.000000,0.02267589,0.08589817,0.20814956,14,54,131,5,12,27,0.00798671,0.02059967,0.04422235,0.50603538,0.62996404,1.32312407
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-12 00:00:00.000000,0.02257165,0.08992105,0.21688424,14,56,136,5,13,29,0.00794258,0.02136199,0.04618881,0.51609427,0.63148571,1.26510475
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-13 00:00:00.000000,0.02700650,0.09282985,0.22637142,17,58,142,4,13,31,0.00789211,0.02218137,0.04949060,0.51809966,0.63547670,1.18568933
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-14 00:00:00.000000,0.03146108,0.09826736,0.23618759,19,61,148,5,14,32,0.00886393,0.02258839,0.05091245,0.51836130,0.65956326,1.14716134
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-15 00:00:00.000000,0.03624048,0.10268925,0.24636437,22,64,155,6,15,33,0.01007317,0.02466661,0.05255198,0.51892221,0.68800833,1.14074384
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-16 00:00:00.000000,0.04098407,0.10517204,0.25689846,25,66,162,7,16,34,0.01163792,0.02630043,0.05513097,0.52030219,0.70605463,1.11649821
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-17 00:00:00.000000,0.04558700,0.11111704,0.26779307,28,70,168,8,17,36,0.01329246,0.02779801,0.05765058,0.52369010,0.71903700,1.14877626
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-18 00:00:00.000000,0.04899236,0.11575430,0.27905474,30,72,175,9,18,37,0.01468181,0.02972208,0.06011938,0.53828045,0.73704991,1.17991429
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-19 00:00:00.000000,0.05321514,0.12083617,0.29073912,33,76,183,9,20,39,0.01564617,0.03245463,0.06251986,0.54970206,0.74219478,1.19209911
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-20 00:00:00.000000,0.05517136,0.12722996,0.30501724,34,80,192,10,22,40,0.01593981,0.03517108,0.06489310,0.55037219,0.74114883,1.30719898
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-21 00:00:00.000000,0.05721081,0.13406710,0.31970311,36,84,201,10,23,42,0.01658644,0.03735320,0.06774569,0.54985108,0.75266812,1.36984958
37141,0,USNorthCarolinaPender,North Carolina,Pender,2020-09-22 11:47:55.844016,2020-04-22 00:00:00.000000,0.05793782,0.14070986,0.33493772,36,88,211,10,24,44,0.01732206,0.03941939,0.07093749,0.56578483,0.76386155,1.38071762
