FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37145,0,USNorthCarolinaPerson,North Carolina,Person,2020-10-02 03:16:27.671375,2020-03-09 00:00:00.000000,0.00464877,0.01833623,0.04862725,1,7,19,0,2,7,0.00078453,0.00552356,0.01812831,0.50242689,0.71331589,0.94051058
37145,0,USNorthCarolinaPerson,North Carolina,Person,2020-10-02 03:16:27.671375,2020-03-10 00:00:00.000000,0.00270090,0.01681121,0.04650413,1,6,18,0,1,6,0.00072983,0.00446064,0.01537519,0.50210073,0.71329406,0.94051058
37145,0,USNorthCarolinaPerson,North Carolina,Person,2020-10-02 03:16:27.671375,2020-03-11 00:00:00.000000,0.00246499,0.01813382,0.04904180,0,7,19,0,1,5,0.00073711,0.00395823,0.01358092,0.49656907,0.71325079,0.94051058
37145,0,USNorthCarolinaPerson,North Carolina,Person,2020-10-02 03:16:27.671375,2020-03-12 00:00:00.000000,0.00201630,0.01858782,0.05170678,0,7,20,0,1,5,0.00074767,0.00389893,0.01413976,0.48958784,0.71316571,0.94051057
37145,0,USNorthCarolinaPerson,North Carolina,Person,2020-10-02 03:16:27.671375,2020-03-13 00:00:00.000000,0.00185666,0.01969056,0.05430957,0,7,21,0,1,5,0.00074103,0.00398800,0.01363891,0.48117159,0.71300091,0.94051053
37145,0,USNorthCarolinaPerson,North Carolina,Person,2020-10-02 03:16:27.671375,2020-03-14 00:00:00.000000,0.00173331,0.02027788,0.05776113,0,8,22,0,1,4,0.00072210,0.00409464,0.01236751,0.47157289,0.71269081,0.94051010
37145,0,USNorthCarolinaPerson,North Carolina,Person,2020-10-02 03:16:27.671375,2020-03-15 00:00:00.000000,0.00168053,0.02083575,0.06245589,0,8,24,0,1,4,0.00070058,0.00413081,0.01233114,0.46128666,0.71144637,0.94050557
37145,0,USNorthCarolinaPerson,North Carolina,Person,2020-10-02 03:16:27.671375,2020-03-16 00:00:00.000000,0.00739534,0.02612952,0.06894299,2,10,27,0,1,4,0.00067598,0.00414725,0.01254470,0.45260028,0.70870567,0.94045669
37145,0,USNorthCarolinaPerson,North Carolina,Person,2020-10-02 03:16:27.671375,2020-03-17 00:00:00.000000,0.01158888,0.03206737,0.07501412,4,12,29,0,1,5,0.00098673,0.00467220,0.01297438,0.44986738,0.70668784,0.93992627
37145,0,USNorthCarolinaPerson,North Carolina,Person,2020-10-02 03:16:27.671375,2020-03-18 00:00:00.000000,0.01406956,0.03605636,0.08037399,5,14,31,0,2,5,0.00141730,0.00526698,0.01368643,0.44191681,0.70010735,0.93886407
