FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-08-21 17:50:37.803455,2020-03-09 00:00:00.000000,0.00132271,0.00330730,0.00782273,14,36,86,5,17,45,0.00052898,0.00153729,0.00409170,0.59125775,0.79014995,1.06119430
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-08-21 17:50:37.803455,2020-03-10 00:00:00.000000,0.00177394,0.00391631,0.00928998,19,43,103,7,21,52,0.00071032,0.00192063,0.00474338,0.59125745,0.79014996,1.06119374
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-08-21 17:50:37.803455,2020-03-11 00:00:00.000000,0.00229634,0.00455117,0.01093183,25,50,121,11,25,63,0.00104567,0.00230172,0.00567869,0.59125664,0.79014998,1.06119200
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-08-21 17:50:37.803455,2020-03-12 00:00:00.000000,0.00274097,0.00531572,0.01281628,30,59,142,15,30,72,0.00139490,0.00276669,0.00650468,0.59125445,0.79015005,1.06118608
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-08-21 17:50:37.803455,2020-03-13 00:00:00.000000,0.00327992,0.00624880,0.01499740,36,69,166,19,36,82,0.00173933,0.00327643,0.00743304,0.59124843,0.79015028,1.06116500
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-08-21 17:50:37.803455,2020-03-14 00:00:00.000000,0.00391668,0.00728191,0.01752651,43,80,194,22,43,94,0.00198756,0.00387371,0.00848274,0.59123178,0.79015111,1.06108755
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-08-21 17:50:37.803455,2020-03-15 00:00:00.000000,0.00424515,0.00878215,0.02046168,47,97,227,25,50,107,0.00226269,0.00451209,0.00967227,0.59118552,0.79015400,1.06079782
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-08-21 17:50:37.803455,2020-03-16 00:00:00.000000,0.00487285,0.01044471,0.02370410,54,116,263,28,57,134,0.00256446,0.00521609,0.01211328,0.59105653,0.79016401,1.05970499
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-08-21 17:50:37.803455,2020-03-17 00:00:00.000000,0.00552371,0.01217806,0.02653564,61,135,295,34,68,170,0.00310591,0.00612062,0.01529315,0.59069721,0.79019873,1.05561012
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-08-21 17:50:37.803455,2020-03-18 00:00:00.000000,0.00626573,0.01417384,0.02963117,69,157,329,41,80,214,0.00372285,0.00725153,0.01929627,0.58970504,0.78490813,1.04098002
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-08-21 17:50:37.803455,2020-03-19 00:00:00.000000,0.00713697,0.01629152,0.03657853,79,181,406,47,95,250,0.00426096,0.00861537,0.02257004,0.58704300,0.76931284,1.02905203
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-08-21 17:50:37.803455,2020-03-20 00:00:00.000000,0.00814120,0.01888146,0.04102268,90,209,456,52,109,288,0.00468168,0.00987053,0.02597753,0.58196221,0.75696483,1.01079295
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-08-21 17:50:37.803455,2020-03-21 00:00:00.000000,0.00890337,0.02172993,0.04837855,98,241,537,59,128,327,0.00532476,0.01151966,0.02947920,0.55833090,0.73991537,0.96506183
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-08-21 17:50:37.803455,2020-03-22 00:00:00.000000,0.01021332,0.02484490,0.05675227,113,276,630,68,146,365,0.00616421,0.01317886,0.03286180,0.53925794,0.71026348,0.93336468
37183,0,USNorthCarolinaWake,North Carolina,Wake,2020-08-21 17:50:37.803455,2020-03-23 00:00:00.000000,0.01145462,0.02796093,0.06580122,127,310,731,74,165,414,0.00670291,0.01486312,0.03725648,0.51258504,0.68485868,0.91767404
