FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
38015,0,USNorthDakotaBurleigh,North Dakota,Burleigh,2020-09-22 11:41:38.322653,2020-03-09 00:00:00.000000,0.00530544,0.01696249,0.04598368,5,16,43,0,5,16,0.00048454,0.00585540,0.01748885,0.44482299,0.65233394,0.90828885
38015,0,USNorthDakotaBurleigh,North Dakota,Burleigh,2020-09-22 11:41:38.322653,2020-03-10 00:00:00.000000,0.00704728,0.02061412,0.04548276,6,19,43,0,5,15,0.00093729,0.00615667,0.01633202,0.44482176,0.65233380,0.90630668
38015,0,USNorthDakotaBurleigh,North Dakota,Burleigh,2020-09-22 11:41:38.322653,2020-03-11 00:00:00.000000,0.00998367,0.02593335,0.05174844,9,24,49,1,6,17,0.00172712,0.00671744,0.01854907,0.44481723,0.65233360,0.90350541
38015,0,USNorthDakotaBurleigh,North Dakota,Burleigh,2020-09-22 11:41:38.322653,2020-03-12 00:00:00.000000,0.01310259,0.02979914,0.05631102,12,28,53,2,7,18,0.00228917,0.00732713,0.01960928,0.44480407,0.65179754,0.90205766
38015,0,USNorthDakotaBurleigh,North Dakota,Burleigh,2020-09-22 11:41:38.322653,2020-03-13 00:00:00.000000,0.01634271,0.03429013,0.05974066,15,32,57,2,7,20,0.00271795,0.00825322,0.02093953,0.44476946,0.65069523,0.90203848
38015,0,USNorthDakotaBurleigh,North Dakota,Burleigh,2020-09-22 11:41:38.322653,2020-03-14 00:00:00.000000,0.01890184,0.03894234,0.06695579,18,37,64,3,9,21,0.00315184,0.00955985,0.02282733,0.44468352,0.64857162,0.90197101
38015,0,USNorthDakotaBurleigh,North Dakota,Burleigh,2020-09-22 11:41:38.322653,2020-03-15 00:00:00.000000,0.02056453,0.04377959,0.07623856,19,41,72,3,9,24,0.00394231,0.01044828,0.02553000,0.44447891,0.64794895,0.90173420
38015,0,USNorthDakotaBurleigh,North Dakota,Burleigh,2020-09-22 11:41:38.322653,2020-03-16 00:00:00.000000,0.02372578,0.04855823,0.08290689,22,46,79,4,10,27,0.00460770,0.01144582,0.02844583,0.44401357,0.64789571,0.90090469
38015,0,USNorthDakotaBurleigh,North Dakota,Burleigh,2020-09-22 11:41:38.322653,2020-03-17 00:00:00.000000,0.02608335,0.05162543,0.08922039,24,49,85,5,12,30,0.00526790,0.01294044,0.03161284,0.44302609,0.64618233,0.89801923
38015,0,USNorthDakotaBurleigh,North Dakota,Burleigh,2020-09-22 11:41:38.322653,2020-03-18 00:00:00.000000,0.02852143,0.05497338,0.09415638,27,52,90,5,14,33,0.00592558,0.01468653,0.03494185,0.43511442,0.64407014,0.88823035
