FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-09 00:00:00.000000,0.01720588,0.08771992,0.26015146,0,2,8,0,1,5,0.00958890,0.05448565,0.16198835,0.37002457,0.49932514,0.71590867
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-10 00:00:00.000000,0.01729934,0.09204490,0.26253856,0,2,8,0,1,5,0.01103796,0.05661933,0.17184774,0.36941702,0.49928658,0.71581189
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-11 00:00:00.000000,0.01839577,0.09864325,0.27753430,0,3,8,0,1,5,0.01158429,0.05878948,0.18049906,0.36852674,0.49921336,0.71563213
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-12 00:00:00.000000,0.01932704,0.10281989,0.29124753,0,3,9,0,2,6,0.01236186,0.06366044,0.18990900,0.36723414,0.49907449,0.71529829
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-13 00:00:00.000000,0.02036394,0.10973843,0.31396908,0,3,10,0,2,6,0.01307816,0.06795013,0.20676699,0.36538235,0.49881188,0.71467857
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-14 00:00:00.000000,0.02040124,0.11754678,0.33690006,0,3,10,0,2,7,0.01325159,0.07297040,0.22777952,0.36277969,0.49831802,0.71352975
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-15 00:00:00.000000,0.02044272,0.11913450,0.35985488,0,3,11,0,2,7,0.01327941,0.07559545,0.24559601,0.35921840,0.49557397,0.71140669
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-16 00:00:00.000000,0.02149735,0.12697474,0.38312349,0,4,12,0,2,8,0.01402566,0.07859350,0.26073720,0.35452044,0.49385227,0.70750834
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-17 00:00:00.000000,0.02356031,0.13158085,0.40482067,0,4,13,0,2,8,0.01538897,0.08271741,0.26626642,0.34896545,0.49338390,0.70044061
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-18 00:00:00.000000,0.02504965,0.13860191,0.41301256,0,4,13,0,2,8,0.01645943,0.08697495,0.27179007,0.34059239,0.49100448,0.67918297
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-19 00:00:00.000000,0.02539078,0.14746642,0.42101224,0,4,13,0,2,8,0.01680449,0.09110736,0.27728382,0.32102448,0.47849710,0.63200267
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-20 00:00:00.000000,0.02546172,0.15209939,0.42819828,0,4,13,0,3,9,0.01694868,0.09518124,0.28258892,0.30666418,0.45562417,0.61151161
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-21 00:00:00.000000,0.02532053,0.15639953,0.43429204,0,5,14,0,3,9,0.01595638,0.09890140,0.28715182,0.28570865,0.43882854,0.59721166
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-22 00:00:00.000000,0.02443607,0.15640719,0.43959922,0,5,14,0,3,9,0.01448494,0.09999121,0.30772562,0.28342730,0.41633118,0.59177270
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-23 00:00:00.000000,0.04232904,0.19162401,0.48280353,1,6,15,0,3,9,0.01314299,0.10154650,0.30456296,0.27676209,0.39209652,0.57532242
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-24 00:00:00.000000,0.06450049,0.22330350,0.51784715,2,7,16,1,4,11,0.03324163,0.13129902,0.36617518,0.26981938,0.37892671,0.53023618
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-25 00:00:00.000000,0.08843207,0.25808317,0.57292379,2,8,18,1,5,12,0.04739740,0.15464131,0.39208286,0.26594773,0.36612132,0.51018080
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-26 00:00:00.000000,0.10206462,0.30080323,0.58966132,3,9,19,1,5,13,0.05588863,0.18081615,0.40467781,0.25585798,0.35711065,0.49813211
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-27 00:00:00.000000,0.11559575,0.33857934,0.70877553,3,10,22,2,6,13,0.06388301,0.20578694,0.41373384,0.24005828,0.34486102,0.47495137
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-28 00:00:00.000000,0.12830116,0.36846867,0.81515896,4,11,26,2,7,15,0.07136499,0.22725346,0.48407297,0.23245952,0.34076063,0.46430367
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-29 00:00:00.000000,0.13784558,0.38888508,0.90509661,4,12,29,2,8,17,0.07833806,0.24708745,0.54496892,0.21852577,0.31632843,0.46134596
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-30 00:00:00.000000,0.16946121,0.41807068,0.88808057,5,13,28,2,8,19,0.08483197,0.26147643,0.59544665,0.21708714,0.29717051,0.45925076
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-03-31 00:00:00.000000,0.20655993,0.43855215,0.82847869,6,14,26,3,9,18,0.10793404,0.28625359,0.56557331,0.20128931,0.28685869,0.45850835
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-04-01 00:00:00.000000,0.23390728,0.47193380,0.83331140,7,15,27,4,9,17,0.13023851,0.30305983,0.53762158,0.19160033,0.27392775,0.45827398
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-04-02 00:00:00.000000,0.26519284,0.47385415,0.79699176,8,15,25,4,10,16,0.14754637,0.31440449,0.51301186,0.18368170,0.25903605,0.45801283
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-04-03 00:00:00.000000,0.26878598,0.49481550,0.81504522,8,16,26,5,10,17,0.16056628,0.32839607,0.53762256,0.16978500,0.24713519,0.45520211
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-04-04 00:00:00.000000,0.26096490,0.52072954,0.89282200,8,16,28,5,11,18,0.16467665,0.34088506,0.56819001,0.16443899,0.24224025,0.43106250
38029,0,USNorthDakotaEmmons,North Dakota,Emmons,2020-09-29 03:40:17.214945,2020-04-05 00:00:00.000000,0.25650043,0.52980467,0.96485704,8,17,31,5,11,20,0.16886806,0.35622178,0.62282137,0.15586123,0.23642778,0.39292071
