FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-09 00:00:00.000000,0.00315129,0.00961821,0.04049950,2,6,28,0,2,9,0.00094812,0.00411905,0.01415987,0.64414847,0.93122713,1.14495327
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-10 00:00:00.000000,0.00254334,0.00874841,0.03276334,1,6,22,0,3,8,0.00142354,0.00474231,0.01293950,0.64414855,0.93157449,1.14495494
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-11 00:00:00.000000,0.00289995,0.00924903,0.02824858,2,6,19,0,3,8,0.00113935,0.00460754,0.01261047,0.64414869,0.93170697,1.14495873
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-12 00:00:00.000000,0.00263117,0.00945800,0.02552105,1,6,17,0,3,7,0.00133682,0.00489720,0.01085514,0.64414896,0.93171336,1.14496793
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-13 00:00:00.000000,0.00257081,0.00978417,0.02351506,1,6,16,0,3,7,0.00103049,0.00491057,0.01107019,0.64414942,0.93172740,1.14499208
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-14 00:00:00.000000,0.00240807,0.01001311,0.02258797,1,6,15,0,3,7,0.00112365,0.00491383,0.01073952,0.64415022,0.93227932,1.14506047
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-15 00:00:00.000000,0.00218263,0.01019744,0.02218576,1,7,15,0,3,7,0.00085856,0.00437049,0.01037167,0.64415176,0.93562231,1.14526746
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-16 00:00:00.000000,0.00199457,0.00971646,0.02106757,1,6,14,0,2,7,0.00088958,0.00430291,0.01060435,0.64417810,0.93655042,1.14592656
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-17 00:00:00.000000,0.00188411,0.00906823,0.02228777,1,6,15,0,2,7,0.00078624,0.00407352,0.01145353,0.64613073,0.94604266,1.17309828
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-18 00:00:00.000000,0.00175941,0.00898724,0.02315654,1,6,16,0,2,8,0.00071604,0.00384290,0.01160684,0.65578678,0.94175565,1.27953109
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-19 00:00:00.000000,0.00166864,0.00862802,0.02355287,1,5,16,0,2,8,0.00067167,0.00365805,0.01181011,0.66455900,0.94992461,1.38258887
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-20 00:00:00.000000,0.00159833,0.00867330,0.02409057,1,6,16,0,2,8,0.00069161,0.00367391,0.01203362,0.68478521,0.96922701,1.43107903
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-21 00:00:00.000000,0.00161895,0.00869361,0.02486279,1,6,17,0,2,8,0.00059524,0.00353421,0.01235650,0.72048272,1.00779214,1.46496024
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-22 00:00:00.000000,0.00166473,0.00894701,0.02603061,1,6,18,0,2,8,0.00066845,0.00368818,0.01284645,0.73638841,1.06352307,1.65398845
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-23 00:00:00.000000,0.00174889,0.00905734,0.02765733,1,6,19,0,2,9,0.00068644,0.00382360,0.01358637,0.75056510,1.12078490,1.82653405
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-24 00:00:00.000000,0.00194053,0.00958848,0.02973209,1,6,20,0,2,10,0.00084425,0.00413489,0.01456907,0.75464140,1.14480996,1.93381678
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-25 00:00:00.000000,0.00229141,0.01014992,0.03219512,1,7,22,0,3,10,0.00090376,0.00445251,0.01575357,0.75651853,1.16615825,1.99015617
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-26 00:00:00.000000,0.00262581,0.01093912,0.03506108,1,7,24,0,3,11,0.00098096,0.00484333,0.01711101,0.76070067,1.23707424,2.02210195
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-27 00:00:00.000000,0.00311782,0.01155381,0.03832537,2,8,26,0,3,12,0.00112342,0.00511876,0.01847013,0.78607451,1.25920889,2.05944290
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-28 00:00:00.000000,0.00353014,0.01263182,0.04202245,2,8,29,0,3,13,0.00137983,0.00551727,0.01910797,0.81221427,1.34462259,2.14723604
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-29 00:00:00.000000,0.00391942,0.01434177,0.04623953,2,9,32,1,4,15,0.00158147,0.00615229,0.02182001,0.82860866,1.45271305,2.30432031
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-30 00:00:00.000000,0.00450792,0.01586706,0.05103269,3,11,35,1,4,17,0.00194581,0.00691036,0.02465744,0.84293917,1.47174853,2.40567597
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-03-31 00:00:00.000000,0.00536035,0.01822775,0.05648216,3,12,39,1,5,20,0.00230944,0.00790217,0.02904000,0.85976250,1.54227175,2.43678038
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-01 00:00:00.000000,0.00638023,0.02199133,0.06420652,4,15,44,1,6,23,0.00262950,0.00931000,0.03441155,0.88255869,1.59608489,2.48896367
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-02 00:00:00.000000,0.00829352,0.02529901,0.07561353,5,17,52,2,7,28,0.00328669,0.01107339,0.04093121,0.91239205,1.61078049,2.54356886
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-03 00:00:00.000000,0.01085259,0.02859507,0.08270615,7,19,57,2,9,33,0.00422143,0.01326446,0.04877624,0.94666332,1.64781800,2.53700887
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-04 00:00:00.000000,0.01438954,0.03455153,0.09813325,9,23,68,3,10,38,0.00539941,0.01513211,0.05525734,0.98038080,1.70804979,2.52663902
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-05 00:00:00.000000,0.01717176,0.04072546,0.11958681,11,28,83,4,12,43,0.00686984,0.01788479,0.06191470,1.04850186,1.75226483,2.51961994
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-06 00:00:00.000000,0.02138194,0.04996051,0.14665197,14,34,101,5,15,52,0.00813273,0.02166806,0.07539351,1.10444747,1.78977066,2.60868749
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-07 00:00:00.000000,0.02704164,0.06333801,0.18110045,18,43,125,7,18,64,0.01108321,0.02613349,0.09252837,1.13744886,1.79909503,2.69670776
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-08 00:00:00.000000,0.03564381,0.07886810,0.22543557,24,54,156,9,22,79,0.01431582,0.03193618,0.11448772,1.15595082,1.83066500,2.72958575
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-09 00:00:00.000000,0.04966643,0.10056874,0.28287291,34,69,196,13,28,97,0.02012065,0.04040909,0.14021087,1.16426987,1.88186668,2.70088351
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-10 00:00:00.000000,0.06909267,0.12787213,0.35285372,47,88,245,18,36,119,0.02687117,0.05215062,0.17277057,1.16763888,1.90857049,2.74036056
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-11 00:00:00.000000,0.09078226,0.16542211,0.42831785,63,114,297,24,47,147,0.03481091,0.06785182,0.21283622,1.16886671,1.90187979,2.75907934
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-12 00:00:00.000000,0.11783876,0.21452773,0.51991868,81,148,361,31,59,181,0.04513454,0.08630234,0.26186021,1.16891281,1.94015653,2.80767725
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-13 00:00:00.000000,0.15378397,0.27896321,0.63245207,106,193,439,40,79,223,0.05891228,0.11393738,0.32201841,1.16734315,1.98270231,2.85811474
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-14 00:00:00.000000,0.20113321,0.36402969,0.73805237,139,252,512,53,103,274,0.07706120,0.14880878,0.39550079,1.16040864,1.99813974,2.86719401
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-15 00:00:00.000000,0.26297680,0.46922241,0.86019713,182,325,597,70,131,335,0.10085486,0.18960371,0.48279757,1.13895135,1.98578609,2.86273320
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-16 00:00:00.000000,0.34627084,0.58907470,1.01967878,240,409,708,92,168,401,0.13339540,0.24309684,0.57851854,1.10167228,1.95677845,2.78446738
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-17 00:00:00.000000,0.45325560,0.72352446,1.35180409,314,502,938,118,213,470,0.17046061,0.30721165,0.67795750,1.02715411,1.80523308,2.61706250
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-18 00:00:00.000000,0.54858231,0.88563904,1.66477448,380,615,1156,152,262,548,0.21968939,0.37803137,0.78913047,0.91155175,1.54751040,2.42899218
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-19 00:00:00.000000,0.60726803,0.98134091,1.84098046,421,681,1278,179,320,635,0.25788709,0.46103850,0.91496266,0.69852556,1.23982563,1.95581842
38035,0,USNorthDakotaGrandForks,North Dakota,Grand Forks,2020-08-09 04:31:19.778165,2020-04-20 00:00:00.000000,0.63228910,1.02542262,1.88464878,439,712,1308,174,333,721,0.25159262,0.48015762,1.03877644,0.62255111,1.07201957,1.63546493
