FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39101,0,USOhioMarion,Ohio,Marion,2020-09-29 02:35:28.206038,2020-03-09 00:00:00.000000,0.00163936,0.00610868,0.01672293,1,3,10,0,2,6,0.00050562,0.00320381,0.01022560,0.48242745,0.64190290,0.87112772
39101,0,USOhioMarion,Ohio,Marion,2020-09-29 02:35:28.206038,2020-03-10 00:00:00.000000,0.00274567,0.00871993,0.02169852,1,5,14,0,3,9,0.00150861,0.00563471,0.01411751,0.48242670,0.64190308,0.87112683
39101,0,USOhioMarion,Ohio,Marion,2020-09-29 02:35:28.206038,2020-03-11 00:00:00.000000,0.00423454,0.01246720,0.02781062,2,8,18,1,5,12,0.00258509,0.00820680,0.01886028,0.48242577,0.64190360,0.87112476
39101,0,USOhioMarion,Ohio,Marion,2020-09-29 02:35:28.206038,2020-03-12 00:00:00.000000,0.00617247,0.01682034,0.03541423,4,10,23,2,7,16,0.00399384,0.01150773,0.02461679,0.48242542,0.64190510,0.87111995
39101,0,USOhioMarion,Ohio,Marion,2020-09-29 02:35:28.206038,2020-03-13 00:00:00.000000,0.00849371,0.02170756,0.04645899,5,14,30,3,10,20,0.00570419,0.01539579,0.03159425,0.48242849,0.64190941,0.87110872
39101,0,USOhioMarion,Ohio,Marion,2020-09-29 02:35:28.206038,2020-03-14 00:00:00.000000,0.01113457,0.02794427,0.06004206,7,18,39,5,13,26,0.00784383,0.02054299,0.04007155,0.48244429,0.64192183,0.87108209
39101,0,USOhioMarion,Ohio,Marion,2020-09-29 02:35:28.206038,2020-03-15 00:00:00.000000,0.01444191,0.03678456,0.07674976,9,23,49,6,17,32,0.01044354,0.02652319,0.05038375,0.48250043,0.64195757,0.87101672
39101,0,USOhioMarion,Ohio,Marion,2020-09-29 02:35:28.206038,2020-03-16 00:00:00.000000,0.02061015,0.04887647,0.09716310,13,31,63,9,22,41,0.01385225,0.03510599,0.06314198,0.48271671,0.64206023,0.87084277
39101,0,USOhioMarion,Ohio,Marion,2020-09-29 02:35:28.206038,2020-03-17 00:00:00.000000,0.02799693,0.06353089,0.12232447,18,41,79,12,29,52,0.01992987,0.04562893,0.08051636,0.48335275,0.63960283,0.87029894
39101,0,USOhioMarion,Ohio,Marion,2020-09-29 02:35:28.206038,2020-03-18 00:00:00.000000,0.03653459,0.08200062,0.15330868,23,53,99,17,38,66,0.02713188,0.05954679,0.10187468,0.48478772,0.64461749,0.86816000
39101,0,USOhioMarion,Ohio,Marion,2020-09-29 02:35:28.206038,2020-03-19 00:00:00.000000,0.04695537,0.10449025,0.19161668,30,68,124,23,51,83,0.03541703,0.07867910,0.12817958,0.48753738,0.64755693,0.85866434
39101,0,USOhioMarion,Ohio,Marion,2020-09-29 02:35:28.206038,2020-03-20 00:00:00.000000,0.05963677,0.13531418,0.23949420,38,88,155,29,65,104,0.04552945,0.09986998,0.15995086,0.49088887,0.64554052,0.83775737
39101,0,USOhioMarion,Ohio,Marion,2020-09-29 02:35:28.206038,2020-03-21 00:00:00.000000,0.07362908,0.17147629,0.30056724,47,111,195,37,82,131,0.05819155,0.12639211,0.20204083,0.49404207,0.65591608,0.82602371
39101,0,USOhioMarion,Ohio,Marion,2020-09-29 02:35:28.206038,2020-03-22 00:00:00.000000,0.09090449,0.21508408,0.37860534,59,140,246,46,105,165,0.07185907,0.16232628,0.25406657,0.47134808,0.66029869,0.82851433
39101,0,USOhioMarion,Ohio,Marion,2020-09-29 02:35:28.206038,2020-03-23 00:00:00.000000,0.11520433,0.26959380,0.46920971,74,175,305,57,133,209,0.08872923,0.20540336,0.32138808,0.46321273,0.65981739,0.85671386
39101,0,USOhioMarion,Ohio,Marion,2020-09-29 02:35:28.206038,2020-03-24 00:00:00.000000,0.15043471,0.33398559,0.57546798,97,217,374,73,168,260,0.11236759,0.25954715,0.40028209,0.47439120,0.65854022,0.86212595
