FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39133,0,USOhioPortage,Ohio,Portage,2020-10-02 02:24:09.052979,2020-03-09 00:00:00.000000,0.00070606,0.00449047,0.01390712,1,7,22,0,2,14,0.00026417,0.00182341,0.00883206,0.59968815,0.81716110,0.99637290
39133,0,USOhioPortage,Ohio,Portage,2020-10-02 02:24:09.052979,2020-03-10 00:00:00.000000,0.00059795,0.00414374,0.01677313,0,6,27,0,3,15,0.00038976,0.00234179,0.00930434,0.59985845,0.81720933,0.99637277
39133,0,USOhioPortage,Ohio,Portage,2020-10-02 02:24:09.052979,2020-03-11 00:00:00.000000,0.00067963,0.00476716,0.01914305,1,7,31,0,4,17,0.00036869,0.00251129,0.01077983,0.60015678,0.81729058,0.99637256
39133,0,USOhioPortage,Ohio,Portage,2020-10-02 02:24:09.052979,2020-03-12 00:00:00.000000,0.00069101,0.00543951,0.02217133,1,8,36,0,4,19,0.00040969,0.00287455,0.01226532,0.60067835,0.81742768,0.99637216
39133,0,USOhioPortage,Ohio,Portage,2020-10-02 02:24:09.052979,2020-03-13 00:00:00.000000,0.00074028,0.00598637,0.02527249,1,9,41,0,5,22,0.00042481,0.00332340,0.01399727,0.60110445,0.81759787,0.99637135
39133,0,USOhioPortage,Ohio,Portage,2020-10-02 02:24:09.052979,2020-03-14 00:00:00.000000,0.00077774,0.00657363,0.02881877,1,10,46,0,6,25,0.00045836,0.00376629,0.01596065,0.60126997,0.81771249,0.99636934
39133,0,USOhioPortage,Ohio,Portage,2020-10-02 02:24:09.052979,2020-03-15 00:00:00.000000,0.00084680,0.00719429,0.03285098,1,11,53,0,6,29,0.00047973,0.00412489,0.01820011,0.60163356,0.81464900,0.99636254
39133,0,USOhioPortage,Ohio,Portage,2020-10-02 02:24:09.052979,2020-03-16 00:00:00.000000,0.00177835,0.00948894,0.04218823,2,15,68,0,7,33,0.00050337,0.00449538,0.02075164,0.60242999,0.81783742,0.99633197
39133,0,USOhioPortage,Ohio,Portage,2020-10-02 02:24:09.052979,2020-03-17 00:00:00.000000,0.00248860,0.01207692,0.05041605,4,19,81,1,9,44,0.00108131,0.00601084,0.02729814,0.60416398,0.82140161,0.99616988
39133,0,USOhioPortage,Ohio,Portage,2020-10-02 02:24:09.052979,2020-03-18 00:00:00.000000,0.00343138,0.01521195,0.05977933,5,24,97,2,11,55,0.00150319,0.00734493,0.03403964,0.60789066,0.82693969,0.99525132
39133,0,USOhioPortage,Ohio,Portage,2020-10-02 02:24:09.052979,2020-03-19 00:00:00.000000,0.00434936,0.01825366,0.07014537,7,29,113,3,14,68,0.00199119,0.00922551,0.04186427,0.61568601,0.83384142,0.99010191
39133,0,USOhioPortage,Ohio,Portage,2020-10-02 02:24:09.052979,2020-03-20 00:00:00.000000,0.00534831,0.02135602,0.08203946,8,34,133,4,18,82,0.00250061,0.01135884,0.05074396,0.60929205,0.84242970,0.99234623
39133,0,USOhioPortage,Ohio,Portage,2020-10-02 02:24:09.052979,2020-03-21 00:00:00.000000,0.00641767,0.02553145,0.09550550,10,41,155,4,22,98,0.00305027,0.01370733,0.06035695,0.63929666,0.84819579,0.99534387
39133,0,USOhioPortage,Ohio,Portage,2020-10-02 02:24:09.052979,2020-03-22 00:00:00.000000,0.00758230,0.03078110,0.11067847,12,50,179,5,26,114,0.00364333,0.01618131,0.07034071,0.65700209,0.84862535,1.02455349
39133,0,USOhioPortage,Ohio,Portage,2020-10-02 02:24:09.052979,2020-03-23 00:00:00.000000,0.01261390,0.03686369,0.13035601,20,59,211,6,31,130,0.00429012,0.01913580,0.08006302,0.66547723,0.85573023,1.02818492
39133,0,USOhioPortage,Ohio,Portage,2020-10-02 02:24:09.052979,2020-03-24 00:00:00.000000,0.01776166,0.04431769,0.14840636,28,72,241,13,39,140,0.00835755,0.02404408,0.08645193,0.65061257,0.84894965,1.03199706
