FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-09 00:00:00.000000,0.00344335,0.01091948,0.06106435,2,8,45,0,2,9,0.00011117,0.00272384,0.01211794,0.48057516,0.67084410,0.95302408
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-10 00:00:00.000000,0.00445377,0.01085869,0.03569506,3,8,26,0,2,9,0.00038785,0.00268688,0.01214063,0.48056615,0.67080162,0.95297985
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-11 00:00:00.000000,0.00609810,0.01391706,0.04098603,4,10,30,0,2,9,0.00024659,0.00276526,0.01220571,0.48054762,0.67072068,0.95289518
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-12 00:00:00.000000,0.00726425,0.01585006,0.04631498,5,11,34,0,2,9,0.00069996,0.00296208,0.01238564,0.48050884,0.67056630,0.95273329
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-13 00:00:00.000000,0.00937428,0.01951026,0.05226888,7,14,39,0,2,9,0.00044161,0.00319020,0.01267378,0.48042781,0.67027205,0.95242495
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-14 00:00:00.000000,0.00991377,0.02073704,0.05929223,7,15,44,0,2,9,0.00105606,0.00369989,0.01306468,0.48025903,0.66971325,0.95184277
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-15 00:00:00.000000,0.01249533,0.02526868,0.06671795,9,19,50,0,3,10,0.00069848,0.00407053,0.01355396,0.47990975,0.66614759,0.95076150
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-16 00:00:00.000000,0.01260290,0.02683198,0.07439226,9,20,56,1,3,10,0.00146092,0.00457495,0.01413815,0.47919645,0.66291530,0.94879624
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-17 00:00:00.000000,0.01620951,0.03126067,0.08085571,12,23,60,0,3,11,0.00099369,0.00493055,0.01481641,0.47558108,0.64581743,0.94509200
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-18 00:00:00.000000,0.01542590,0.03378834,0.08751029,11,25,65,1,4,11,0.00198169,0.00568462,0.01567937,0.46810722,0.64685029,0.94497403
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-19 00:00:00.000000,0.02011381,0.03915164,0.09557721,15,29,71,0,4,12,0.00132315,0.00607983,0.01696954,0.46073288,0.63974649,0.94532222
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-20 00:00:00.000000,0.01842584,0.04033035,0.10341995,13,30,77,1,5,13,0.00251031,0.00691547,0.01838418,0.44543090,0.62424982,0.94894807
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-21 00:00:00.000000,0.02410616,0.04785625,0.11145194,18,36,83,1,5,14,0.00170098,0.00735611,0.01991336,0.41468067,0.60737335,0.97035735
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-22 00:00:00.000000,0.02163064,0.04799788,0.11993114,16,36,90,2,6,16,0.00311142,0.00817636,0.02155712,0.39474028,0.58090391,0.98903548
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-23 00:00:00.000000,0.02806140,0.05573744,0.12879894,21,41,97,1,6,17,0.00216376,0.00878927,0.02332080,0.38913678,0.56049492,0.98608846
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-24 00:00:00.000000,0.02546887,0.05571091,0.13823445,19,41,104,2,7,18,0.00363802,0.00963424,0.02521639,0.37838870,0.55204926,0.96505835
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-25 00:00:00.000000,0.03201875,0.06396900,0.14827552,24,48,111,2,7,20,0.00273218,0.01027951,0.02731781,0.35817322,0.54914828,0.96452729
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-26 00:00:00.000000,0.02945806,0.06365244,0.15895101,22,47,119,3,8,22,0.00424313,0.01148547,0.02952305,0.33414737,0.54252607,0.96294408
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-27 00:00:00.000000,0.03489396,0.07164636,0.17021587,26,53,128,2,9,23,0.00328858,0.01204242,0.03181554,0.32908705,0.53803939,0.95867210
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-28 00:00:00.000000,0.03371508,0.07302320,0.18190984,25,54,137,3,10,25,0.00475341,0.01341660,0.03415483,0.32716548,0.53143973,0.94697115
39145,0,USOhioScioto,Ohio,Scioto,2020-07-31 01:07:46.163644,2020-03-29 00:00:00.000000,0.03733428,0.08190767,0.19313792,28,61,145,2,10,27,0.00389348,0.01436581,0.03677582,0.32642425,0.52880886,0.91953138
