FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-09 00:00:00.000000,0.00358714,0.01137061,0.02783608,1,6,15,0,2,8,0.00067425,0.00506234,0.01627074,0.45766523,0.61123137,0.76447635
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-10 00:00:00.000000,0.00256392,0.01027896,0.02670739,1,5,14,0,3,9,0.00119737,0.00569495,0.01658196,0.45762404,0.61122988,0.76447405
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-11 00:00:00.000000,0.00265990,0.00999928,0.02746392,1,5,15,0,2,9,0.00120320,0.00539031,0.01646699,0.45755093,0.61122659,0.76446781
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-12 00:00:00.000000,0.00265569,0.00979138,0.02821810,1,5,15,0,2,9,0.00123933,0.00537112,0.01712433,0.45742063,0.61121935,0.76445095
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-13 00:00:00.000000,0.00263658,0.01006454,0.02896856,1,5,15,0,2,9,0.00124308,0.00526292,0.01750144,0.45718746,0.61120343,0.76440534
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-14 00:00:00.000000,0.00252304,0.00962104,0.02965998,1,5,16,0,2,9,0.00123581,0.00514122,0.01796447,0.45676978,0.61116844,0.76425446
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-15 00:00:00.000000,0.00242349,0.00939769,0.03040370,1,5,16,0,2,10,0.00122439,0.00517693,0.01840831,0.45602981,0.61026856,0.76119714
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-16 00:00:00.000000,0.00406900,0.01228741,0.03317931,2,6,18,0,2,10,0.00121059,0.00507560,0.01886953,0.45073329,0.60863285,0.75588814
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-17 00:00:00.000000,0.00605657,0.01536845,0.03500255,3,8,19,1,4,11,0.00303224,0.00736877,0.02138395,0.43938194,0.60023491,0.75430753
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-18 00:00:00.000000,0.00778938,0.01814681,0.03743742,4,10,20,1,5,12,0.00357863,0.00930998,0.02303281,0.42400615,0.58903117,0.75401470
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-19 00:00:00.000000,0.00854477,0.02114807,0.03984553,4,11,21,2,6,13,0.00422251,0.01116672,0.02414627,0.40719046,0.58227590,0.73830068
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-20 00:00:00.000000,0.00930027,0.02399744,0.04157918,5,13,22,2,6,13,0.00459220,0.01221927,0.02514223,0.39288110,0.55410157,0.72581808
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-21 00:00:00.000000,0.00977003,0.02675458,0.04441482,5,14,24,2,7,14,0.00494719,0.01390559,0.02594330,0.38469493,0.52552393,0.73397702
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-22 00:00:00.000000,0.01016926,0.02875422,0.04936609,5,15,27,2,8,14,0.00520183,0.01504486,0.02626960,0.37424431,0.50828347,0.71190842
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-23 00:00:00.000000,0.01226956,0.03115709,0.05348300,6,17,29,2,8,15,0.00518192,0.01573124,0.02800767,0.36285626,0.48990864,0.64832079
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-24 00:00:00.000000,0.01494822,0.03318860,0.05769612,8,18,31,3,9,16,0.00679960,0.01779024,0.03026310,0.35791738,0.48423180,0.63605084
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-25 00:00:00.000000,0.01664646,0.03454868,0.06173295,9,19,34,4,10,18,0.00835895,0.01913126,0.03293918,0.35266943,0.47409208,0.63396205
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-26 00:00:00.000000,0.01713982,0.03764526,0.06578401,9,20,36,4,10,19,0.00891271,0.01957343,0.03538579,0.32792867,0.46625964,0.63188290
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-27 00:00:00.000000,0.01667351,0.03964348,0.07005775,9,21,38,5,11,21,0.00927288,0.02096509,0.03819520,0.31751783,0.45384530,0.62287480
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-28 00:00:00.000000,0.01582263,0.04136744,0.07466205,8,22,41,4,12,22,0.00882383,0.02187514,0.04103522,0.30901398,0.43711031,0.62151922
39147,0,USOhioSeneca,Ohio,Seneca,2020-09-09 08:02:38.701214,2020-03-29 00:00:00.000000,0.01495855,0.04131760,0.07770759,8,22,42,4,12,24,0.00834763,0.02217021,0.04396923,0.29337466,0.42316383,0.60828578
