FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40025,0,USOklahomaCimarron,Oklahoma,Cimarron,2020-08-01 11:59:46.054454,2020-03-09 00:00:00.000000,0.18325069,0.37957306,2.15086185,3,8,45,0,2,8,0.01882213,0.09446696,0.38193561,0.57659988,0.73047516,0.94620282
40025,0,USOklahomaCimarron,Oklahoma,Cimarron,2020-08-01 11:59:46.054454,2020-03-10 00:00:00.000000,0.18967397,0.37470149,0.97885597,4,8,20,0,1,11,0.02706847,0.08858654,0.52623039,0.57659987,0.73047202,0.94673687
40025,0,USOklahomaCimarron,Oklahoma,Cimarron,2020-08-01 11:59:46.054454,2020-03-11 00:00:00.000000,0.25764331,0.49009048,1.22451835,5,10,26,0,1,15,0.02692318,0.08522985,0.72511943,0.57659986,0.73046572,0.94793555
40025,0,USOklahomaCimarron,Oklahoma,Cimarron,2020-08-01 11:59:46.054454,2020-03-12 00:00:00.000000,0.31356206,0.57516337,1.52171977,6,12,32,0,1,20,0.03108344,0.08399631,0.94537433,0.57659985,0.73045309,0.95018962
40025,0,USOklahomaCimarron,Oklahoma,Cimarron,2020-08-01 11:59:46.054454,2020-03-13 00:00:00.000000,0.37463627,0.68208457,1.88600149,8,14,40,0,1,25,0.02974744,0.08513661,1.18382755,0.57659986,0.73042774,0.95034260
40025,0,USOklahomaCimarron,Oklahoma,Cimarron,2020-08-01 11:59:46.054454,2020-03-14 00:00:00.000000,0.42898842,0.76022482,2.33582713,9,16,49,0,1,31,0.03414733,0.09276333,1.47357440,0.57660007,0.73037693,0.95067280
40025,0,USOklahomaCimarron,Oklahoma,Cimarron,2020-08-01 11:59:46.054454,2020-03-15 00:00:00.000000,0.49006171,0.88797079,2.88392300,10,18,61,0,1,39,0.03500963,0.09101837,1.82572893,0.57660123,0.72948529,0.95134218
40025,0,USOklahomaCimarron,Oklahoma,Cimarron,2020-08-01 11:59:46.054454,2020-03-16 00:00:00.000000,0.54417146,0.95409436,3.54797845,11,20,75,0,2,48,0.03593890,0.11472789,2.25335714,0.57660647,0.72594883,0.95253855
40025,0,USOklahomaCimarron,Oklahoma,Cimarron,2020-08-01 11:59:46.054454,2020-03-17 00:00:00.000000,0.60876982,1.09057222,4.34933361,13,23,92,0,2,59,0.03697430,0.10831940,2.77479523,0.57662854,0.72374443,0.95426254
40025,0,USOklahomaCimarron,Oklahoma,Cimarron,2020-08-01 11:59:46.054454,2020-03-18 00:00:00.000000,0.66869929,1.14737536,5.31912349,14,24,113,0,2,72,0.03807270,0.13492631,3.40722164,0.57672092,0.72212233,0.95612605
40025,0,USOklahomaCimarron,Oklahoma,Cimarron,2020-08-01 11:59:46.054454,2020-03-19 00:00:00.000000,0.73756143,1.29957182,6.49083468,15,27,138,0,2,89,0.03924615,0.13076168,4.17324245,0.57712287,0.72868380,0.96098028
