FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-09 00:00:00.000000,0.02380465,0.12128714,0.68533428,3,17,96,0,1,7,0.00000000,0.00758221,0.05533701,0.50496236,0.76778770,1.15120696
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-10 00:00:00.000000,0.02824371,0.06921778,0.15551327,3,9,21,0,2,6,0.00444046,0.01965474,0.04797095,0.50497752,0.76778774,1.15120694
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-11 00:00:00.000000,0.03680624,0.09994680,0.42908184,5,14,60,0,1,5,0.00000000,0.00860505,0.03798450,0.50501313,0.76778783,1.15120686
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-12 00:00:00.000000,0.04191487,0.06305923,0.15867807,5,8,22,0,2,5,0.00477148,0.01925974,0.03889765,0.50509598,0.76778805,1.15120663
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-13 00:00:00.000000,0.05007359,0.10221791,0.31722587,7,14,44,0,1,5,0.00000000,0.00776821,0.03995245,0.50528685,0.76778859,1.15120581
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-14 00:00:00.000000,0.03646424,0.06713530,0.17406613,5,9,24,0,2,6,0.00560328,0.01804827,0.04374441,0.50572074,0.76778990,1.15120283
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-15 00:00:00.000000,0.05473116,0.09478832,0.31744644,7,13,44,0,1,6,0.00000000,0.00763676,0.04711695,0.50668389,0.76779305,1.15119053
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-16 00:00:00.000000,0.03209756,0.07469614,0.18780540,4,10,26,0,2,7,0.00596477,0.01737018,0.05032652,0.50748603,0.76731138,1.15625707
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-17 00:00:00.000000,0.05530778,0.09954775,0.34523794,7,14,48,0,1,7,0.00000000,0.00786880,0.05309236,0.50721937,0.76327897,1.17533448
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-18 00:00:00.000000,0.02998213,0.07908187,0.19991506,4,11,28,0,2,7,0.00648432,0.01714809,0.05577993,0.50686632,0.74584398,1.22592477
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-19 00:00:00.000000,0.05135878,0.10221934,0.35744740,7,14,50,0,1,8,0.00000000,0.00881543,0.05839626,0.50619187,0.74413746,1.26160393
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-20 00:00:00.000000,0.02911795,0.08177623,0.22235391,4,11,31,0,2,8,0.00687384,0.01583316,0.06089407,0.49859339,0.74470575,1.20924556
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-21 00:00:00.000000,0.05072844,0.10790362,0.37290449,7,15,52,0,1,8,0.00000000,0.00901834,0.06316364,0.47204375,0.74327102,1.18066164
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-22 00:00:00.000000,0.02829437,0.08432950,0.24651122,4,11,34,1,2,9,0.00713657,0.01567870,0.06502460,0.46845417,0.75145308,1.19815189
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-23 00:00:00.000000,0.05155267,0.11100564,0.38833345,7,15,54,0,1,9,0.00000000,0.00892693,0.06623934,0.45659417,0.76010158,1.24219067
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-24 00:00:00.000000,0.02700704,0.08456981,0.27189778,3,11,38,1,2,9,0.00730263,0.01591372,0.06638507,0.43618418,0.76062564,1.27177843
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-25 00:00:00.000000,0.04995004,0.11308542,0.39103750,7,15,55,0,1,9,0.00000000,0.00889242,0.06555028,0.40864935,0.75926795,1.28760972
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-26 00:00:00.000000,0.02693870,0.08368665,0.28557004,3,11,40,1,2,9,0.00768467,0.01595652,0.06387170,0.40809838,0.75050079,1.29641197
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-27 00:00:00.000000,0.04732638,0.11380183,0.38556888,6,16,54,0,1,9,0.00000000,0.00929965,0.06428440,0.40955305,0.73460831,1.26434385
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-28 00:00:00.000000,0.02726516,0.08284636,0.29358870,3,11,41,1,2,9,0.00800512,0.01621517,0.06649570,0.41014021,0.73868849,1.22796458
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-29 00:00:00.000000,0.04624605,0.11540410,0.42704707,6,16,60,0,1,9,0.00000000,0.01006482,0.06836476,0.41035537,0.73712258,1.21038029
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-30 00:00:00.000000,0.02753655,0.08456939,0.29794558,3,11,42,1,2,10,0.00790953,0.01620506,0.07220815,0.40461453,0.75457630,1.21031211
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-03-31 00:00:00.000000,0.04469789,0.11890330,0.44671982,6,16,63,0,1,10,0.00000000,0.01063503,0.07438704,0.40271008,0.74963218,1.20984793
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-04-01 00:00:00.000000,0.02800905,0.08769368,0.29796534,3,12,42,1,2,10,0.00785623,0.01696444,0.07727113,0.40215790,0.73170224,1.21129461
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-04-02 00:00:00.000000,0.04526827,0.12217927,0.44491804,6,17,62,0,1,11,0.00000000,0.01097858,0.08068750,0.40210674,0.72169476,1.21843875
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-07-31 01:11:33.079041,2020-04-03 00:00:00.000000,0.02814371,0.08777418,0.29382164,3,12,41,1,2,11,0.00781066,0.01768647,0.08421048,0.40442290,0.70694659,1.28193925
