FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-09 00:00:00.000000,0.01526042,0.12417823,0.38109191,0,4,14,0,0,2,0.00249967,0.01327548,0.07718042,0.49276614,0.60742644,0.90268844
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-10 00:00:00.000000,0.01031991,0.09249653,0.24795477,0,3,9,0,0,2,0.00163575,0.00989445,0.07023036,0.49276609,0.60726041,0.90266771
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-11 00:00:00.000000,0.00953752,0.08814858,0.25142330,0,3,9,0,0,2,0.00124894,0.00891342,0.06639617,0.49276602,0.60695350,0.90260824
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-12 00:00:00.000000,0.00903970,0.09085608,0.26116084,0,3,10,0,0,2,0.00112642,0.00832659,0.06121838,0.49276591,0.60638974,0.90243779
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-13 00:00:00.000000,0.00852702,0.09542776,0.27154930,0,3,10,0,0,2,0.00106144,0.00880335,0.05852943,0.49276572,0.60536606,0.90195004
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-14 00:00:00.000000,0.00773942,0.09816204,0.28235852,0,3,10,0,0,2,0.00099241,0.00945273,0.05813353,0.49276529,0.60354581,0.90056079
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-15 00:00:00.000000,0.00703791,0.09936120,0.29359465,0,3,11,0,0,2,0.00092031,0.01000040,0.06124337,0.49276350,0.59979674,0.89665584
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-16 00:00:00.000000,0.00655715,0.10098593,0.30527254,0,3,11,0,0,2,0.00086502,0.01068914,0.06512614,0.49275180,0.59540496,0.90441515
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-17 00:00:00.000000,0.00610940,0.10460570,0.32049691,0,4,12,0,0,2,0.00082206,0.01139686,0.06929586,0.49266384,0.59153733,0.91769263
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-18 00:00:00.000000,0.00569161,0.10720002,0.34402727,0,4,13,0,0,2,0.00072366,0.01211780,0.07376732,0.47851372,0.58954313,0.95073006
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-19 00:00:00.000000,0.00529914,0.11010594,0.36824982,0,4,14,0,0,3,0.00061917,0.01284737,0.07855589,0.47358194,0.58599938,0.95628857
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-20 00:00:00.000000,0.00492247,0.11301696,0.39369745,0,4,15,0,0,3,0.00052724,0.01362023,0.08366704,0.45583050,0.55989800,0.95594811
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-21 00:00:00.000000,0.00454784,0.11605682,0.42072769,0,4,16,0,0,3,0.00044612,0.01440261,0.08901926,0.42603805,0.55275740,0.95861974
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-22 00:00:00.000000,0.00417551,0.11833514,0.44950553,0,4,17,0,0,3,0.00037574,0.01499176,0.09445901,0.41392152,0.54341939,0.95181221
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-23 00:00:00.000000,0.00381725,0.12033967,0.48030273,0,4,18,0,0,3,0.00031584,0.01551416,0.10011774,0.41193835,0.53985221,0.94336000
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-24 00:00:00.000000,0.00348157,0.12357320,0.51338080,0,4,19,0,0,4,0.00027782,0.01626412,0.10608231,0.41151487,0.53757270,0.93352697
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-25 00:00:00.000000,0.00317284,0.12656963,0.54881321,0,4,21,0,0,4,0.00027258,0.01681172,0.11238254,0.41129550,0.53660149,0.93018227
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-26 00:00:00.000000,0.00289082,0.13012163,0.58655233,0,5,22,0,0,4,0.00026828,0.01724160,0.11903914,0.41113900,0.53561263,0.94310142
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-27 00:00:00.000000,0.00263354,0.13377527,0.62651641,0,5,24,0,0,4,0.00025810,0.01769639,0.12606843,0.41036598,0.53455381,0.93602866
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-28 00:00:00.000000,0.00239864,0.13751830,0.66887526,0,5,25,0,0,5,0.00022037,0.01816977,0.13346421,0.38801298,0.53092443,0.92739280
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-29 00:00:00.000000,0.00218321,0.14137032,0.71404989,0,5,27,0,0,5,0.00019838,0.01889926,0.14119945,0.35533645,0.52515500,0.87232058
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-30 00:00:00.000000,0.00179304,0.14532199,0.75613732,0,5,29,0,0,5,0.00019381,0.01969437,0.14931365,0.33329380,0.51263462,0.85539511
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-03-31 00:00:00.000000,0.00142775,0.14854941,0.78048273,0,5,30,0,0,6,0.00018951,0.02030442,0.15784163,0.32059042,0.50087644,0.83977211
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-04-01 00:00:00.000000,0.00112864,0.15068776,0.80608785,0,5,31,0,0,6,0.00018543,0.02092666,0.16678522,0.31612597,0.49013762,0.83555463
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-04-02 00:00:00.000000,0.00088817,0.15352977,0.83237234,0,5,32,0,0,6,0.00018153,0.02155780,0.17611605,0.31117670,0.47696568,0.83399479
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-04-03 00:00:00.000000,0.00069665,0.16073950,0.86141882,0,6,33,0,0,7,0.00014572,0.02215048,0.18577501,0.30253529,0.46903200,0.83806950
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-04-04 00:00:00.000000,0.00054490,0.16761997,0.90905814,0,6,35,0,0,7,0.00011408,0.02258857,0.19569955,0.29626836,0.46241444,0.83945610
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-04-05 00:00:00.000000,0.00042519,0.17263107,0.95882959,0,6,37,0,0,7,0.00008907,0.02281827,0.20587408,0.29221193,0.46585187,0.84453751
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-04-06 00:00:00.000000,0.00033115,0.17730421,1.01052500,0,6,38,0,0,8,0.00006940,0.02326514,0.21633861,0.28640072,0.47725127,0.85522190
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-04-07 00:00:00.000000,0.00025757,0.18000689,1.06341432,0,6,41,0,0,8,0.00005399,0.02388222,0.22714795,0.28216772,0.48449063,0.84873602
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-04-08 00:00:00.000000,0.00020017,0.18328465,1.11659249,0,7,43,0,0,9,0.00004196,0.02464569,0.23833188,0.27863267,0.48031184,0.83518355
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-04-09 00:00:00.000000,0.00015550,0.18934324,1.17013655,0,7,45,0,0,9,0.00003260,0.02555260,0.24986026,0.27681087,0.47607166,0.81348370
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-04-10 00:00:00.000000,0.00012759,0.19521756,1.22333533,0,7,47,0,1,10,0.00002709,0.02641078,0.26163212,0.27207683,0.47345144,0.80373247
40045,0,USOklahomaEllis,Oklahoma,Ellis,2020-08-09 00:46:08.545451,2020-04-11 00:00:00.000000,0.00010946,0.20112469,1.27574337,0,7,49,0,1,10,0.00002326,0.02731314,0.27359842,0.25910298,0.46188921,0.78262545
