FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-09 00:00:00.000000,0.01764272,0.16244737,0.50120710,0,7,21,0,0,4,0.00171639,0.02270673,0.10332886,0.50540225,0.70041424,1.04347025
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-10 00:00:00.000000,0.01218205,0.09935636,0.39266732,0,4,17,0,0,4,0.00176840,0.01826933,0.09969994,0.50541363,0.70041737,1.04347021
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-11 00:00:00.000000,0.01116472,0.09329009,0.31985053,0,4,13,0,0,3,0.00154594,0.01506566,0.08443087,0.50543746,0.70042523,1.04347014
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-12 00:00:00.000000,0.01074015,0.08529646,0.29065967,0,3,12,0,0,3,0.00137856,0.01403217,0.07715139,0.50548730,0.70044485,1.04347001
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-13 00:00:00.000000,0.01034939,0.07620236,0.27030455,0,3,11,0,0,3,0.00123596,0.01294554,0.07130773,0.50559144,0.70044516,1.04346975
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-14 00:00:00.000000,0.00932798,0.06912839,0.25133851,0,2,10,0,0,2,0.00110965,0.01223567,0.06361793,0.50580844,0.70044579,1.04346921
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-15 00:00:00.000000,0.00753161,0.06420106,0.23427563,0,2,10,0,0,2,0.00099623,0.01167638,0.05982295,0.50625812,0.70045746,1.04346807
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-16 00:00:00.000000,0.02481008,0.08338274,0.27192751,1,3,11,0,0,2,0.00089389,0.01082474,0.05602097,0.50717942,0.70054744,1.04346549
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-17 00:00:00.000000,0.04291292,0.10665740,0.30619717,1,4,13,0,0,2,0.00352327,0.01419744,0.06530843,0.50902345,0.70115021,1.04345902
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-18 00:00:00.000000,0.05597143,0.13216417,0.30556403,2,5,13,0,0,2,0.00546063,0.01788117,0.06692758,0.50213366,0.70027334,1.04344061
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-19 00:00:00.000000,0.06235330,0.15109411,0.35047248,2,6,15,0,0,3,0.00729919,0.02116100,0.07185858,0.49846626,0.66799425,1.04338123
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-20 00:00:00.000000,0.06859329,0.17007650,0.39480240,2,7,17,0,1,3,0.00895723,0.02407727,0.07672089,0.49702267,0.66243069,1.04317030
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-21 00:00:00.000000,0.07450170,0.18377089,0.43857485,3,7,19,0,1,3,0.00947885,0.02673772,0.07968176,0.48727854,0.66093691,1.04237994
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-22 00:00:00.000000,0.07879721,0.19877385,0.46491502,3,8,20,0,1,3,0.00990081,0.02911856,0.08401939,0.47781557,0.65976772,1.03943877
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-23 00:00:00.000000,0.09821884,0.21218656,0.46020553,4,9,19,0,1,3,0.01062175,0.03077231,0.08845243,0.47726808,0.64874220,1.02955137
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-24 00:00:00.000000,0.10438032,0.22920926,0.45402742,4,9,19,0,1,3,0.01312771,0.03332442,0.08744306,0.46090686,0.64506171,1.00941118
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-25 00:00:00.000000,0.10662633,0.25548029,0.44699829,4,11,19,0,1,3,0.01438857,0.03627990,0.09160672,0.44640987,0.64430950,0.98937336
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-26 00:00:00.000000,0.10803792,0.26635187,0.46310197,4,11,20,0,1,4,0.01534653,0.04018408,0.09377468,0.43826804,0.64349202,0.97948896
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-27 00:00:00.000000,0.10886132,0.27942171,0.49097241,4,12,21,0,1,3,0.01614200,0.04299351,0.09081202,0.43147515,0.63675111,0.97896719
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-28 00:00:00.000000,0.10931133,0.29362983,0.52835405,4,12,22,0,1,4,0.01685258,0.04417118,0.09274455,0.42960504,0.62058654,0.97867377
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-29 00:00:00.000000,0.10732188,0.30212658,0.56377943,4,13,24,0,1,4,0.01749874,0.04611073,0.09857395,0.42919433,0.60005781,0.99834461
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-30 00:00:00.000000,0.10755198,0.30576767,0.54585319,4,13,23,0,2,4,0.01807100,0.04881261,0.10281128,0.42247728,0.59756889,1.00435617
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-03-31 00:00:00.000000,0.10804295,0.31689377,0.52636672,4,13,22,0,2,4,0.01751852,0.04929830,0.10548108,0.40836813,0.58950381,1.00391768
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-01 00:00:00.000000,0.10641740,0.31818737,0.59490043,4,13,25,0,2,4,0.01792585,0.05005104,0.11081663,0.40090043,0.58581755,1.03922719
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-02 00:00:00.000000,0.10423475,0.32567379,0.64444637,4,14,27,0,2,4,0.01901389,0.05107023,0.11503159,0.39608246,0.57718278,1.07570021
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-03 00:00:00.000000,0.10226765,0.32478155,0.67500783,4,14,29,0,2,5,0.02007302,0.05278301,0.12044009,0.39327658,0.56420757,1.09403662
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-04 00:00:00.000000,0.10063086,0.32857042,0.71491393,4,14,30,0,2,5,0.01982601,0.05339176,0.13251914,0.37407995,0.56568919,1.09891907
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-05 00:00:00.000000,0.09929136,0.34390829,0.75077676,4,14,32,0,2,6,0.01962294,0.05386332,0.14383818,0.36933626,0.55924180,1.13119985
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-06 00:00:00.000000,0.08692765,0.31912229,0.70345925,3,13,30,0,2,6,0.01957367,0.05439457,0.15432782,0.36920914,0.55697405,1.14264414
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-07 00:00:00.000000,0.07752684,0.29965658,0.66809983,3,12,28,0,2,5,0.01719296,0.04900492,0.13415928,0.36871754,0.55689916,1.14301603
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-08 00:00:00.000000,0.06748273,0.27114120,0.65571539,2,11,28,0,1,5,0.01556321,0.04440577,0.12782963,0.36815729,0.55986826,1.14301195
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-09 00:00:00.000000,0.05595304,0.25053716,0.64358347,2,10,27,0,1,5,0.01294069,0.03978917,0.12186634,0.36879438,0.54974812,1.10172229
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-10 00:00:00.000000,0.04595671,0.22421365,0.63168928,1,9,27,0,1,5,0.01074419,0.03548073,0.11615782,0.36845255,0.55594004,1.10278219
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-11 00:00:00.000000,0.03842222,0.20204261,0.62001464,1,8,26,0,1,4,0.00892370,0.03305075,0.11069028,0.33592361,0.56930692,1.12529968
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-12 00:00:00.000000,0.03030265,0.18541737,0.60855765,1,8,26,0,1,4,0.00743026,0.03012541,0.10436990,0.33060420,0.57317165,1.13696198
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-13 00:00:00.000000,0.02478004,0.17167308,0.59704160,1,7,25,0,1,4,0.00634971,0.02753567,0.09748617,0.32938261,0.57334387,1.14093179
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-14 00:00:00.000000,0.02139700,0.15928553,0.56962352,0,6,24,0,1,3,0.00530522,0.02500281,0.09114179,0.32941202,0.58209800,1.14295338
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-15 00:00:00.000000,0.01886904,0.14776368,0.54387294,0,6,23,0,0,3,0.00463068,0.02244092,0.08523234,0.32407300,0.58782641,1.14372760
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-16 00:00:00.000000,0.01691925,0.13579919,0.51918542,0,5,22,0,0,3,0.00412076,0.02018789,0.07969030,0.30704053,0.58932954,1.14366213
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-17 00:00:00.000000,0.01516851,0.12310539,0.49483602,0,5,21,0,0,3,0.00347977,0.01841594,0.07448354,0.30747422,0.60109549,1.14310734
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-18 00:00:00.000000,0.01216778,0.11353854,0.46989626,0,4,20,0,0,3,0.00279912,0.01677785,0.06959864,0.29230673,0.58904022,1.14193087
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-19 00:00:00.000000,0.00969936,0.10283073,0.44364478,0,4,19,0,0,2,0.00223524,0.01550225,0.06502497,0.28373363,0.59290305,1.15573193
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-20 00:00:00.000000,0.00769404,0.09176380,0.41634841,0,3,18,0,0,2,0.00177188,0.01421117,0.06074880,0.27776234,0.57113745,1.18210002
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-21 00:00:00.000000,0.00608684,0.08387161,0.38905553,0,3,16,0,0,2,0.00140100,0.01331199,0.05675563,0.27206460,0.58067832,1.26028199
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-22 00:00:00.000000,0.00492279,0.07510025,0.36263803,0,3,15,0,0,2,0.00110729,0.01227305,0.05303105,0.26558966,0.57907626,1.32875796
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-23 00:00:00.000000,0.00431605,0.06727582,0.33992691,0,2,14,0,0,2,0.00093784,0.01141403,0.04955908,0.25822433,0.58718901,1.34949619
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-24 00:00:00.000000,0.00377794,0.06029056,0.33225029,0,2,14,0,0,2,0.00082179,0.01077559,0.04632256,0.25112408,0.59067172,1.37193306
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-25 00:00:00.000000,0.00330134,0.05433874,0.32465520,0,2,14,0,0,1,0.00071863,0.00971921,0.04443798,0.25913739,0.59630987,1.39257459
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-26 00:00:00.000000,0.00288136,0.05008525,0.31714428,0,2,13,0,0,1,0.00062733,0.00898152,0.04343981,0.25083784,0.59133508,1.40792049
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-27 00:00:00.000000,0.00232524,0.04631070,0.30973359,0,2,13,0,0,1,0.00054716,0.00814893,0.04245258,0.23213187,0.57049014,1.36958650
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-28 00:00:00.000000,0.00183544,0.04294788,0.30246075,0,1,13,0,0,1,0.00044079,0.00755763,0.04114007,0.22897644,0.57220620,1.36988951
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-29 00:00:00.000000,0.00145009,0.03992030,0.29538743,0,1,12,0,0,1,0.00034815,0.00704957,0.03843213,0.22791687,0.58486388,1.37002282
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-04-30 00:00:00.000000,0.00114738,0.03719261,0.28859580,0,1,12,0,0,1,0.00027527,0.00658114,0.03595150,0.21252050,0.57602382,1.36992398
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-05-01 00:00:00.000000,0.00090968,0.03451397,0.28218252,0,1,12,0,0,1,0.00021801,0.00609605,0.03374505,0.20382515,0.57117488,1.36809363
40053,0,USOklahomaGrant,Oklahoma,Grant,2020-09-22 10:33:25.828747,2020-05-02 00:00:00.000000,0.00072286,0.03181662,0.27617319,0,1,11,0,0,1,0.00017304,0.00533369,0.03190594,0.20331350,0.57675614,1.35638945
