FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40061,0,USOklahomaHaskell,Oklahoma,Haskell,2020-09-15 22:23:08.046003,2020-03-09 00:00:00.000000,0.00622286,0.03747431,0.11124452,0,4,14,0,2,9,0.00200580,0.01728135,0.07195042,0.36377108,0.56764149,0.85608971
40061,0,USOklahomaHaskell,Oklahoma,Haskell,2020-09-15 22:23:08.046003,2020-03-10 00:00:00.000000,0.00553578,0.03244375,0.10966135,0,4,13,0,2,9,0.00334808,0.02026213,0.07173086,0.36377108,0.56763179,0.85608352
40061,0,USOklahomaHaskell,Oklahoma,Haskell,2020-09-15 22:23:08.046003,2020-03-11 00:00:00.000000,0.00594545,0.03263657,0.11228921,0,4,14,0,2,9,0.00322957,0.02036238,0.07530633,0.36377108,0.56761292,0.85607067
40061,0,USOklahomaHaskell,Oklahoma,Haskell,2020-09-15 22:23:08.046003,2020-03-12 00:00:00.000000,0.00600886,0.03360365,0.11874544,0,4,14,0,2,9,0.00346481,0.02111974,0.07808988,0.36377108,0.56757625,0.85604434
40061,0,USOklahomaHaskell,Oklahoma,Haskell,2020-09-15 22:23:08.046003,2020-03-13 00:00:00.000000,0.00628297,0.03561711,0.12721542,0,4,16,0,2,10,0.00353366,0.02231280,0.08112328,0.36377108,0.56750504,0.85599102
40061,0,USOklahomaHaskell,Oklahoma,Haskell,2020-09-15 22:23:08.046003,2020-03-14 00:00:00.000000,0.00648144,0.03674970,0.13120124,0,4,16,0,2,10,0.00368720,0.02294060,0.08271083,0.36377107,0.56736723,0.85588440
40061,0,USOklahomaHaskell,Oklahoma,Haskell,2020-09-15 22:23:08.046003,2020-03-15 00:00:00.000000,0.00637863,0.03713191,0.13060318,0,4,16,0,2,11,0.00381206,0.02307284,0.08768088,0.36377103,0.56328554,0.85567511
40061,0,USOklahomaHaskell,Oklahoma,Haskell,2020-09-15 22:23:08.046003,2020-03-16 00:00:00.000000,0.00609578,0.03734978,0.13587246,0,4,17,0,2,11,0.00370044,0.02356442,0.09122341,0.36377087,0.56290956,0.85527547
40061,0,USOklahomaHaskell,Oklahoma,Haskell,2020-09-15 22:23:08.046003,2020-03-17 00:00:00.000000,0.00582597,0.03757982,0.14132263,0,4,17,0,3,11,0.00353678,0.02400106,0.09489858,0.36377019,0.56227723,0.84480898
40061,0,USOklahomaHaskell,Oklahoma,Haskell,2020-09-15 22:23:08.046003,2020-03-18 00:00:00.000000,0.00556822,0.03850091,0.14678933,0,4,18,0,3,12,0.00338048,0.02400822,0.09869460,0.36376729,0.56008433,0.80617055
40061,0,USOklahomaHaskell,Oklahoma,Haskell,2020-09-15 22:23:08.046003,2020-03-19 00:00:00.000000,0.00521826,0.04015405,0.15217812,0,5,19,0,3,12,0.00323117,0.02501615,0.10248969,0.35533734,0.53974326,0.78404741
40061,0,USOklahomaHaskell,Oklahoma,Haskell,2020-09-15 22:23:08.046003,2020-03-20 00:00:00.000000,0.00486723,0.04190374,0.14727155,0,5,18,0,3,12,0.00308837,0.02544723,0.09990768,0.35131673,0.52471992,0.78076738
40061,0,USOklahomaHaskell,Oklahoma,Haskell,2020-09-15 22:23:08.046003,2020-03-21 00:00:00.000000,0.00453873,0.04207713,0.13614803,0,5,17,0,3,12,0.00292697,0.02589084,0.09713723,0.34990858,0.50766792,0.78265605
