FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-09 00:00:00.000000,0.00852925,0.03942009,0.10427376,1,6,16,0,2,8,0.00307018,0.01567341,0.05324520,0.42991218,0.58013083,0.80254279
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-10 00:00:00.000000,0.00782244,0.03303767,0.10804437,1,5,17,0,3,8,0.00351280,0.01985368,0.05551974,0.42991216,0.58000545,0.80254100
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-11 00:00:00.000000,0.00785192,0.03334010,0.10953659,1,5,17,0,3,8,0.00376255,0.01987008,0.05634272,0.42991210,0.57868427,0.80253790
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-12 00:00:00.000000,0.00790090,0.03346833,0.10761155,1,5,16,0,3,8,0.00419449,0.02066437,0.05643398,0.42991192,0.57831130,0.80253252
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-13 00:00:00.000000,0.00796205,0.03353870,0.10424701,1,5,16,0,3,8,0.00428237,0.02053857,0.05625870,0.42991134,0.57787192,0.80252321
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-14 00:00:00.000000,0.00803762,0.03298480,0.10094685,1,5,15,0,3,8,0.00431541,0.02058264,0.05598547,0.42990953,0.57706420,0.80250706
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-15 00:00:00.000000,0.00809968,0.03388817,0.09772014,1,5,15,0,3,8,0.00434763,0.02062675,0.05626738,0.42990385,0.57363033,0.80247886
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-16 00:00:00.000000,0.01434656,0.04437237,0.10982162,2,6,17,0,3,9,0.00437797,0.02031484,0.05753872,0.42988566,0.56706015,0.80242838
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-17 00:00:00.000000,0.02096382,0.05177993,0.12453904,3,8,19,1,4,10,0.00929852,0.02703515,0.06492184,0.42982464,0.55810140,0.80232682
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-18 00:00:00.000000,0.02760323,0.06251756,0.14915825,4,9,23,1,4,10,0.01094246,0.03165733,0.06822000,0.41763653,0.54959415,0.80201966
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-19 00:00:00.000000,0.03527263,0.07356015,0.17248903,5,11,27,2,6,11,0.01363290,0.03854552,0.07582633,0.40250717,0.54402254,0.80022765
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-20 00:00:00.000000,0.04203501,0.08506958,0.19508613,6,13,30,2,7,14,0.01717145,0.04488647,0.09224490,0.37623952,0.53662390,0.78551491
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-21 00:00:00.000000,0.04579268,0.09506768,0.21429586,7,14,33,3,7,17,0.01954429,0.04903282,0.10801390,0.34575102,0.51140646,0.69460292
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-22 00:00:00.000000,0.04908769,0.10281130,0.22932992,7,16,36,3,8,18,0.02131355,0.05422724,0.11900459,0.32442020,0.49315135,0.68085506
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-23 00:00:00.000000,0.05248533,0.11693625,0.23191666,8,18,36,3,9,20,0.02300510,0.05950646,0.12810122,0.31761619,0.48055768,0.67326357
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-24 00:00:00.000000,0.05567172,0.12508654,0.23269112,8,19,36,4,10,20,0.02783288,0.06695826,0.12805855,0.31001222,0.46639573,0.66989673
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-25 00:00:00.000000,0.05755979,0.13402012,0.23101988,9,21,36,5,11,22,0.03194069,0.07316768,0.14041901,0.30853123,0.44854281,0.66451285
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-26 00:00:00.000000,0.06093940,0.13772415,0.26771067,9,21,42,5,11,24,0.03398319,0.07489599,0.15289206,0.30749771,0.44560253,0.65176017
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-27 00:00:00.000000,0.06477998,0.14008392,0.31442914,10,22,49,5,12,24,0.03402853,0.07739808,0.15463407,0.29565180,0.43202759,0.63550367
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-28 00:00:00.000000,0.06261191,0.14442459,0.34878257,9,22,54,5,12,24,0.03349760,0.08037305,0.15773471,0.27895844,0.42389781,0.63299313
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-29 00:00:00.000000,0.06033169,0.14377612,0.35275561,9,22,55,5,12,26,0.03380593,0.08227500,0.16522188,0.26722945,0.40979451,0.62653124
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-30 00:00:00.000000,0.06885757,0.14561621,0.35030090,10,22,55,5,13,27,0.03347604,0.08463161,0.17324399,0.25528343,0.40024793,0.62419946
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-03-31 00:00:00.000000,0.07320213,0.14905626,0.35070460,11,23,55,6,13,27,0.04141122,0.08870236,0.17712683,0.24154844,0.39595235,0.60680814
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-04-01 00:00:00.000000,0.07787615,0.15741617,0.36878690,12,24,58,7,14,28,0.04447556,0.09008580,0.18327006,0.23341308,0.38360657,0.59728212
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-04-02 00:00:00.000000,0.07575027,0.16353043,0.36940544,11,25,58,7,14,29,0.04463219,0.09023240,0.18612103,0.22622625,0.37607404,0.58881724
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-04-03 00:00:00.000000,0.07084762,0.16741665,0.35957015,11,26,56,6,14,30,0.04273178,0.09057323,0.19211835,0.22006956,0.36590489,0.57643862
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-04-04 00:00:00.000000,0.06688057,0.17085697,0.34940054,10,26,55,6,14,30,0.04034338,0.09137849,0.19637556,0.21650263,0.35447627,0.55910006
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-04-05 00:00:00.000000,0.06368001,0.17395842,0.35904205,10,27,56,5,14,31,0.03796594,0.09296564,0.19996888,0.21371504,0.35246095,0.55769942
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-04-06 00:00:00.000000,0.06437517,0.17566742,0.35477000,10,27,55,5,14,31,0.03698703,0.09448705,0.20074073,0.21301632,0.35158452,0.55779634
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-04-07 00:00:00.000000,0.06364871,0.17506256,0.34835352,10,27,54,6,15,31,0.03856777,0.09826505,0.20011747,0.21275020,0.34348131,0.55770180
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-04-08 00:00:00.000000,0.06456386,0.17837268,0.33497556,10,28,52,6,15,31,0.03912508,0.09916029,0.19843034,0.21251729,0.33448665,0.54752119
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-04-09 00:00:00.000000,0.06495799,0.17738987,0.32447091,10,27,51,6,15,30,0.03941171,0.10043516,0.19594025,0.20685747,0.33025124,0.53617951
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-04-10 00:00:00.000000,0.06491642,0.17269181,0.31811078,10,27,50,6,15,30,0.03954792,0.10072905,0.19279611,0.19659570,0.32238265,0.52496785
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-04-11 00:00:00.000000,0.05915393,0.17048718,0.31182425,9,26,49,5,16,29,0.03628439,0.10151906,0.18909405,0.18156877,0.31616689,0.50249802
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-04-12 00:00:00.000000,0.05442134,0.16916092,0.30426392,8,26,47,5,15,29,0.03326488,0.10124530,0.18482311,0.17516549,0.30664997,0.48178568
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-04-13 00:00:00.000000,0.06592270,0.16958527,0.29572547,10,26,46,4,15,28,0.03075983,0.09974813,0.18087971,0.18460552,0.30403655,0.47070995
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-04-14 00:00:00.000000,0.06521534,0.16230794,0.29107545,10,25,45,6,15,27,0.03891799,0.09631494,0.17522011,0.17274186,0.29649726,0.46716404
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-04-15 00:00:00.000000,0.06757431,0.16180313,0.28810885,10,25,45,5,14,27,0.03687966,0.09484978,0.17481491,0.17418837,0.28956928,0.46143117
40073,0,USOklahomaKingfisher,Oklahoma,Kingfisher,2020-09-29 03:08:08.802213,2020-04-16 00:00:00.000000,0.07343471,0.15904860,0.29586677,11,25,46,6,14,27,0.03899390,0.09074756,0.17267587,0.17993152,0.28875242,0.45215681
