FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-09 00:00:00.000000,0.00495195,0.06115095,0.19700473,0,6,19,0,2,9,0.00232771,0.02638023,0.09028750,0.42890401,0.59197803,0.76469025
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-10 00:00:00.000000,0.00473508,0.05391014,0.17088707,0,5,17,0,2,8,0.00219834,0.02655048,0.08706656,0.42890356,0.59187100,0.76468701
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-11 00:00:00.000000,0.00448490,0.05093775,0.16733239,0,5,16,0,2,8,0.00208560,0.02561784,0.08140072,0.42890232,0.59185957,0.76467968
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-12 00:00:00.000000,0.00425091,0.04828159,0.15864508,0,4,15,0,2,8,0.00197651,0.02478451,0.08340836,0.42889890,0.59183010,0.76466293
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-13 00:00:00.000000,0.00402590,0.04600219,0.15215641,0,4,15,0,2,8,0.00187239,0.02344886,0.08431950,0.42888933,0.59175405,0.76462439
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-14 00:00:00.000000,0.00380926,0.04383346,0.14544178,0,4,14,0,2,8,0.00177251,0.02299503,0.08481563,0.42886235,0.59155829,0.76453515
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-15 00:00:00.000000,0.00359865,0.04301519,0.13916630,0,4,14,0,2,8,0.00167608,0.02204254,0.08503794,0.42863978,0.59105909,0.76432770
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-16 00:00:00.000000,0.01381110,0.05311789,0.14966131,1,5,15,0,2,8,0.00158182,0.02141099,0.08140039,0.42321986,0.58654796,0.76412192
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-17 00:00:00.000000,0.02157877,0.06640765,0.16058443,2,6,16,0,3,9,0.00847665,0.03091805,0.09009581,0.41219927,0.57798464,0.76402650
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-18 00:00:00.000000,0.02878389,0.07867329,0.18298081,2,7,18,1,3,9,0.01243317,0.03803023,0.09741901,0.39867930,0.56861651,0.76142279
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-19 00:00:00.000000,0.03354273,0.09197350,0.20358940,3,9,20,1,4,11,0.01582980,0.04509983,0.10950370,0.39093018,0.55944259,0.74517639
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-20 00:00:00.000000,0.03732868,0.10242532,0.23267918,3,10,23,1,5,12,0.01774763,0.05017416,0.12001710,0.37817649,0.54017110,0.73174557
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-21 00:00:00.000000,0.04015738,0.11178104,0.25198704,4,11,25,1,5,13,0.01915988,0.05569155,0.13311014,0.37052452,0.52865623,0.71919581
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-22 00:00:00.000000,0.04253875,0.11891040,0.28219914,4,11,28,2,5,14,0.02017140,0.05949335,0.13898591,0.34690192,0.51402388,0.71456097
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-23 00:00:00.000000,0.06659810,0.13253151,0.28428070,6,13,28,2,6,15,0.02089928,0.06420251,0.14937403,0.34306289,0.50425928,0.71466282
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-24 00:00:00.000000,0.07344192,0.14298948,0.29032904,7,14,29,3,7,15,0.03090284,0.07020928,0.15551020,0.33869106,0.50026463,0.70641442
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-25 00:00:00.000000,0.07913904,0.15115983,0.29422783,7,15,29,3,7,17,0.03312508,0.07609965,0.16893181,0.33833520,0.49299689,0.68865221
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-26 00:00:00.000000,0.08354106,0.16342657,0.31039037,8,16,31,3,8,18,0.03502527,0.08140552,0.18027815,0.33240554,0.48576587,0.66091471
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-27 00:00:00.000000,0.08741537,0.17154445,0.32083413,8,17,32,3,8,18,0.03669439,0.08708600,0.18806811,0.32878147,0.47075606,0.61907787
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-28 00:00:00.000000,0.09063337,0.17673571,0.34343284,9,17,34,3,9,19,0.03796351,0.09260365,0.19236887,0.29021605,0.45760584,0.60330365
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-29 00:00:00.000000,0.08740415,0.17905782,0.37724891,8,18,38,3,9,20,0.03865268,0.09651810,0.20809877,0.25210887,0.44848180,0.58753778
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-30 00:00:00.000000,0.07474495,0.16746503,0.36386573,7,16,36,3,9,22,0.03899007,0.09727719,0.22593475,0.23998559,0.43924036,0.58707538
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-03-31 00:00:00.000000,0.06253243,0.15357810,0.34922491,6,15,35,2,8,20,0.02775822,0.08576847,0.20205035,0.23126381,0.43218062,0.56794121
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-04-01 00:00:00.000000,0.04718511,0.14015321,0.32717320,4,14,32,2,7,19,0.02128509,0.07674080,0.18971487,0.23037128,0.42518968,0.56520138
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-04-02 00:00:00.000000,0.03571512,0.12169370,0.30701574,3,12,30,1,6,18,0.01700949,0.06730366,0.17977144,0.22866842,0.41430477,0.56385053
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-04-03 00:00:00.000000,0.02444960,0.10785766,0.28279907,2,10,28,1,6,16,0.01288041,0.06099625,0.16635602,0.22442017,0.40312984,0.56272654
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-04-04 00:00:00.000000,0.02068378,0.09524655,0.25459451,2,9,25,1,5,15,0.01006951,0.05303169,0.15095459,0.21770298,0.39308126,0.56113358
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-04-05 00:00:00.000000,0.01707877,0.08154806,0.22480656,1,8,22,0,4,13,0.00855584,0.04582746,0.13583230,0.21256511,0.38575399,0.55833511
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-04-06 00:00:00.000000,0.01211331,0.07054779,0.20075169,1,7,20,0,3,12,0.00662779,0.03924688,0.12348619,0.21154779,0.37577284,0.55193177
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-04-07 00:00:00.000000,0.00858337,0.06239274,0.18072934,0,6,18,0,3,11,0.00469714,0.03454767,0.11117910,0.21091904,0.36947520,0.53763569
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-04-08 00:00:00.000000,0.00607988,0.05660267,0.16178741,0,5,16,0,3,9,0.00332751,0.03006165,0.09795058,0.20946080,0.36644847,0.52788156
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-04-09 00:00:00.000000,0.00430662,0.04925420,0.14438853,0,4,14,0,2,8,0.00235693,0.02651594,0.08755180,0.20947850,0.36524017,0.53669289
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-04-10 00:00:00.000000,0.00305248,0.04337413,0.13202664,0,4,13,0,2,7,0.00166978,0.02328918,0.07697501,0.20742870,0.36684364,0.56709441
40077,0,USOklahomaLatimer,Oklahoma,Latimer,2020-09-22 10:37:24.800896,2020-04-11 00:00:00.000000,0.00216591,0.03639208,0.12441917,0,3,12,0,2,7,0.00118435,0.02033206,0.07106546,0.20013462,0.36731836,0.56298167
