FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-09 00:00:00.000000,0.01193658,0.06011885,0.06972711,2,11,13,0,5,6,0.00235072,0.02812637,0.03376247,0.48308227,0.59492940,0.80622965
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-10 00:00:00.000000,0.00858702,0.05407554,0.06241618,1,10,12,0,5,6,0.00350302,0.02784996,0.03465825,0.48308227,0.59492940,0.80598442
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-11 00:00:00.000000,0.00878563,0.05246972,0.06071730,1,10,11,0,5,6,0.00334039,0.02642903,0.03377587,0.48308226,0.59492940,0.80530713
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-12 00:00:00.000000,0.00755407,0.05008890,0.05991122,1,9,11,0,4,6,0.00347527,0.02527760,0.03243057,0.48308220,0.59492941,0.80345227
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-13 00:00:00.000000,0.00649107,0.04767373,0.05710252,1,9,11,0,4,6,0.00298301,0.02426349,0.03092977,0.48308165,0.59492943,0.79848702
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-14 00:00:00.000000,0.00557558,0.04521704,0.05418404,1,8,10,0,4,5,0.00256146,0.02345352,0.02941994,0.48307676,0.59492963,0.78596962
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-15 00:00:00.000000,0.00508338,0.04278628,0.05130348,0,8,10,0,4,5,0.00219965,0.02221674,0.02795318,0.48303019,0.59493155,0.76979898
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-16 00:00:00.000000,0.00497729,0.04062867,0.05121560,0,7,10,0,4,5,0.00188955,0.02098158,0.02653801,0.48256258,0.59494965,0.76848705
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-17 00:00:00.000000,0.00486995,0.03880135,0.05287532,0,7,10,0,3,4,0.00175925,0.01979263,0.02504589,0.47525783,0.59511810,0.76644465
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-18 00:00:00.000000,0.00475533,0.03658245,0.05042858,0,7,9,0,3,4,0.00172106,0.01869761,0.02396985,0.39317307,0.59650586,0.76332024
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-19 00:00:00.000000,0.00461481,0.03445622,0.05247926,0,6,10,0,3,4,0.00168060,0.01763891,0.02281370,0.34656933,0.60135928,0.75764263
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-20 00:00:00.000000,0.00443219,0.03250717,0.05372883,0,6,10,0,3,4,0.00163178,0.01674231,0.02178572,0.34032285,0.60470181,0.74060983
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-21 00:00:00.000000,0.00422286,0.03126397,0.05355794,0,6,10,0,3,4,0.00156833,0.01578368,0.02139954,0.33890585,0.60275824,0.73912428
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-22 00:00:00.000000,0.00400467,0.02994066,0.05315325,0,5,10,0,2,4,0.00149393,0.01495417,0.02180168,0.33587982,0.60090559,0.72919408
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-23 00:00:00.000000,0.00875880,0.03218464,0.06984960,1,6,13,0,2,4,0.00141575,0.01418141,0.02194884,0.32784309,0.59948534,0.71620136
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-24 00:00:00.000000,0.01090429,0.03452190,0.07873036,2,6,15,0,3,5,0.00339134,0.01687630,0.02909795,0.32012960,0.59918402,0.70281727
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-25 00:00:00.000000,0.01406054,0.03926240,0.09207391,2,7,18,1,3,7,0.00589456,0.01860410,0.03743755,0.31004176,0.59812419,0.70293466
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-26 00:00:00.000000,0.01682374,0.04223595,0.10281626,3,8,20,1,3,8,0.00802187,0.02031986,0.04269225,0.30075626,0.58860187,0.70284416
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-27 00:00:00.000000,0.01910404,0.04438953,0.11983808,3,8,23,1,4,9,0.00903604,0.02166188,0.05064440,0.29493738,0.54045151,0.69713714
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-28 00:00:00.000000,0.02150589,0.04655512,0.13482186,4,9,26,1,4,11,0.00991364,0.02249020,0.05910944,0.29210362,0.48681032,0.68012024
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-29 00:00:00.000000,0.02352552,0.04907603,0.14720871,4,9,28,2,4,13,0.01064425,0.02295311,0.06719883,0.29085270,0.46717575,0.65078828
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-30 00:00:00.000000,0.02737575,0.05387563,0.14804656,5,10,29,2,4,14,0.01126188,0.02360598,0.07484638,0.29017637,0.46010586,0.65323241
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-03-31 00:00:00.000000,0.03104083,0.06078594,0.15031701,6,11,29,2,5,15,0.01407052,0.02775016,0.07690216,0.28924458,0.45870742,0.63506347
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-04-01 00:00:00.000000,0.03685030,0.06816312,0.15591868,7,13,30,3,6,14,0.01624729,0.03189726,0.07608957,0.28670446,0.45675176,0.59338569
40091,0,USOklahomaMcIntosh,Oklahoma,McIntosh,2020-08-31 15:59:15.543553,2020-04-02 00:00:00.000000,0.03803865,0.07520848,0.16398586,7,14,32,3,6,15,0.01721957,0.03514341,0.07690345,0.28134779,0.45710518,0.58179912
