FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40107,0,USOklahomaOkfuskee,Oklahoma,Okfuskee,2020-08-08 23:54:04.844117,2020-03-09 00:00:00.000000,0.00599876,0.04377312,0.18003914,0,5,21,0,1,7,0.00106585,0.01106062,0.05867923,0.43497750,0.73268323,1.08624639
40107,0,USOklahomaOkfuskee,Oklahoma,Okfuskee,2020-08-08 23:54:04.844117,2020-03-10 00:00:00.000000,0.00587301,0.03483600,0.14807600,0,4,17,0,1,6,0.00089532,0.00968842,0.05582959,0.43497736,0.73272382,1.08623821
40107,0,USOklahomaOkfuskee,Oklahoma,Okfuskee,2020-08-08 23:54:04.844117,2020-03-11 00:00:00.000000,0.00594572,0.03595340,0.15663484,0,4,18,0,1,5,0.00089988,0.00909350,0.04846663,0.43497691,0.73283719,1.08622083
40107,0,USOklahomaOkfuskee,Oklahoma,Okfuskee,2020-08-08 23:54:04.844117,2020-03-12 00:00:00.000000,0.00611463,0.04001446,0.17194248,0,4,20,0,1,5,0.00105698,0.00835170,0.04703864,0.43497551,0.73313377,1.08618355
40107,0,USOklahomaOkfuskee,Oklahoma,Okfuskee,2020-08-08 23:54:04.844117,2020-03-13 00:00:00.000000,0.00635614,0.04097922,0.19118815,0,4,22,0,1,5,0.00129524,0.00840566,0.04581189,0.43497112,0.73385696,1.08610305
40107,0,USOklahomaOkfuskee,Oklahoma,Okfuskee,2020-08-08 23:54:04.844117,2020-03-14 00:00:00.000000,0.00665751,0.04413164,0.21518590,0,5,25,0,1,5,0.00153629,0.00878658,0.04481824,0.43495736,0.73552535,1.08592854
40107,0,USOklahomaOkfuskee,Oklahoma,Okfuskee,2020-08-08 23:54:04.844117,2020-03-15 00:00:00.000000,0.00738201,0.04571299,0.23969257,0,5,28,0,1,5,0.00174504,0.00880067,0.04404729,0.43491415,0.73592739,1.08554979
40107,0,USOklahomaOkfuskee,Oklahoma,Okfuskee,2020-08-08 23:54:04.844117,2020-03-16 00:00:00.000000,0.00868901,0.04970379,0.26483528,1,5,31,0,1,5,0.00192357,0.00891218,0.04348106,0.43477851,0.73659762,1.08472976
40107,0,USOklahomaOkfuskee,Oklahoma,Okfuskee,2020-08-08 23:54:04.844117,2020-03-17 00:00:00.000000,0.01013444,0.05496373,0.29072540,1,6,34,0,1,5,0.00211631,0.00925178,0.04310354,0.43444370,0.72785075,1.08296915
40107,0,USOklahomaOkfuskee,Oklahoma,Okfuskee,2020-08-08 23:54:04.844117,2020-03-18 00:00:00.000000,0.01145282,0.05941548,0.31744900,1,7,38,0,1,5,0.00232489,0.00993934,0.04290047,0.43369880,0.70803602,1.07926409
40107,0,USOklahomaOkfuskee,Oklahoma,Okfuskee,2020-08-08 23:54:04.844117,2020-03-19 00:00:00.000000,0.01269556,0.06289422,0.34505053,1,7,41,0,1,5,0.00255102,0.01091749,0.04416506,0.43315762,0.69883108,1.07179046
40107,0,USOklahomaOkfuskee,Oklahoma,Okfuskee,2020-08-08 23:54:04.844117,2020-03-20 00:00:00.000000,0.01401867,0.06584541,0.37350846,1,7,44,0,1,5,0.00279652,0.01198707,0.04739357,0.43302726,0.73403507,1.06671392
40107,0,USOklahomaOkfuskee,Oklahoma,Okfuskee,2020-08-08 23:54:04.844117,2020-03-21 00:00:00.000000,0.01551325,0.06868364,0.40271305,1,8,48,0,1,6,0.00306300,0.01294937,0.05117747,0.41297640,0.70569568,1.05789803
40107,0,USOklahomaOkfuskee,Oklahoma,Okfuskee,2020-08-08 23:54:04.844117,2020-03-22 00:00:00.000000,0.01724820,0.07169978,0.43252167,2,8,51,0,1,6,0.00325913,0.01379372,0.05635972,0.38615771,0.68790434,1.02699328
40107,0,USOklahomaOkfuskee,Oklahoma,Okfuskee,2020-08-08 23:54:04.844117,2020-03-23 00:00:00.000000,0.01925173,0.07461035,0.46292065,2,8,55,0,1,7,0.00341035,0.01510163,0.06226365,0.37341872,0.67608689,0.97732038
40107,0,USOklahomaOkfuskee,Oklahoma,Okfuskee,2020-08-08 23:54:04.844117,2020-03-24 00:00:00.000000,0.02127942,0.07842631,0.49404250,2,9,59,0,1,8,0.00358663,0.01619126,0.06861137,0.37164363,0.67828071,1.00141163
40107,0,USOklahomaOkfuskee,Oklahoma,Okfuskee,2020-08-08 23:54:04.844117,2020-03-25 00:00:00.000000,0.02238828,0.08212600,0.52600627,2,9,63,0,2,9,0.00378545,0.01732047,0.07529580,0.37135729,0.67215311,0.99335971
