FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-08-21 15:26:36.170949,2020-03-09 00:00:00.000000,0.00153303,0.01372015,0.04199600,0,5,18,0,2,8,0.00069015,0.00622058,0.01927755,0.45213399,0.58814278,0.81139648
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-08-21 15:26:36.170949,2020-03-10 00:00:00.000000,0.00141273,0.01193762,0.03852033,0,5,16,0,3,9,0.00088913,0.00740986,0.02272003,0.45194284,0.58814216,0.81134198
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-08-21 15:26:36.170949,2020-03-11 00:00:00.000000,0.00159144,0.01256267,0.03720350,0,5,16,0,3,10,0.00094422,0.00755128,0.02322205,0.45167673,0.58814051,0.81106508
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-08-21 15:26:36.170949,2020-03-12 00:00:00.000000,0.00165245,0.01330140,0.03709046,0,5,16,0,3,9,0.00099470,0.00798277,0.02283836,0.45130737,0.58813618,0.80966471
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-08-21 15:26:36.170949,2020-03-13 00:00:00.000000,0.00173152,0.01411371,0.03911071,0,6,17,0,3,10,0.00103589,0.00850942,0.02325402,0.45079674,0.58812476,0.80274493
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-08-21 15:26:36.170949,2020-03-14 00:00:00.000000,0.00181050,0.01485756,0.04128515,0,6,18,0,3,10,0.00108332,0.00873962,0.02399771,0.45009476,0.58809466,0.78894439
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-08-21 15:26:36.170949,2020-03-15 00:00:00.000000,0.00189418,0.01545416,0.04342419,0,6,18,0,3,10,0.00113189,0.00891077,0.02474086,0.44913701,0.58801541,0.78837462
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-08-21 15:26:36.170949,2020-03-16 00:00:00.000000,0.00453181,0.01906982,0.05920781,1,8,25,0,3,11,0.00118275,0.00891489,0.02549688,0.44784366,0.58407540,0.78529404
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-08-21 15:26:36.170949,2020-03-17 00:00:00.000000,0.00650052,0.02275630,0.06469676,2,9,28,0,5,12,0.00219340,0.01260515,0.02934152,0.44612074,0.58254145,0.76863502
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-08-21 15:26:36.170949,2020-03-18 00:00:00.000000,0.00925682,0.02770490,0.07056450,4,12,30,1,6,16,0.00318690,0.01554078,0.03812749,0.42611858,0.57295702,0.73026573
