FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-09 00:00:00.000000,0.00165873,0.00615806,0.01708000,1,5,15,0,2,7,0.00046033,0.00243225,0.00849532,0.51644742,0.67556713,0.82298879
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-10 00:00:00.000000,0.00133348,0.00573484,0.01720645,1,5,15,0,2,8,0.00072109,0.00298181,0.00895587,0.51622484,0.67556897,0.82298859
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-11 00:00:00.000000,0.00139646,0.00598990,0.01760623,1,5,16,0,2,9,0.00072419,0.00294085,0.00994895,0.51586645,0.67557324,0.82298819
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-12 00:00:00.000000,0.00138149,0.00610559,0.01812635,1,5,16,0,2,9,0.00073639,0.00310109,0.01076457,0.51529227,0.67558317,0.82298743
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-13 00:00:00.000000,0.00138950,0.00638406,0.01954674,1,5,18,0,2,10,0.00073677,0.00311677,0.01169824,0.51437971,0.67560615,0.82298593
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-14 00:00:00.000000,0.00139244,0.00650454,0.02114925,1,6,19,0,2,11,0.00073932,0.00314269,0.01250133,0.51294801,0.67565902,0.82298283
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-15 00:00:00.000000,0.00139664,0.00663022,0.02263443,1,6,20,0,3,11,0.00074116,0.00327598,0.01252634,0.51074723,0.67577890,0.82297584
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-16 00:00:00.000000,0.00267475,0.00900336,0.02436689,2,8,22,0,3,11,0.00074313,0.00334325,0.01230100,0.50737850,0.67084826,0.82295787
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-17 00:00:00.000000,0.00345343,0.01100352,0.02810200,3,10,25,1,4,12,0.00110563,0.00480914,0.01329000,0.48439549,0.67502430,0.82290405
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-18 00:00:00.000000,0.00439548,0.01270771,0.03126849,4,11,28,1,5,13,0.00167968,0.00566407,0.01487848,0.47227981,0.67501556,0.82271977
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-19 00:00:00.000000,0.00520859,0.01512125,0.03539596,4,13,32,2,6,16,0.00218576,0.00653378,0.01752239,0.46044684,0.67476964,0.82203021
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-20 00:00:00.000000,0.00642423,0.01740172,0.03905195,5,16,36,2,7,18,0.00241077,0.00762344,0.02002402,0.46079379,0.66987311,0.81934446
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-21 00:00:00.000000,0.00769475,0.02020495,0.04505535,7,18,41,2,8,22,0.00263943,0.00878133,0.02443365,0.45388774,0.66386456,0.81923830
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-22 00:00:00.000000,0.00899536,0.02289351,0.05226535,8,21,48,2,9,25,0.00302002,0.00977758,0.02777821,0.44779266,0.64976640,0.81933518
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-23 00:00:00.000000,0.01085892,0.02626176,0.05606513,10,24,51,3,9,29,0.00342969,0.01073433,0.03235799,0.44413526,0.64235102,0.78971685
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-24 00:00:00.000000,0.01275401,0.02882988,0.05962930,11,26,55,4,11,30,0.00433114,0.01216123,0.03352161,0.43861335,0.63492943,0.78382002
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-25 00:00:00.000000,0.01474915,0.03124242,0.06256774,13,28,57,5,13,31,0.00547629,0.01413609,0.03449687,0.43764659,0.63518951,0.78606386
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-26 00:00:00.000000,0.01671189,0.03336785,0.06532729,15,30,60,6,14,33,0.00681689,0.01535367,0.03667100,0.42948904,0.63188238,0.77145310
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-27 00:00:00.000000,0.01832619,0.03617555,0.07332075,16,33,67,7,15,36,0.00767413,0.01715657,0.03900905,0.39922085,0.62481568,0.77100499
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-28 00:00:00.000000,0.01922345,0.03815730,0.08249550,17,35,76,8,16,39,0.00884322,0.01828192,0.04230832,0.38960676,0.60666701,0.79838553
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-09-09 07:49:48.970350,2020-03-29 00:00:00.000000,0.01987052,0.04091029,0.09041330,18,37,83,8,17,42,0.00951408,0.01902487,0.04543029,0.38578893,0.59331152,0.80780834
