FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-09 00:00:00.000000,0.00113702,0.00782267,0.03330761,1,8,36,0,2,9,0.00028863,0.00220620,0.00882137,0.57487471,0.68757063,1.01819119
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-10 00:00:00.000000,0.00369684,0.01296667,0.03137678,4,14,34,1,3,8,0.00091066,0.00320010,0.00728180,0.57486288,0.68757103,1.01815259
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-11 00:00:00.000000,0.00141060,0.00783937,0.03051309,1,8,33,0,2,8,0.00037021,0.00242139,0.00753817,0.57483219,0.68757188,1.01804707
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-12 00:00:00.000000,0.00407832,0.01306055,0.03014587,4,14,33,0,3,8,0.00072184,0.00300959,0.00781815,0.57475243,0.68757375,1.01775855
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-13 00:00:00.000000,0.00158620,0.00783073,0.02998063,1,8,33,0,2,8,0.00046985,0.00248844,0.00792337,0.57454509,0.68757782,1.01697059
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-14 00:00:00.000000,0.00412159,0.01342655,0.02988952,4,14,33,0,3,8,0.00066851,0.00298649,0.00779989,0.57400677,0.68758685,1.01632680
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-15 00:00:00.000000,0.00171883,0.00805277,0.02984157,1,8,33,0,2,8,0.00056777,0.00257035,0.00774116,0.57261581,0.68760719,1.01632588
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-16 00:00:00.000000,0.00438811,0.01332809,0.02980440,4,14,33,0,3,8,0.00067320,0.00313712,0.00771111,0.56908363,0.68765420,1.01632155
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-17 00:00:00.000000,0.00180485,0.00837803,0.02975311,2,9,33,0,2,8,0.00061097,0.00268653,0.00769343,0.56038499,0.68741038,1.01630113
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-18 00:00:00.000000,0.00429375,0.01298583,0.02965990,4,14,32,0,3,8,0.00066324,0.00329379,0.00767837,0.54081515,0.68707589,1.01616372
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-19 00:00:00.000000,0.00172980,0.00889038,0.02954801,1,9,32,0,3,8,0.00065761,0.00276593,0.00765787,0.50480927,0.68536166,1.00479363
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-20 00:00:00.000000,0.00416921,0.01330468,0.02942568,4,14,32,0,3,8,0.00064136,0.00352202,0.00763144,0.45581916,0.68188507,1.01507841
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-21 00:00:00.000000,0.00134548,0.00948609,0.02929908,1,10,32,0,3,8,0.00062297,0.00281820,0.00760166,0.40906885,0.65358380,1.07235201
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-22 00:00:00.000000,0.00426256,0.01331654,0.02943045,4,14,32,0,4,8,0.00060670,0.00377413,0.00757028,0.37663069,0.58045468,1.13097456
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-23 00:00:00.000000,0.00100211,0.00960321,0.02973050,1,10,32,0,3,8,0.00057661,0.00285403,0.00753820,0.36077622,0.54771731,1.19129817
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-24 00:00:00.000000,0.00434048,0.01340867,0.03018093,4,14,33,0,4,8,0.00057012,0.00388277,0.00750584,0.35398291,0.52374268,1.23543708
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-25 00:00:00.000000,0.00078473,0.00936635,0.03019839,0,10,33,0,3,8,0.00049336,0.00291094,0.00747368,0.35100726,0.45930415,1.25826349
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-26 00:00:00.000000,0.00408327,0.01361265,0.03019854,4,15,33,0,4,8,0.00052745,0.00386452,0.00746023,0.34934509,0.42095390,1.26795484
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-27 00:00:00.000000,0.00060734,0.00888356,0.02979419,0,9,33,0,3,8,0.00041441,0.00300589,0.00742225,0.34789117,0.41526019,1.27184860
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-28 00:00:00.000000,0.00401197,0.01324591,0.03024041,4,14,33,0,4,8,0.00051270,0.00374721,0.00739995,0.34621945,0.40868688,1.23638445
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-29 00:00:00.000000,0.00041522,0.00843157,0.03114291,0,9,34,0,3,8,0.00031003,0.00310862,0.00735178,0.34315017,0.40402691,1.23285173
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-30 00:00:00.000000,0.00415099,0.01281008,0.03231822,4,14,35,0,4,8,0.00048621,0.00369580,0.00737952,0.34094297,0.40131904,1.24222200
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-03-31 00:00:00.000000,0.00022796,0.00814892,0.03317288,0,9,36,0,3,8,0.00022579,0.00305920,0.00744956,0.33728545,0.40018994,1.23892071
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-04-01 00:00:00.000000,0.00396590,0.01236455,0.03502510,4,13,38,0,4,8,0.00046166,0.00364945,0.00751983,0.33451489,0.40056986,1.23596446
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-04-02 00:00:00.000000,0.00006373,0.00794379,0.03502217,0,8,38,0,3,8,0.00013379,0.00307562,0.00758496,0.33300150,0.40377558,1.22914398
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-04-03 00:00:00.000000,0.00380657,0.01201778,0.03500784,4,13,38,0,4,8,0.00043884,0.00362243,0.00763444,0.33320655,0.41253440,1.22299205
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-04-04 00:00:00.000000,0.00000000,0.00774952,0.03497844,0,8,38,0,3,8,0.00004097,0.00305125,0.00761946,0.33639505,0.39698271,1.23900133
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-04-05 00:00:00.000000,0.00365650,0.01178536,0.03503087,4,13,38,0,3,8,0.00041843,0.00355781,0.00774382,0.34392933,0.38390304,1.22151491
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-04-06 00:00:00.000000,0.00000000,0.00758029,0.03390748,0,8,37,0,3,8,0.00000000,0.00297908,0.00802223,0.34665541,0.37787897,1.22391241
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-04-07 00:00:00.000000,0.00342583,0.01174866,0.03523201,3,13,39,0,3,8,0.00040004,0.00351110,0.00780522,0.34065245,0.38474348,1.18596668
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-04-08 00:00:00.000000,0.00000000,0.00744163,0.03520462,0,8,39,0,3,8,0.00000000,0.00291202,0.00758283,0.33822253,0.39209256,1.14622041
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-04-09 00:00:00.000000,0.00317364,0.01172379,0.03827724,3,13,42,0,3,8,0.00038569,0.00348196,0.00736828,0.33839766,0.39726705,1.12455293
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-04-10 00:00:00.000000,0.00000000,0.00725776,0.03892905,0,8,43,0,3,7,0.00000000,0.00285264,0.00716744,0.34198997,0.40222371,1.11224197
41019,0,USOregonDouglas,Oregon,Douglas,2020-07-13 09:07:31.057447,2020-04-11 00:00:00.000000,0.00296077,0.01166342,0.04093036,3,12,45,0,3,8,0.00037100,0.00341229,0.00730414,0.34187603,0.40429240,1.12028711
