FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
41029,0,USOregonJackson,Oregon,Jackson,2020-09-09 07:47:13.136904,2020-03-09 00:00:00.000000,0.00058652,0.00251804,0.00807625,1,5,17,0,1,8,0.00019345,0.00089075,0.00397432,0.52184409,0.69772976,0.91510670
41029,0,USOregonJackson,Oregon,Jackson,2020-09-09 07:47:13.136904,2020-03-10 00:00:00.000000,0.00049721,0.00222809,0.00693562,1,4,15,0,2,6,0.00025138,0.00108472,0.00315858,0.52184704,0.69773167,0.91510616
41029,0,USOregonJackson,Oregon,Jackson,2020-09-09 07:47:13.136904,2020-03-11 00:00:00.000000,0.00052097,0.00217387,0.00676980,1,4,14,0,2,7,0.00024566,0.00099259,0.00349549,0.52185151,0.69773513,0.91510493
41029,0,USOregonJackson,Oregon,Jackson,2020-09-09 07:47:13.136904,2020-03-12 00:00:00.000000,0.00050863,0.00207465,0.00707549,1,4,15,0,2,8,0.00024864,0.00098295,0.00388331,0.52185829,0.69774140,0.91510222
41029,0,USOregonJackson,Oregon,Jackson,2020-09-09 07:47:13.136904,2020-03-13 00:00:00.000000,0.00045369,0.00203362,0.00750104,1,4,16,0,2,9,0.00020457,0.00094087,0.00411437,0.52186845,0.69775275,0.91509644
41029,0,USOregonJackson,Oregon,Jackson,2020-09-09 07:47:13.136904,2020-03-14 00:00:00.000000,0.00038039,0.00192552,0.00738848,0,4,16,0,2,8,0.00018164,0.00093548,0.00393580,0.52188353,0.69777320,0.91508425
41029,0,USOregonJackson,Oregon,Jackson,2020-09-09 07:47:13.136904,2020-03-15 00:00:00.000000,0.00033161,0.00184454,0.00760303,0,4,16,0,2,8,0.00015457,0.00090587,0.00376883,0.52190554,0.69780988,0.91505871
41029,0,USOregonJackson,Oregon,Jackson,2020-09-09 07:47:13.136904,2020-03-16 00:00:00.000000,0.00105328,0.00283094,0.00988199,2,6,21,0,1,8,0.00013446,0.00083952,0.00369233,0.52193701,0.69901006,0.91500496
41029,0,USOregonJackson,Oregon,Jackson,2020-09-09 07:47:13.136904,2020-03-17 00:00:00.000000,0.00108297,0.00407706,0.01429608,2,9,31,1,3,10,0.00054590,0.00170853,0.00462550,0.52198112,0.69935861,0.91489029
41029,0,USOregonJackson,Oregon,Jackson,2020-09-09 07:47:13.136904,2020-03-18 00:00:00.000000,0.00113936,0.00513540,0.01698882,2,11,37,1,4,11,0.00056792,0.00213679,0.00535104,0.52189288,0.70259476,0.95012169
