FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
41045,0,USOregonMalheur,Oregon,Malheur,2020-09-15 22:00:49.158141,2020-03-09 00:00:00.000000,0.00269355,0.00984867,0.02930954,0,3,8,0,1,4,0.00119353,0.00519718,0.01495744,0.37998082,0.52745524,0.73681558
41045,0,USOregonMalheur,Oregon,Malheur,2020-09-15 22:00:49.158141,2020-03-10 00:00:00.000000,0.00288194,0.01046529,0.02568452,0,3,7,0,1,4,0.00126537,0.00533626,0.01373430,0.37998082,0.52745393,0.73666037
41045,0,USOregonMalheur,Oregon,Malheur,2020-09-15 22:00:49.158141,2020-03-11 00:00:00.000000,0.00299014,0.01055178,0.02466648,0,3,7,0,1,4,0.00134597,0.00558075,0.01324163,0.37998081,0.52745027,0.73637610
41045,0,USOregonMalheur,Oregon,Malheur,2020-09-15 22:00:49.158141,2020-03-12 00:00:00.000000,0.00280428,0.01157113,0.02514884,0,3,7,0,1,3,0.00135968,0.00621740,0.01307839,0.37998079,0.52743993,0.73585652
41045,0,USOregonMalheur,Oregon,Malheur,2020-09-15 22:00:49.158141,2020-03-13 00:00:00.000000,0.00285066,0.01309389,0.02795604,0,4,8,0,2,4,0.00141139,0.00688757,0.01391560,0.37998058,0.52741034,0.73491016
41045,0,USOregonMalheur,Oregon,Malheur,2020-09-15 22:00:49.158141,2020-03-14 00:00:00.000000,0.00283565,0.01389280,0.03123481,0,4,9,0,2,4,0.00149250,0.00773476,0.01526695,0.37997858,0.52635536,0.73319770
41045,0,USOregonMalheur,Oregon,Malheur,2020-09-15 22:00:49.158141,2020-03-15 00:00:00.000000,0.00283897,0.01531850,0.03502850,0,4,10,0,2,5,0.00159767,0.00831360,0.01679971,0.37995854,0.52339227,0.73013504
41045,0,USOregonMalheur,Oregon,Malheur,2020-09-15 22:00:49.158141,2020-03-16 00:00:00.000000,0.00712843,0.02013038,0.04080400,2,6,12,0,2,5,0.00168705,0.00909489,0.01846291,0.37206475,0.51980694,0.72477090
41045,0,USOregonMalheur,Oregon,Malheur,2020-09-15 22:00:49.158141,2020-03-17 00:00:00.000000,0.01067029,0.02531978,0.04892389,3,7,14,0,3,7,0.00299275,0.01141557,0.02455028,0.36802221,0.51816687,0.71571103
41045,0,USOregonMalheur,Oregon,Malheur,2020-09-15 22:00:49.158141,2020-03-18 00:00:00.000000,0.01337223,0.03018033,0.05958991,4,9,18,1,4,9,0.00407431,0.01466678,0.03065264,0.35877681,0.49775441,0.70130993
41045,0,USOregonMalheur,Oregon,Malheur,2020-09-15 22:00:49.158141,2020-03-19 00:00:00.000000,0.01610404,0.03621289,0.07201217,4,11,22,1,5,11,0.00520181,0.01803017,0.03849629,0.32818349,0.48681980,0.68048893
41045,0,USOregonMalheur,Oregon,Malheur,2020-09-15 22:00:49.158141,2020-03-20 00:00:00.000000,0.01895802,0.04282093,0.08287371,5,13,25,2,6,13,0.00722068,0.02114782,0.04361742,0.31551404,0.45522016,0.65414765
41045,0,USOregonMalheur,Oregon,Malheur,2020-09-15 22:00:49.158141,2020-03-21 00:00:00.000000,0.02188202,0.04779527,0.09473517,6,14,28,2,7,15,0.00847675,0.02465581,0.05050613,0.29905131,0.44235008,0.62569341
41045,0,USOregonMalheur,Oregon,Malheur,2020-09-15 22:00:49.158141,2020-03-22 00:00:00.000000,0.02433601,0.05382930,0.10742574,7,16,32,2,8,17,0.00942830,0.02778122,0.05729344,0.27935770,0.41640960,0.59876359
41045,0,USOregonMalheur,Oregon,Malheur,2020-09-15 22:00:49.158141,2020-03-23 00:00:00.000000,0.03081095,0.05898257,0.11580109,9,18,35,3,9,19,0.01040579,0.03029830,0.06392651,0.26735372,0.39633190,0.57774320
41045,0,USOregonMalheur,Oregon,Malheur,2020-09-15 22:00:49.158141,2020-03-24 00:00:00.000000,0.03646758,0.06388784,0.12303043,11,19,37,3,10,21,0.01186478,0.03396800,0.06920480,0.26128320,0.37441522,0.54290549
