FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-09 00:00:00.000000,0.00148036,0.00366841,0.00692189,12,29,56,2,13,30,0.00031918,0.00169265,0.00377618,0.64558229,0.86699764,1.10236979
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-10 00:00:00.000000,0.00180092,0.00424356,0.00788409,14,34,64,7,17,37,0.00092153,0.00213470,0.00466514,0.64559458,0.86699690,1.10235309
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-11 00:00:00.000000,0.00233379,0.00499266,0.00972688,18,40,79,9,20,46,0.00122867,0.00257109,0.00577318,0.64564740,0.86699475,1.10233152
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-12 00:00:00.000000,0.00275671,0.00609005,0.01128322,22,49,91,12,25,53,0.00156146,0.00319109,0.00660190,0.64587405,0.86698847,1.10230266
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-13 00:00:00.000000,0.00341367,0.00719902,0.01335205,27,58,108,15,31,62,0.00193452,0.00384503,0.00769040,0.64684216,0.86697006,1.10225985
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-14 00:00:00.000000,0.00414589,0.00852586,0.01580334,33,69,128,19,37,75,0.00237528,0.00465076,0.00924269,0.65089906,0.86691622,1.10217952
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-15 00:00:00.000000,0.00506311,0.01008285,0.01930045,41,81,156,23,44,93,0.00288250,0.00550053,0.01153828,0.65503249,0.86675907,1.10043076
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-16 00:00:00.000000,0.00627642,0.01189028,0.02361180,51,96,191,28,51,116,0.00349702,0.00636513,0.01431122,0.65563160,0.86630323,1.10024851
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-17 00:00:00.000000,0.00764690,0.01402741,0.02887662,62,114,234,36,60,142,0.00443251,0.00743028,0.01750536,0.65703033,0.86513034,1.09978628
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-18 00:00:00.000000,0.00927910,0.01624495,0.03414057,75,132,277,41,69,173,0.00507162,0.00856880,0.02139050,0.66023533,0.86116823,1.09864901
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-19 00:00:00.000000,0.01119570,0.01839829,0.03989676,91,149,324,47,79,204,0.00580438,0.00978940,0.02512135,0.66371583,0.86093909,1.09606091
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-20 00:00:00.000000,0.01328338,0.02147706,0.04646273,107,174,377,56,92,233,0.00699200,0.01134713,0.02878202,0.67420480,0.85812459,1.09109807
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-21 00:00:00.000000,0.01501275,0.02468666,0.05393978,122,200,438,67,108,268,0.00833487,0.01331707,0.03300495,0.66105637,0.84936520,1.08818534
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-22 00:00:00.000000,0.01703854,0.02843801,0.06246027,138,231,507,76,125,308,0.00936994,0.01540256,0.03789640,0.63830170,0.84977274,1.08557875
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-23 00:00:00.000000,0.01968396,0.03313253,0.07238063,160,269,588,90,146,354,0.01115706,0.01806203,0.04355219,0.62277879,0.82425416,1.09586019
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-24 00:00:00.000000,0.02267386,0.03836340,0.08359858,184,311,679,109,170,407,0.01343390,0.02094139,0.05014204,0.61814289,0.80676893,1.08249568
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-25 00:00:00.000000,0.02729113,0.04355996,0.09632254,221,354,782,125,195,468,0.01543326,0.02410066,0.05768172,0.61481010,0.80058082,1.07239423
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-26 00:00:00.000000,0.03266601,0.05043603,0.11065455,265,409,899,140,220,538,0.01734185,0.02709551,0.06623735,0.61022850,0.79106733,1.05540527
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-27 00:00:00.000000,0.03730188,0.05902052,0.12661295,303,479,1029,158,247,616,0.01945317,0.03042973,0.07584891,0.60694403,0.76908505,1.03596427
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-28 00:00:00.000000,0.04164580,0.06620569,0.14359525,338,538,1167,176,287,703,0.02176635,0.03535531,0.08650259,0.59956678,0.75491291,0.99884838
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-29 00:00:00.000000,0.04632560,0.07155947,0.15962436,376,581,1297,197,324,797,0.02426612,0.03988914,0.09809885,0.58990632,0.73266781,1.00959182
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-30 00:00:00.000000,0.05108636,0.08135305,0.17249463,415,661,1402,219,362,897,0.02694274,0.04462752,0.11044115,0.53255824,0.71327872,1.02537559
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-03-31 00:00:00.000000,0.05632792,0.08949389,0.18189809,457,727,1478,240,404,1001,0.02963618,0.04982167,0.12322722,0.49952555,0.68603174,1.02750703
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-01 00:00:00.000000,0.06091549,0.09849093,0.19971606,495,800,1623,263,450,1088,0.03236151,0.05538595,0.13389093,0.45481198,0.65321838,0.93171886
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-02 00:00:00.000000,0.06451369,0.10760388,0.21089726,524,874,1714,286,500,1175,0.03524679,0.06157935,0.14463338,0.42511825,0.62167561,0.91676141
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-03 00:00:00.000000,0.06999699,0.10825943,0.22734521,568,879,1847,311,523,1218,0.03828588,0.06441534,0.14988623,0.40737197,0.59863334,0.86324736
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-04 00:00:00.000000,0.07701532,0.11529653,0.25243390,626,937,2051,336,543,1261,0.04143250,0.06691089,0.15518994,0.40589396,0.57388614,0.75821594
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-05 00:00:00.000000,0.08368264,0.12370519,0.27638929,680,1005,2246,373,586,1402,0.04597409,0.07216036,0.17257625,0.40468295,0.54754715,0.69923522
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-06 00:00:00.000000,0.08986286,0.13100545,0.29723543,730,1064,2416,405,620,1534,0.04986532,0.07630334,0.18872757,0.39711526,0.51837729,0.66844107
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-07 00:00:00.000000,0.09409114,0.13851858,0.31439320,764,1125,2555,436,661,1636,0.05369770,0.08143957,0.20129400,0.37962725,0.49686233,0.64127801
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-08 00:00:00.000000,0.09831408,0.14316002,0.32660630,799,1163,2654,448,688,1729,0.05522109,0.08469316,0.21275196,0.34157801,0.48241004,0.61012674
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-09 00:00:00.000000,0.09972896,0.14808716,0.33423924,810,1203,2716,465,719,1813,0.05726900,0.08850670,0.22312117,0.29354521,0.45523545,0.59383739
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-10 00:00:00.000000,0.10001564,0.15070655,0.33644196,812,1225,2734,483,752,1872,0.05946979,0.09252789,0.23036839,0.27620264,0.42721796,0.57124931
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-11 00:00:00.000000,0.09852280,0.14866003,0.33198022,800,1208,2698,494,768,1911,0.06083852,0.09459241,0.23512819,0.26242719,0.40305308,0.53421484
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-12 00:00:00.000000,0.09637629,0.14776341,0.32776972,783,1201,2664,497,762,1938,0.06115583,0.09386133,0.23847825,0.25658163,0.38745393,0.48815447
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-13 00:00:00.000000,0.08955632,0.14571305,0.33321248,727,1184,2708,465,758,1941,0.05728149,0.09330558,0.23882402,0.24401337,0.37324914,0.48244712
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-14 00:00:00.000000,0.08284954,0.14468398,0.33823573,673,1176,2749,432,756,1944,0.05316835,0.09312254,0.23919854,0.23733976,0.35736007,0.47657986
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-15 00:00:00.000000,0.07660144,0.14362685,0.34291582,622,1167,2787,400,740,1940,0.04925738,0.09115013,0.23872341,0.23489196,0.34797211,0.45770447
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-16 00:00:00.000000,0.07099290,0.14145854,0.34703930,577,1149,2820,371,727,1937,0.04568424,0.08946843,0.23830139,0.23535303,0.34303713,0.42988569
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-17 00:00:00.000000,0.06612051,0.13813031,0.34993278,537,1122,2844,345,716,1960,0.04248780,0.08815687,0.24122916,0.24010209,0.33737858,0.41930159
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-18 00:00:00.000000,0.06194965,0.13419588,0.35078549,503,1090,2851,322,709,1978,0.03971548,0.08723917,0.24334804,0.24436778,0.33460385,0.41545474
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-19 00:00:00.000000,0.05828349,0.13137103,0.34957074,473,1067,2841,303,697,1984,0.03734174,0.08577868,0.24410391,0.23860261,0.33061668,0.40990364
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-20 00:00:00.000000,0.05509650,0.13092113,0.34678092,447,1064,2818,286,686,1978,0.03522417,0.08447245,0.24341753,0.23386199,0.32971699,0.41120547
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-21 00:00:00.000000,0.05218711,0.12963985,0.34331234,424,1053,2790,271,685,1963,0.03335736,0.08436994,0.24161255,0.22994061,0.32022635,0.41582474
41051,0,USOregonMultnomah,Oregon,Multnomah,2020-08-21 16:31:26.493072,2020-04-22 00:00:00.000000,0.04954336,0.12744272,0.33955937,402,1035,2760,257,678,1944,0.03163276,0.08345485,0.23927728,0.22889772,0.31982349,0.41391417
