FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-09 00:00:00.000000,0.00742513,0.00932956,0.02893562,4,5,18,1,2,6,0.00172933,0.00332810,0.00962728,0.54000414,0.79951501,1.05685070
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-10 00:00:00.000000,0.00783152,0.01076711,0.03378491,5,6,21,2,4,7,0.00379272,0.00684803,0.01170927,0.54000324,0.79948881,1.05685067
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-11 00:00:00.000000,0.01161298,0.01444225,0.03883550,7,9,24,3,4,9,0.00525791,0.00636704,0.01403974,0.54000085,0.79940748,1.05685062
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-12 00:00:00.000000,0.01298079,0.01721221,0.04421924,8,11,28,4,6,10,0.00667056,0.01018668,0.01659792,0.53999449,0.79915465,1.05685054
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-13 00:00:00.000000,0.01707502,0.02112643,0.05002607,10,13,32,5,6,12,0.00789689,0.00997627,0.01990962,0.53997757,0.79837866,1.05685037
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-14 00:00:00.000000,0.01956290,0.02390095,0.05632379,12,15,36,5,9,14,0.00920169,0.01557796,0.02268413,0.53993261,0.79611285,1.05684997
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-15 00:00:00.000000,0.02355974,0.02830319,0.06317336,15,18,40,6,9,18,0.01058748,0.01506084,0.02853653,0.53981316,0.79039822,1.05684886
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-16 00:00:00.000000,0.02746206,0.03195689,0.07062527,17,20,45,7,13,21,0.01219279,0.02140423,0.03294584,0.53949649,0.79003677,1.05684500
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-17 00:00:00.000000,0.03163293,0.03660383,0.07872473,20,23,50,9,13,25,0.01429670,0.02171441,0.03973481,0.53866134,0.79292695,1.05682743
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-18 00:00:00.000000,0.03605596,0.04113566,0.09367183,23,26,60,10,18,30,0.01657858,0.02947646,0.04772181,0.53648891,0.80075954,1.05670743
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-19 00:00:00.000000,0.04055967,0.04923984,0.10676659,26,31,68,12,19,34,0.01906788,0.02996605,0.05413414,0.53103451,0.79772101,1.05215712
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-20 00:00:00.000000,0.04536259,0.05447373,0.11654031,29,34,74,13,24,39,0.02178842,0.03880791,0.06198669,0.51847735,0.80459395,1.04228783
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-21 00:00:00.000000,0.05048023,0.06421842,0.13318769,32,41,85,15,25,44,0.02476642,0.03985618,0.06959721,0.49456792,0.79915714,1.03247210
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-22 00:00:00.000000,0.05601031,0.07312322,0.15175517,35,46,97,17,32,50,0.02803477,0.05134534,0.07818354,0.46205718,0.80322003,1.00911376
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-23 00:00:00.000000,0.06225935,0.08468951,0.17242983,39,54,110,20,32,57,0.03119560,0.05128969,0.08949293,0.43355736,0.81408355,1.07927620
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-24 00:00:00.000000,0.07008147,0.09796829,0.19450087,44,62,124,22,41,65,0.03445336,0.06541186,0.10154359,0.41724554,0.81439411,1.09388292
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-25 00:00:00.000000,0.07883286,0.11133370,0.22432448,50,71,143,24,40,72,0.03877901,0.06267202,0.11338948,0.41142737,0.81259882,1.17929948
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-26 00:00:00.000000,0.08876012,0.12405106,0.26612470,56,79,170,28,53,85,0.04448721,0.08379576,0.13281714,0.41317951,0.81742835,1.22045364
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-27 00:00:00.000000,0.10103862,0.14082710,0.29314671,64,90,188,31,47,96,0.04983108,0.07473579,0.15110068,0.42268611,0.80801451,1.23787588
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-28 00:00:00.000000,0.11269394,0.15768456,0.31559157,72,101,202,35,67,113,0.05541465,0.10523251,0.17627733,0.44189460,0.79033621,1.22620852
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-29 00:00:00.000000,0.12600096,0.17674625,0.35440620,80,113,227,39,57,133,0.06162353,0.09010219,0.20813881,0.46898004,0.76287948,1.21348162
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-30 00:00:00.000000,0.14106901,0.19542267,0.40296266,90,125,258,44,82,155,0.06888960,0.12797917,0.24187207,0.49506782,0.75398705,1.19023765
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-03-31 00:00:00.000000,0.15828812,0.21878340,0.45494925,101,140,291,50,71,176,0.07799587,0.11129833,0.27548394,0.51245219,0.74704831,1.18187607
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-01 00:00:00.000000,0.17745032,0.24501271,0.51092701,113,157,327,55,98,200,0.08645484,0.15378961,0.31164379,0.52086225,0.74522755,1.17335174
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-02 00:00:00.000000,0.19892622,0.27780031,0.57074758,127,178,366,62,89,216,0.09680909,0.13930024,0.33746967,0.47590809,0.73783306,1.16009115
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-03 00:00:00.000000,0.22245145,0.31165860,0.60184336,142,200,386,69,120,223,0.10840427,0.18739118,0.34895447,0.40442580,0.71286501,1.13452698
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-04 00:00:00.000000,0.25232739,0.34669827,0.61195068,161,222,392,77,111,234,0.12109100,0.17446780,0.36512272,0.38464732,0.67093358,1.08246526
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-05 00:00:00.000000,0.28096350,0.37155047,0.61828179,180,238,396,83,135,241,0.12951132,0.21091008,0.37583209,0.37852092,0.62370046,0.99643113
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-06 00:00:00.000000,0.31632999,0.39676015,0.62278471,203,254,399,86,139,248,0.13428161,0.21754470,0.38727447,0.36776307,0.56905296,0.90525362
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-07 00:00:00.000000,0.32357852,0.41026709,0.63608990,207,263,408,94,158,259,0.14709607,0.24691870,0.40406798,0.34808870,0.52474341,0.83225747
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-08 00:00:00.000000,0.32677432,0.42006073,0.65234408,209,269,418,102,165,274,0.15894161,0.25771712,0.42715074,0.33286904,0.50744966,0.79016159
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-09 00:00:00.000000,0.33124846,0.41903742,0.66389378,212,268,426,107,166,288,0.16790654,0.25926726,0.44907649,0.29485224,0.47857273,0.76602339
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-10 00:00:00.000000,0.33621771,0.42866071,0.67006595,215,275,430,108,169,290,0.16959013,0.26400740,0.45292651,0.27132340,0.44442820,0.75024985
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-11 00:00:00.000000,0.34302248,0.41447395,0.67315795,220,266,432,107,171,292,0.16699053,0.26686337,0.45586397,0.26134044,0.42717952,0.73910608
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-12 00:00:00.000000,0.34041220,0.43221465,0.67958320,218,277,436,105,172,294,0.16415309,0.26809410,0.45821022,0.25630439,0.41883725,0.73109349
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-13 00:00:00.000000,0.33590610,0.41653541,0.67963477,215,267,436,103,173,296,0.16123596,0.26971749,0.46190031,0.25375836,0.40499367,0.72531011
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-14 00:00:00.000000,0.33095830,0.43777496,0.67449635,212,280,432,101,174,296,0.15830594,0.27144613,0.46216908,0.25206300,0.39070594,0.72092857
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-15 00:00:00.000000,0.32290494,0.42300878,0.66550043,207,271,427,99,173,297,0.15539835,0.27077251,0.46427156,0.22801082,0.37871615,0.71683396
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-16 00:00:00.000000,0.30595619,0.44258317,0.65392716,196,284,419,97,171,296,0.15252771,0.26797368,0.46129043,0.20321657,0.36827236,0.71086422
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-17 00:00:00.000000,0.28966726,0.42740889,0.63984241,185,274,410,96,168,290,0.14968629,0.26281450,0.45244260,0.18963105,0.35971908,0.69843705
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-18 00:00:00.000000,0.28292308,0.42093536,0.62261606,181,270,399,94,164,281,0.14679254,0.25645746,0.43874363,0.18949731,0.34030961,0.67330073
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-19 00:00:00.000000,0.27547640,0.39878833,0.61828755,176,255,396,91,161,279,0.14326409,0.25149629,0.43490190,0.18948007,0.32854297,0.64496256
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-20 00:00:00.000000,0.25885112,0.39022664,0.61012373,166,250,391,88,154,277,0.13832043,0.24041085,0.43279410,0.18947409,0.31616804,0.62979435
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-21 00:00:00.000000,0.24208077,0.38523032,0.59534565,155,247,382,84,147,274,0.13208465,0.23057301,0.42769995,0.18946094,0.30903315,0.62685667
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-22 00:00:00.000000,0.22706421,0.37195490,0.57813363,145,238,371,80,141,269,0.12581813,0.22090465,0.41938221,0.17054438,0.30812398,0.62558975
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-23 00:00:00.000000,0.21356432,0.35816081,0.56133564,137,229,360,76,136,262,0.11967081,0.21221350,0.40867625,0.16965856,0.31036094,0.62371632
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-24 00:00:00.000000,0.20136574,0.34472892,0.54264685,129,221,348,73,130,254,0.11379688,0.20323122,0.39593811,0.16601485,0.31164389,0.61859625
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-25 00:00:00.000000,0.19039429,0.33157418,0.52169924,122,212,334,69,124,245,0.10826735,0.19326665,0.38211738,0.15989830,0.31047061,0.60576872
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-26 00:00:00.000000,0.18148659,0.31864225,0.50078838,116,204,321,66,117,235,0.10310596,0.18357803,0.36765911,0.16011242,0.31273830,0.59270338
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-27 00:00:00.000000,0.17523627,0.30618281,0.48513964,112,196,311,63,111,226,0.09831378,0.17418696,0.35321593,0.16292526,0.31451382,0.58881063
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-28 00:00:00.000000,0.17002750,0.29420459,0.47044283,109,188,301,60,105,217,0.09386260,0.16503544,0.33882175,0.16146547,0.31330878,0.59621701
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-29 00:00:00.000000,0.16538563,0.28109834,0.45499746,106,180,292,57,100,213,0.08976114,0.15634563,0.33303546,0.15992052,0.30922837,0.61290102
42025,0,USPennsylvaniaCarbon,Pennsylvania,Carbon,2020-07-31 00:38:44.693004,2020-04-30 00:00:00.000000,0.16046217,0.26694439,0.44011233,102,171,282,55,95,199,0.08683508,0.14820580,0.31141061,0.15967080,0.31111955,0.62779697
