FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
42087,0,USPennsylvaniaMifflin,Pennsylvania,Mifflin,2020-10-02 01:07:42.597642,2020-03-09 00:00:00.000000,0.00587075,0.01391175,0.03878762,2,6,17,0,1,6,0.00169536,0.00416444,0.01466404,0.54582554,0.77585986,1.02971828
42087,0,USPennsylvaniaMifflin,Pennsylvania,Mifflin,2020-10-02 01:07:42.597642,2020-03-10 00:00:00.000000,0.00527064,0.01175137,0.03633791,2,5,16,0,1,6,0.00191715,0.00422113,0.01432118,0.54602094,0.77581666,1.02971821
42087,0,USPennsylvaniaMifflin,Pennsylvania,Mifflin,2020-10-02 01:07:42.597642,2020-03-11 00:00:00.000000,0.00506195,0.01256452,0.03433777,2,5,15,0,1,6,0.00177597,0.00412668,0.01484561,0.54630805,0.77574970,1.02971807
42087,0,USPennsylvaniaMifflin,Pennsylvania,Mifflin,2020-10-02 01:07:42.597642,2020-03-12 00:00:00.000000,0.00433069,0.01253143,0.03689903,1,5,17,0,1,6,0.00164947,0.00413383,0.01414685,0.54672787,0.77563909,1.02971779
42087,0,USPennsylvaniaMifflin,Pennsylvania,Mifflin,2020-10-02 01:07:42.597642,2020-03-13 00:00:00.000000,0.00406389,0.01236637,0.03983159,1,5,18,0,1,7,0.00153263,0.00417086,0.01529153,0.54733746,0.77539145,1.02971724
42087,0,USPennsylvaniaMifflin,Pennsylvania,Mifflin,2020-10-02 01:07:42.597642,2020-03-14 00:00:00.000000,0.00392091,0.01191783,0.04291747,1,5,19,0,1,7,0.00142442,0.00405782,0.01628154,0.54821363,0.77484284,1.02971621
42087,0,USPennsylvaniaMifflin,Pennsylvania,Mifflin,2020-10-02 01:07:42.597642,2020-03-15 00:00:00.000000,0.00365032,0.01140774,0.04616558,1,5,21,0,1,8,0.00133014,0.00390112,0.01736707,0.54945457,0.77365514,1.02971454
42087,0,USPennsylvaniaMifflin,Pennsylvania,Mifflin,2020-10-02 01:07:42.597642,2020-03-16 00:00:00.000000,0.00605838,0.01613808,0.05148578,2,7,23,0,1,8,0.00129010,0.00387076,0.01872779,0.55117569,0.77120756,1.02971356
42087,0,USPennsylvaniaMifflin,Pennsylvania,Mifflin,2020-10-02 01:07:42.597642,2020-03-17 00:00:00.000000,0.00784600,0.02208861,0.05693139,3,10,26,0,2,9,0.00198764,0.00631889,0.02060756,0.55349759,0.76689038,1.02972492
42087,0,USPennsylvaniaMifflin,Pennsylvania,Mifflin,2020-10-02 01:07:42.597642,2020-03-18 00:00:00.000000,0.00998693,0.02904970,0.06264327,4,13,28,1,4,10,0.00270398,0.00887469,0.02276863,0.55656337,0.77968304,1.02982295
42087,0,USPennsylvaniaMifflin,Pennsylvania,Mifflin,2020-10-02 01:07:42.597642,2020-03-19 00:00:00.000000,0.01014821,0.03292611,0.06854474,4,15,31,1,4,11,0.00340881,0.01061042,0.02509759,0.56977481,0.77592942,1.03627357
42087,0,USPennsylvaniaMifflin,Pennsylvania,Mifflin,2020-10-02 01:07:42.597642,2020-03-20 00:00:00.000000,0.01118767,0.03736663,0.07283526,5,17,33,1,5,12,0.00347641,0.01171975,0.02753247,0.57668117,0.77449800,1.04184501
42087,0,USPennsylvaniaMifflin,Pennsylvania,Mifflin,2020-10-02 01:07:42.597642,2020-03-21 00:00:00.000000,0.01194025,0.04153539,0.07696647,5,19,35,1,6,14,0.00396798,0.01333224,0.03078797,0.56804062,0.76179412,1.06299740
42087,0,USPennsylvaniaMifflin,Pennsylvania,Mifflin,2020-10-02 01:07:42.597642,2020-03-22 00:00:00.000000,0.01273683,0.04518989,0.08632772,5,20,39,1,6,15,0.00412559,0.01514409,0.03444661,0.56228537,0.76097535,1.12099579
