FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-09 00:00:00.000000,0.00068192,0.00222608,0.00438261,4,14,28,0,6,17,0.00014302,0.00103680,0.00267178,0.59907690,0.88098990,1.16483425
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-10 00:00:00.000000,0.00112046,0.00305498,0.00612361,7,19,39,3,10,22,0.00058550,0.00167814,0.00345397,0.59917794,0.88169113,1.16483376
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-11 00:00:00.000000,0.00163644,0.00415813,0.00795396,10,26,50,5,15,30,0.00092269,0.00236923,0.00478902,0.59938128,0.88306945,1.16483308
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-12 00:00:00.000000,0.00225325,0.00526429,0.01035073,14,33,66,8,19,39,0.00126311,0.00306714,0.00622967,0.59979205,0.88434509,1.16483220
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-13 00:00:00.000000,0.00304287,0.00686688,0.01322319,19,43,84,10,26,51,0.00170479,0.00415837,0.00807195,0.60062114,0.88599688,1.16483121
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-14 00:00:00.000000,0.00386626,0.00867761,0.01662682,24,55,106,14,34,65,0.00223316,0.00535768,0.01024901,0.60130265,0.88646538,1.16483101
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-15 00:00:00.000000,0.00487765,0.01087317,0.02065878,31,69,131,18,42,81,0.00288632,0.00664944,0.01282805,0.60138267,0.88650974,1.16471076
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-16 00:00:00.000000,0.00638546,0.01333210,0.02457296,40,85,157,24,53,101,0.00378929,0.00835584,0.01588433,0.60157620,0.88735608,1.15334119
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-17 00:00:00.000000,0.00815962,0.01609705,0.02959015,52,102,189,30,66,119,0.00478838,0.01038943,0.01868577,0.60215021,0.88736008,1.13908963
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-18 00:00:00.000000,0.01010419,0.01985172,0.03577779,64,126,228,37,83,143,0.00581350,0.01301707,0.02248406,0.60412587,0.90219112,1.14569522
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-19 00:00:00.000000,0.01244682,0.02419546,0.04329173,79,154,276,47,100,174,0.00740578,0.01577888,0.02729775,0.61692053,0.91325537,1.16770493
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-20 00:00:00.000000,0.01547665,0.02975561,0.05243663,98,190,335,59,124,211,0.00936409,0.01955863,0.03304127,0.67101979,0.91167758,1.17376158
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-21 00:00:00.000000,0.01952916,0.03601692,0.06347264,124,230,405,75,148,261,0.01177259,0.02327358,0.04095752,0.69157593,0.92084473,1.17904317
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-22 00:00:00.000000,0.02455029,0.04565162,0.07714552,156,291,492,94,183,327,0.01473506,0.02877653,0.05131454,0.70106065,0.92285651,1.18348693
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-23 00:00:00.000000,0.03064091,0.05621221,0.09653650,195,359,616,117,218,405,0.01837927,0.03423877,0.06338919,0.71485114,0.92192480,1.18144063
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-24 00:00:00.000000,0.03804774,0.06677663,0.11850247,243,426,757,146,266,501,0.02288821,0.04172858,0.07848767,0.71133111,0.94106713,1.18013247
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-25 00:00:00.000000,0.04709779,0.07805217,0.14676578,300,498,937,174,326,619,0.02724643,0.05103804,0.09698421,0.70690342,0.95040866,1.21443526
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-26 00:00:00.000000,0.05823100,0.09561237,0.17719607,372,610,1132,204,393,764,0.03202192,0.06157144,0.11971543,0.70386223,0.95129926,1.23767743
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-27 00:00:00.000000,0.07199580,0.11752831,0.22025688,460,750,1407,240,481,916,0.03760557,0.07542978,0.14344426,0.70004738,0.95939496,1.23932240
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-28 00:00:00.000000,0.08878888,0.14491532,0.27345732,567,925,1747,297,592,1142,0.04648494,0.09280865,0.17883843,0.69496242,0.95826866,1.23670540
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-29 00:00:00.000000,0.10386916,0.17805980,0.33344023,663,1137,2130,372,731,1400,0.05837148,0.11444787,0.21920529,0.69010523,0.94766812,1.24787385
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-30 00:00:00.000000,0.12112029,0.21865864,0.39723265,773,1397,2538,450,892,1710,0.07048891,0.13973558,0.26774462,0.63623699,0.95698560,1.24988139
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-03-31 00:00:00.000000,0.14558103,0.27344223,0.49125919,930,1747,3138,535,1077,2124,0.08376804,0.16862272,0.33251895,0.62168157,0.95809115,1.25221054
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-04-01 00:00:00.000000,0.17593303,0.34015966,0.60735992,1124,2173,3880,641,1333,2637,0.10039228,0.20867230,0.41275529,0.62095410,0.95217108,1.25002723
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-04-02 00:00:00.000000,0.19963328,0.41217816,0.75053464,1275,2633,4795,753,1625,3270,0.11797692,0.25441386,0.51188039,0.62053897,0.94953260,1.24820628
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-04-03 00:00:00.000000,0.23742780,0.48987149,0.92686499,1516,3129,5922,896,1969,4039,0.14025640,0.30820760,0.63224717,0.62015806,0.95335276,1.22140744
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-04-04 00:00:00.000000,0.28245207,0.59198122,1.14355024,1804,3782,7306,1067,2414,4957,0.16707002,0.37782268,0.77586914,0.61948433,0.93398679,1.21539028
44007,0,USRhodeIslandProvidence,Rhode Island,Providence,2020-09-17 00:47:10.772215,2020-04-05 00:00:00.000000,0.33610268,0.72027951,1.40824154,2147,4602,8997,1271,2944,6030,0.19907620,0.46083850,0.94376567,0.61822352,0.92067778,1.21160836
