FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
45051,0,USSouthCarolinaHorry,South Carolina,Horry,2020-07-18 06:26:05.291020,2020-03-09 00:00:00.000000,0.00234494,0.00731555,0.02724731,8,25,96,0,12,31,0.00016313,0.00365208,0.00899454,0.54407682,0.81230966,1.01933025
45051,0,USSouthCarolinaHorry,South Carolina,Horry,2020-07-18 06:26:05.291020,2020-03-10 00:00:00.000000,0.00405901,0.00881651,0.37567228,14,31,1330,5,16,43,0.00156429,0.00463317,0.01217476,0.54407691,0.81235711,1.01932941
45051,0,USSouthCarolinaHorry,South Carolina,Horry,2020-07-18 06:26:05.291020,2020-03-11 00:00:00.000000,0.00431089,0.01005927,0.02648013,15,35,93,1,16,37,0.00040756,0.00462974,0.01069276,0.54407711,0.81244326,1.01932667
45051,0,USSouthCarolinaHorry,South Carolina,Horry,2020-07-18 06:26:05.291020,2020-03-12 00:00:00.000000,0.00457534,0.01204757,0.40108445,16,42,1420,6,20,48,0.00195066,0.00585184,0.01356928,0.54407754,0.81259953,1.01931770
45051,0,USSouthCarolinaHorry,South Carolina,Horry,2020-07-18 06:26:05.291020,2020-03-13 00:00:00.000000,0.00494698,0.01203578,0.02719226,17,42,96,2,20,42,0.00062882,0.00567009,0.01196266,0.54407852,0.81288239,1.01928822
45051,0,USSouthCarolinaHorry,South Carolina,Horry,2020-07-18 06:26:05.291020,2020-03-14 00:00:00.000000,0.00531510,0.01538458,0.41381459,18,54,1465,8,25,53,0.00247875,0.00709758,0.01511686,0.54408069,0.81339233,1.01919176
45051,0,USSouthCarolinaHorry,South Carolina,Horry,2020-07-18 06:26:05.291020,2020-03-15 00:00:00.000000,0.00549177,0.01451588,0.03146036,19,51,111,2,23,49,0.00082885,0.00651734,0.01384312,0.54408550,0.81178024,1.01888256
45051,0,USSouthCarolinaHorry,South Carolina,Horry,2020-07-18 06:26:05.291020,2020-03-16 00:00:00.000000,0.00680008,0.01867842,0.42279450,24,66,1497,10,29,60,0.00309241,0.00843386,0.01712418,0.54409617,0.81116894,1.01795929
45051,0,USSouthCarolinaHorry,South Carolina,Horry,2020-07-18 06:26:05.291020,2020-03-17 00:00:00.000000,0.00613081,0.01752523,0.03758774,21,62,133,3,27,56,0.00102240,0.00788520,0.01585578,0.54411975,0.81102536,1.01986195
45051,0,USSouthCarolinaHorry,South Carolina,Horry,2020-07-18 06:26:05.291020,2020-03-18 00:00:00.000000,0.00859422,0.02300722,0.43027343,30,81,1523,12,35,68,0.00355710,0.01006905,0.01942768,0.54417183,0.81267939,1.02319326
